date,slot_id,grid_kwh,charge_kwh,discharge_kwh,surplus_kwh,energy_end_kwh,energy_start_kwh,ordinary_cost_yuan
2025-02-01,1,1033.2373654320993,611.2069987654326,0.0,0.0,7818.509462962964,7268.4231640740745,438.9192328355558
2025-02-01,2,1248.7406500000002,833.3333333333334,0.0,0.0,8568.509462962964,7818.509462962964,530.090405925
2025-02-01,3,410.7166666666667,0.0,0.0,0.0,8568.509462962964,8568.509462962964,175.334945
2025-02-01,4,430.29479999999995,0.0,0.0,0.0,8568.509462962964,8568.509462962964,183.82193855999998
2025-02-01,5,424.4105833333333,0.0,0.0,0.0,8568.509462962964,8568.509462962964,181.26576014166665
2025-02-01,6,406.0516666666667,0.0,0.0,0.0,8568.509462962964,8568.509462962964,173.99313916666668
2025-02-01,7,436.7501833333333,0.0,0.0,0.0,8568.509462962964,8568.509462962964,188.28300403499998
2025-02-01,8,451.7976833333333,0.0,0.0,0.0,8568.509462962964,8568.509462962964,194.36336337
2025-02-01,9,446.08,0.0,0.0,0.0,8568.509462962964,8568.509462962964,190.877632
2025-02-01,10,471.7663333333333,0.0,0.0,0.0,8568.509462962964,8568.509462962964,203.42564293333334
2025-02-01,11,448.02596666666665,0.0,0.0,0.0,8568.509462962964,8568.509462962964,194.12965135666667
2025-02-01,12,397.40333333333336,0.0,0.0,0.0,8568.509462962964,8568.509462962964,171.32057700000001
2025-02-01,13,434.0906333333333,0.0,0.0,0.0,8568.509462962964,8568.509462962964,186.35510889
2025-02-01,14,490.5609166666666,0.0,0.0,0.0,8568.509462962964,8568.509462962964,212.11854036666665
2025-02-01,15,503.22,0.0,0.0,0.0,8568.509462962964,8568.509462962964,219.756174
2025-02-01,16,474.0728166666667,0.0,0.0,0.0,8568.509462962964,8568.509462962964,206.1268606866667
2025-02-01,17,461.38439999999997,0.0,0.0,0.0,8568.509462962964,8568.509462962964,200.0101374
2025-02-01,18,476.94166666666666,0.0,0.0,0.0,8568.509462962964,8568.509462962964,207.80348416666666
2025-02-01,19,483.39955000000003,0.0,0.0,0.0,8568.509462962964,8568.509462962964,211.43896317000002
2025-02-01,20,486.6019166666667,0.0,0.0,0.0,8568.509462962964,8568.509462962964,212.693697775
2025-02-01,21,498.84833333333336,0.0,0.0,0.0,8568.509462962964,8568.509462962964,217.298334
2025-02-01,22,518.3097333333334,0.0,0.0,0.0,8568.509462962964,8568.509462962964,225.62022692000002
2025-02-01,23,509.13346666666666,0.0,0.0,0.0,8568.509462962964,8568.509462962964,221.98219146666668
2025-02-01,24,483.6166666666666,0.0,0.0,0.0,8568.509462962964,8568.509462962964,211.72737666666666
2025-02-01,25,491.1868,0.0,0.0,0.0,8568.509462962964,8568.509462962964,216.17131068
2025-02-01,26,504.64528333333334,0.0,0.0,0.0,8568.509462962964,8568.509462962964,221.48881485500002
2025-02-01,27,505.5783333333333,0.0,0.0,0.0,8568.509462962964,8568.509462962964,220.63438466666668
2025-02-01,28,503.2309666666667,0.0,0.0,0.0,8568.509462962964,8568.509462962964,221.0693636566667
2025-02-01,29,502.84675000000004,0.0,0.0,0.0,8568.509462962964,8568.509462962964,222.35883285
2025-02-01,30,499.64166666666665,0.0,0.0,0.0,8568.509462962964,8568.509462962964,219.5925125
2025-02-01,31,488.78358333333335,0.0,0.0,0.0,8568.509462962964,8568.509462962964,211.78992665833334
2025-02-01,32,498.51543333333336,0.0,0.0,0.0,8568.509462962964,8568.509462962964,221.2910008566667
2025-02-01,33,529.2233333333334,0.0,0.0,0.0,8568.509462962964,8568.509462962964,227.61895566666666
2025-02-01,34,1380.74365,833.3333333333334,0.0,0.0,9318.509462962964,8568.509462962964,512.670117245
2025-02-01,35,0.0,0.0,531.1811666666666,0.0,8728.308166666668,9318.509462962964,0.0
2025-02-01,36,0.0,0.0,510.98333333333335,0.0,8160.548907407408,8728.308166666668,0.0
2025-02-01,37,0.0,0.0,535.1871833333333,0.0,7565.896481481482,8160.548907407408,0.0
2025-02-01,38,0.0,0.0,533.3553333333333,0.0,6973.279444444444,7565.896481481482,0.0
2025-02-01,39,0.0,0.0,504.52,0.0,6412.701666666667,6973.279444444444,0.0
2025-02-01,40,0.0,0.0,519.5536833333333,0.0,5835.419796296296,6412.701666666667,0.0
2025-02-01,41,0.0,0.0,551.4800833333333,0.0,5222.664148148148,5835.419796296296,0.0
2025-02-01,42,0.0,0.0,552.0416666666666,0.0,4609.284518518519,5222.664148148148,0.0
2025-02-01,43,0.0,0.0,514.5580499999999,0.0,4037.553351851852,4609.284518518519,0.0
2025-02-01,44,0.0,0.0,447.90855,0.0,3539.877185185185,4037.553351851852,0.0
2025-02-01,45,0.0,0.0,389.4241666666667,0.0,3107.183666666667,3539.877185185185,0.0
2025-02-01,46,0.0,0.0,377.65374999999995,0.0,2687.568388888889,3107.183666666667,0.0
