slot_id,raw_time_label,start_minute,end_minute,start_time,end_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,net_load_forecast_kw,net_load_forecast_kwh,source_row,grid_kwh,charge_kwh,discharge_kwh,curtailment_kwh,energy_start_kwh,energy_end_kwh,charge_mode,cost_yuan
1,00:10:00,0,10,00:00:00,00:10:00,0.4248,3439.8466,0.0,573.3077666666667,0.0,3439.8466,573.3077666666667,2,1406.6410999999998,833.3333333333333,0.0,0.0,6000.0,6790.569415042095,1.0,597.5411392799999
2,00:20:00,10,20,00:10:00,00:20:00,0.4245,3437.9792,0.0,572.9965333333333,0.0,3437.9792,572.9965333333333,3,1406.3298666666665,833.3333333333333,0.0,0.0,6790.569415042095,7581.13883008419,1.0,596.9870283999999
3,00:30:00,20,30,00:20:00,00:30:00,0.4269,3444.3031,0.0,574.0505166666667,0.0,3444.3031,574.0505166666667,4,1407.38385,833.3333333333333,0.0,0.0,7581.13883008419,8371.708245126285,1.0,600.812165565
4,00:40:00,30,40,00:30:00,00:40:00,0.4272,3454.4437,0.0,575.7406166666666,0.0,3454.4437,575.7406166666666,5,1409.07395,833.3333333333333,0.0,0.0,8371.708245126285,9162.27766016838,1.0,601.9563914400001
5,00:50:00,40,50,00:40:00,00:50:00,0.4271,3458.8273,0.0,576.4712166666667,0.0,3458.8273,576.4712166666667,6,1409.8045499999998,833.3333333333333,0.0,0.0,9162.27766016838,9952.847075210475,1.0,602.127523305
6,01:00:00,50,60,00:50:00,01:00:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,3459.8401,576.6400166666666,7,576.6400166666666,0.0,0.0,0.0,9952.847075210475,9952.847075210475,-0.0,247.09024714166665
7,01:10:00,60,70,01:00:00,01:10:00,0.4311,3467.1582,0.0,577.8597,0.0,3467.1582,577.8597,8,577.8597,0.0,0.0,0.0,9952.847075210475,9952.847075210475,0.0,249.11531666999997
8,01:20:00,70,80,01:10:00,01:20:00,0.4302,3467.9632,0.0,577.9938666666667,0.0,3467.9632,577.9938666666667,9,577.9938666666667,0.0,0.0,0.0,9952.847075210475,9952.847075210475,0.0,248.65296144
9,01:30:00,80,90,01:20:00,01:30:00,0.4279,3466.9683,0.0,577.82805,0.0,3466.9683,577.82805,10,637.4723062694059,59.64425626940595,0.0,0.0,9952.847075210475,10009.430584957905,0.07157310752328715,272.77439985267875
10,01:40:00,90,100,01:30:00,01:40:00,0.4312,3482.4927,0.0,580.41545,0.0,3482.4927,580.41545,11,580.41545,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,250.27514204
11,01:50:00,100,110,01:40:00,01:50:00,0.4333,3495.0841,0.0,582.5140166666666,0.0,3495.0841,582.5140166666666,12,582.5140166666666,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,252.40332342166667
12,02:00:00,110,120,01:50:00,02:00:00,0.4311,3498.4443,0.0,583.07405,0.0,3498.4443,583.07405,13,583.07405,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,251.36322295500003
13,02:10:00,120,130,02:00:00,02:10:00,0.4293,3505.2295,0.0,584.2049166666667,0.0,3505.2295,584.2049166666667,14,584.2049166666667,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,250.799170725
14,02:20:00,130,140,02:10:00,02:20:00,0.4324,3512.6387,0.0,585.4397833333334,0.0,3512.6387,585.4397833333334,15,585.4397833333334,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,253.14416231333334
15,02:30:00,140,150,02:20:00,02:30:00,0.4367,3516.8685,0.0,586.14475,0.0,3516.8685,586.14475,16,586.14475,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,255.969412325
16,02:40:00,150,160,02:30:00,02:40:00,0.4348,3517.9246,0.0,586.3207666666666,0.0,3517.9246,586.3207666666666,17,586.3207666666666,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,254.93226934666666
17,02:50:00,160,170,02:40:00,02:50:00,0.4335,3518.5518,0.0,586.4253,0.0,3518.5518,586.4253,18,586.4253,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,254.21536755
18,03:00:00,170,180,02:50:00,03:00:00,0.4357,3521.0976,0.0,586.8496,0.0,3521.0976,586.8496,19,586.8496,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,255.69037072
19,03:10:00,180,190,03:00:00,03:10:00,0.4374,3526.9261,0.0,587.8210166666667,0.0,3526.9261,587.8210166666667,20,587.8210166666667,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,257.11291269
20,03:20:00,190,200,03:10:00,03:20:00,0.4371,3537.2854,0.0,589.5475666666667,0.0,3537.2854,589.5475666666667,21,589.5475666666667,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,257.69124139
21,03:30:00,200,210,03:20:00,03:30:00,0.4356,3544.8808,0.0,590.8134666666666,0.0,3544.8808,590.8134666666666,22,590.8134666666666,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,257.35834608
22,03:40:00,210,220,03:30:00,03:40:00,0.4353,3541.2787,0.0,590.2131166666667,0.0,3541.2787,590.2131166666667,23,590.2131166666667,0.0,0.0,0.0,10009.430584957905,10009.430584957905,0.0,256.919769685
