date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,3035.0702864058176,299.4760125596739,240
2025-03-20,240,153.93601305818788,6079.509439347712,480
2025-03-20,480,3043.5456214915935,2449.9586439971786,720
2025-03-20,720,6398.183872708453,254.72278333333327,960
2025-03-20,960,217.99829149016784,6737.667410251815,1200
2025-03-20,1200,7825.156186630898,839.1521055215466,1440
2025-06-21,0,190.27052120133806,7212.60765456401,240
2025-06-21,240,600.2679776796624,1787.6505905603005,480
2025-06-21,480,10320.891433371235,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,146.6894711411448,5698.635655893501,1200
2025-06-21,1200,10029.082834950497,2543.73991204073,1440
2025-09-23,0,5116.996541342398,154.51883479100616,240
2025-09-23,240,127.03899007985174,6834.891579194875,480
2025-09-23,480,5003.0407163747495,1892.4703171777783,720
2025-09-23,720,5762.442635434943,504.078378154172,960
2025-09-23,960,27.12987700842757,6105.362011973167,1200
2025-09-23,1200,5822.061930865355,2184.370640502979,1440
2025-12-21,0,4822.282643781858,135.70893329029684,240
2025-12-21,240,198.16939403822778,907.8804117744493,480
2025-12-21,480,5162.79522720868,7806.666666666668,720
2025-12-21,720,8295.727630961366,2267.563441161575,960
2025-12-21,960,45.863598966723494,5807.196237887022,1200
2025-12-21,1200,6211.150739129046,2842.5257666666666,1440
