field,interval_start,previous_value,current_value,change,source_row,source_column,action
load_actual_kw,2025-06-19 17:50:00,6558.7181,4852.7,-1706.0181000000002,171,DE,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-05-05 17:50:00,5943.4133,4251.5,-1691.9133000000002,126,DE,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-08-13 17:50:00,7151.553,5471.37,-1680.183,226,DE,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-07-08 17:50:00,7229.7737,5603.56,-1626.2136999999993,190,DE,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-09-28 17:50:00,6030.6186,4458.31,-1572.3085999999994,272,DE,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-01-15 07:50:00,5800.8471,7364.76,1563.9129000000003,16,AW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-07-28 17:50:00,7228.6668,5668.2,-1560.4668000000001,210,DE,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-03-10 07:50:00,5145.4647,6705.9,1560.4352999999992,70,AW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-08-27 07:50:00,5323.2587,6882.0,1558.7412999999997,240,AW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
load_actual_kw,2025-08-17 17:50:00,6892.3335,5348.43,-1543.9034999999994,230,DE,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-06-16 12:30:00,6977.5125,6007.271,-970.2415000000001,168,BY,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-05-17 13:00:00,7852.575,7051.7642,-800.8108000000002,138,CB,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-09-10 12:30:00,8406.9375,7623.5426,-783.3949000000002,254,BY,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-06-26 11:00:00,6332.5875,7112.9852,780.3977000000004,178,BP,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-07-27 09:20:00,5868.8233,6644.4375,775.6142,209,BF,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-05-30 11:30:00,8903.0625,9676.341,773.2785000000003,151,BS,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-05-06 10:20:00,7561.1909,8330.775,769.5841,127,BL,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-08-31 10:00:00,7159.7625,7905.0105,745.2480000000005,244,BJ,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-08-19 13:50:00,8285.3911,7544.2125,-741.1786000000011,232,CG,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
pv_actual_kw,2025-06-02 13:50:00,6436.467,5708.8875,-727.5794999999998,154,CG,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-07-03 20:50:00,1.5302,1.0306,-0.49960000000000004,185,DW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-12-08 20:50:00,1.4071,0.9175,-0.48960000000000004,343,DW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-08-31 20:50:00,1.4694,0.9882,-0.48120000000000007,244,DW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-05-28 05:50:00,0.4884,0.9643,0.47590000000000005,149,AK,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-02-09 21:50:00,0.7748,0.3001,-0.47470000000000007,41,EC,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-08-01 20:50:00,1.3157,0.8449,-0.4708000000000001,214,DW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-03-19 05:50:00,0.59,1.0608,0.4708,79,AK,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-12-26 10:50:00,0.8537,0.3852,-0.4685,361,BO,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-08-14 20:50:00,1.5058,1.0391,-0.4667000000000001,227,DW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
actual_price_yuan_per_kwh,2025-08-15 20:50:00,1.3529,0.8924,-0.4605,228,DW,保留；仅按全样本相邻绝对变化列出前10条，不判为错误
