file,sheet,cell,value,python_type
result1.xlsx,计划购电量,A1,时间段,str
result1.xlsx,计划购电量,B1,购电量,str
result1.xlsx,计划购电量,A2,0:10-0:20,str
result1.xlsx,计划购电量,A3,0:20-0:30,str
result1.xlsx,计划购电量,A4,0:30-0:40,str
result1.xlsx,计划购电量,A5,0:40-0:50,str
result1.xlsx,计划购电量,A6,0:50-1:00,str
result1.xlsx,计划购电量,A7,1:00-1:10,str
result1.xlsx,计划购电量,A8,1:10-1:20,str
result1.xlsx,计划购电量,A9,1:20-1:30,str
result1.xlsx,计划购电量,A10,1:30-1:40,str
result1.xlsx,计划购电量,A11,1:40-1:50,str
result1.xlsx,计划购电量,A12,1:50-2:00,str
result1.xlsx,计划购电量,A13,2:00-2:10,str
result1.xlsx,计划购电量,A14,2:10-2:20,str
result1.xlsx,计划购电量,A15,2:20-2:30,str
result1.xlsx,计划购电量,A16,2:30-2:40,str
result1.xlsx,计划购电量,A17,2:40-2:50,str
result1.xlsx,计划购电量,A18,2:50-3:00,str
result1.xlsx,计划购电量,A19,3:00-3:10,str
result1.xlsx,计划购电量,A20,3:10-3:20,str
result1.xlsx,计划购电量,A21,3:20-3:30,str
result1.xlsx,计划购电量,A22,3:30-3:40,str
result1.xlsx,计划购电量,A23,3:40-3:50,str
result1.xlsx,计划购电量,A24,3:50-4:00,str
result1.xlsx,计划购电量,A25,4:00-4:10,str
result1.xlsx,计划购电量,A26,4:10-4:20,str
result1.xlsx,计划购电量,A27,4:20-4:30,str
result1.xlsx,计划购电量,A28,4:30-4:40,str
result1.xlsx,计划购电量,A29,4:40-4:50,str
result1.xlsx,计划购电量,A30,4:50-5:00,str
result1.xlsx,计划购电量,A31,5:00-5:10,str
result1.xlsx,计划购电量,A32,5:10-5:20,str
result1.xlsx,计划购电量,A33,5:20-5:30,str
result1.xlsx,计划购电量,A34,5:30-5:40,str
result1.xlsx,计划购电量,A35,5:40-5:50,str
result1.xlsx,计划购电量,A36,5:50-6:00,str
result1.xlsx,计划购电量,A37,6:00-6:10,str
result1.xlsx,计划购电量,A38,6:10-6:20,str
result1.xlsx,计划购电量,A39,6:20-6:30,str
result1.xlsx,计划购电量,A40,6:30-6:40,str
result1.xlsx,计划购电量,A41,6:40-6:50,str
result1.xlsx,计划购电量,A42,6:50-7:00,str
result1.xlsx,计划购电量,A43,7:00-7:10,str
result1.xlsx,计划购电量,A44,7:10-7:20,str
result1.xlsx,计划购电量,A45,7:20-7:30,str
result1.xlsx,计划购电量,A46,7:30-7:40,str
result1.xlsx,计划购电量,A47,7:40-7:50,str
result1.xlsx,计划购电量,A48,7:50-8:00,str
result1.xlsx,计划购电量,A49,8:00-8:10,str
result1.xlsx,计划购电量,A50,8:10-8:20,str
result1.xlsx,计划购电量,A51,8:20-8:30,str
result1.xlsx,计划购电量,A52,8:30-8:40,str
result1.xlsx,计划购电量,A53,8:40-8:50,str
result1.xlsx,计划购电量,A54,8:50-9:00,str
result1.xlsx,计划购电量,A55,9:00-9:10,str
result1.xlsx,计划购电量,A56,9:10-9:20,str
result1.xlsx,计划购电量,A57,9:20-9:30,str
result1.xlsx,计划购电量,A58,9:30-9:40,str
result1.xlsx,计划购电量,A59,9:40-9:50,str
result1.xlsx,计划购电量,A60,9:50-10:00,str
result1.xlsx,计划购电量,A61,10:00-10:10,str
result1.xlsx,计划购电量,A62,10:10-10:20,str
result1.xlsx,计划购电量,A63,10:20-10:30,str
result1.xlsx,计划购电量,A64,10:30-10:40,str
result1.xlsx,计划购电量,A65,10:40-10:50,str
result1.xlsx,计划购电量,A66,10:50-11:00,str
result1.xlsx,计划购电量,A67,11:00-11:10,str
result1.xlsx,计划购电量,A68,11:10-11:20,str
result1.xlsx,计划购电量,A69,11:20-11:30,str
result1.xlsx,计划购电量,A70,11:30-11:40,str
result1.xlsx,计划购电量,A71,11:40-11:50,str
result1.xlsx,计划购电量,A72,11:50-12:00,str
result1.xlsx,计划购电量,A73,12:00-12:10,str
result1.xlsx,计划购电量,A74,12:10-12:20,str
result1.xlsx,计划购电量,A75,12:20-12:30,str
result1.xlsx,计划购电量,A76,12:30-12:40,str
result1.xlsx,计划购电量,A77,12:40-12:50,str
result1.xlsx,计划购电量,A78,12:50-13:00,str
result1.xlsx,计划购电量,A79,13:00-13:10,str
result1.xlsx,计划购电量,A80,13:10-13:20,str
result1.xlsx,计划购电量,A81,13:20-13:30,str
result1.xlsx,计划购电量,A82,13:30-13:40,str
result1.xlsx,计划购电量,A83,13:40-13:50,str
result1.xlsx,计划购电量,A84,13:50-14:00,str
result1.xlsx,计划购电量,A85,14:00-14:10,str
result1.xlsx,计划购电量,A86,14:10-14:20,str
result1.xlsx,计划购电量,A87,14:20-14:30,str
result1.xlsx,计划购电量,A88,14:30-14:40,str
result1.xlsx,计划购电量,A89,14:40-14:50,str
result1.xlsx,计划购电量,A90,14:50-15:00,str
result1.xlsx,计划购电量,A91,15:00-15:10,str
result1.xlsx,计划购电量,A92,15:10-15:20,str
result1.xlsx,计划购电量,A93,15:20-15:30,str
result1.xlsx,计划购电量,A94,15:30-15:40,str
result1.xlsx,计划购电量,A95,15:40-15:50,str
result1.xlsx,计划购电量,A96,15:50-16:00,str
result1.xlsx,计划购电量,A97,16:00-16:10,str
result1.xlsx,计划购电量,A98,16:10-16:20,str
result1.xlsx,计划购电量,A99,16:20-16:30,str
result1.xlsx,计划购电量,A100,16:30-16:40,str
result1.xlsx,计划购电量,A101,16:40-16:50,str
result1.xlsx,计划购电量,A102,16:50-17:00,str
result1.xlsx,计划购电量,A103,17:00-17:10,str
result1.xlsx,计划购电量,A104,17:10-17:20,str
result1.xlsx,计划购电量,A105,17:20-17:30,str
result1.xlsx,计划购电量,A106,17:30-17:40,str
result1.xlsx,计划购电量,A107,17:40-17:50,str
result1.xlsx,计划购电量,A108,17:50-18:00,str
result1.xlsx,计划购电量,A109,18:00-18:10,str
result1.xlsx,计划购电量,A110,18:10-18:20,str
result1.xlsx,计划购电量,A111,18:20-18:30,str
result1.xlsx,计划购电量,A112,18:30-18:40,str
result1.xlsx,计划购电量,A113,18:40-18:50,str
result1.xlsx,计划购电量,A114,18:50-19:00,str
result1.xlsx,计划购电量,A115,19:00-19:10,str
result1.xlsx,计划购电量,A116,19:10-19:20,str
result1.xlsx,计划购电量,A117,19:20-19:30,str
result1.xlsx,计划购电量,A118,19:30-19:40,str
result1.xlsx,计划购电量,A119,19:40-19:50,str
result1.xlsx,计划购电量,A120,19:50-20:00,str
result1.xlsx,计划购电量,A121,20:00-20:10,str
result1.xlsx,计划购电量,A122,20:10-20:20,str
result1.xlsx,计划购电量,A123,20:20-20:30,str
result1.xlsx,计划购电量,A124,20:30-20:40,str
result1.xlsx,计划购电量,A125,20:40-20:50,str
result1.xlsx,计划购电量,A126,20:50-21:00,str
result1.xlsx,计划购电量,A127,21:00-21:10,str
result1.xlsx,计划购电量,A128,21:10-21:20,str
result1.xlsx,计划购电量,A129,21:20-21:30,str
result1.xlsx,计划购电量,A130,21:30-21:40,str
result1.xlsx,计划购电量,A131,21:40-21:50,str
result1.xlsx,计划购电量,A132,21:50-22:00,str
result1.xlsx,计划购电量,A133,22:00-22:10,str
result1.xlsx,计划购电量,A134,22:10-22:20,str
result1.xlsx,计划购电量,A135,22:20-22:30,str
result1.xlsx,计划购电量,A136,22:30-22:40,str
result1.xlsx,计划购电量,A137,22:40-22:50,str
result1.xlsx,计划购电量,A138,22:50-23:00,str
result1.xlsx,计划购电量,A139,23:00-23:10,str
result1.xlsx,计划购电量,A140,23:10-23:20,str
result1.xlsx,计划购电量,A141,23:20-23:30,str
result1.xlsx,计划购电量,A142,23:30-23:40,str
result1.xlsx,计划购电量,A143,23:40-23:50,str
result1.xlsx,计划购电量,A144,23:50-0:00+1,str
result1.xlsx,计划购电量,A145,0:00+1-0:10+1,str
result1.xlsx,充放电量,A1,时间段,str
result1.xlsx,充放电量,B1,充电量,str
result1.xlsx,充放电量,C1,放电量,str
result1.xlsx,充放电量,D1,时刻,str
result1.xlsx,充放电量,E1,储电量,str
result1.xlsx,充放电量,A2,0:00-4:00,str
result1.xlsx,充放电量,D2,0:00,str
result1.xlsx,充放电量,A3,4:00-8:00,str
result1.xlsx,充放电量,D3,24:00,str
result1.xlsx,充放电量,A4,8:00-12:00,str
result1.xlsx,充放电量,A5,12:00-16:00,str
result1.xlsx,充放电量,A6,16:00-20:00,str
result1.xlsx,充放电量,A7,20:00-24:00,str
result2.xlsx,计划购电量,A1,日期\时间,str
result2.xlsx,计划购电量,B1,0:10-0:20,str
result2.xlsx,计划购电量,C1,0:20-0:30,str
result2.xlsx,计划购电量,D1,0:30-0:40,str
result2.xlsx,计划购电量,E1,0:40-0:50,str
result2.xlsx,计划购电量,F1,0:50-1:00,str
result2.xlsx,计划购电量,G1,1:00-1:10,str
result2.xlsx,计划购电量,H1,1:10-1:20,str
result2.xlsx,计划购电量,I1,1:20-1:30,str
result2.xlsx,计划购电量,J1,1:30-1:40,str
result2.xlsx,计划购电量,K1,1:40-1:50,str
result2.xlsx,计划购电量,L1,1:50-2:00,str
result2.xlsx,计划购电量,M1,2:00-2:10,str
result2.xlsx,计划购电量,N1,2:10-2:20,str
result2.xlsx,计划购电量,O1,2:20-2:30,str
result2.xlsx,计划购电量,P1,2:30-2:40,str
result2.xlsx,计划购电量,Q1,2:40-2:50,str
result2.xlsx,计划购电量,R1,2:50-3:00,str
result2.xlsx,计划购电量,S1,3:00-3:10,str
result2.xlsx,计划购电量,T1,3:10-3:20,str
result2.xlsx,计划购电量,U1,3:20-3:30,str
result2.xlsx,计划购电量,V1,3:30-3:40,str
result2.xlsx,计划购电量,W1,3:40-3:50,str
result2.xlsx,计划购电量,X1,3:50-4:00,str
result2.xlsx,计划购电量,Y1,4:00-4:10,str
result2.xlsx,计划购电量,Z1,4:10-4:20,str
result2.xlsx,计划购电量,AA1,4:20-4:30,str
result2.xlsx,计划购电量,AB1,4:30-4:40,str
result2.xlsx,计划购电量,AC1,4:40-4:50,str
result2.xlsx,计划购电量,AD1,4:50-5:00,str
result2.xlsx,计划购电量,AE1,5:00-5:10,str
result2.xlsx,计划购电量,AF1,5:10-5:20,str
result2.xlsx,计划购电量,AG1,5:20-5:30,str
result2.xlsx,计划购电量,AH1,5:30-5:40,str
result2.xlsx,计划购电量,AI1,5:40-5:50,str
result2.xlsx,计划购电量,AJ1,5:50-6:00,str
result2.xlsx,计划购电量,AK1,6:00-6:10,str
result2.xlsx,计划购电量,AL1,6:10-6:20,str
result2.xlsx,计划购电量,AM1,6:20-6:30,str
result2.xlsx,计划购电量,AN1,6:30-6:40,str
result2.xlsx,计划购电量,AO1,6:40-6:50,str
result2.xlsx,计划购电量,AP1,6:50-7:00,str
result2.xlsx,计划购电量,AQ1,7:0-7:10,str
result2.xlsx,计划购电量,AR1,7:10-7:20,str
result2.xlsx,计划购电量,AS1,7:20-7:30,str
result2.xlsx,计划购电量,AT1,7:30-7:40,str
result2.xlsx,计划购电量,AU1,7:40-7:50,str
result2.xlsx,计划购电量,AV1,7:50-8:00,str
result2.xlsx,计划购电量,AW1,8:00-8:10,str
result2.xlsx,计划购电量,AX1,8:10-8:20,str
result2.xlsx,计划购电量,AY1,8:20-8:30,str
result2.xlsx,计划购电量,AZ1,8:30-8:40,str
result2.xlsx,计划购电量,BA1,8:40-8:50,str
result2.xlsx,计划购电量,BB1,8:50-9:00,str
result2.xlsx,计划购电量,BC1,9:00-9:10,str
result2.xlsx,计划购电量,BD1,9:10-9:20,str
result2.xlsx,计划购电量,BE1,9:20-9:30,str
result2.xlsx,计划购电量,BF1,9:30-9:40,str
result2.xlsx,计划购电量,BG1,9:40-9:50,str
result2.xlsx,计划购电量,BH1,9:50-10:00,str
result2.xlsx,计划购电量,BI1,10:00-10:10,str
result2.xlsx,计划购电量,BJ1,10:10-10:20,str
result2.xlsx,计划购电量,BK1,10:20-10:30,str
result2.xlsx,计划购电量,BL1,10:30-10:40,str
result2.xlsx,计划购电量,BM1,10:40-10:50,str
result2.xlsx,计划购电量,BN1,10:50-11:00,str
