grouping,value,n_days,mean_daily_load_kwh,mean_daily_pv_kwh,mean_daily_net_load_kwh
month,1,31,113418.56325967741,38140.41346451613,75278.14979516127
month,2,28,108405.51660773809,47195.52831964286,61209.98828809524
month,3,31,104536.77588978494,55300.7221327957,49236.053756989255
month,4,30,105431.44317722222,64840.45654388889,40590.98663333334
month,5,31,105640.26606451615,67356.0575172043,38284.208547311835
month,6,30,115208.94310666669,56875.83756722222,58333.105539444456
month,7,31,128094.20774569894,65358.102600000006,62736.10514569893
month,8,31,121084.2492080645,69983.83423172044,51100.41497634409
month,9,30,108861.85038777775,62582.388146111116,46279.46224166667
month,10,31,104328.46779193549,56743.51324247312,47584.954549462374
month,11,30,104104.11232055556,44505.03205444445,59599.08026611111
month,12,31,112591.34150860216,36332.08550107528,76259.25600752691
weekday,0,52,123900.96483461538,55555.716418910255,68345.24841570515
weekday,1,52,124144.32755673079,55281.34980448718,68862.97775224359
weekday,2,53,124115.94615314467,54849.82682767294,69266.11932547169
weekday,3,52,124032.58310288463,55730.59127660257,68301.99182628206
weekday,4,52,78331.84195897436,55851.084571794876,22480.757387179492
weekday,5,52,78407.22412275642,55520.325077564106,22886.89904519231
weekday,6,52,123989.01619679488,55603.278808653835,68385.73738814102
