date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,7546.710003496828,87.16430200937998
2025-03-20,4,1930.4181123255307,5036.975744006213
2025-03-20,8,6137.878144244509,2777.3772166666668
2025-03-20,12,3486.3649314223376,433.6507978677914
2025-03-20,16,318.21913699771414,5231.580328714357
2025-03-20,20,746.7037583065633,2950.821055673109
2025-06-21,0,1019.2275927352995,6.160726345257899
2025-06-21,4,556.9254744091318,2271.69485421592
2025-06-21,8,8552.13940217527,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,0.0,4546.937854619426
2025-06-21,20,2271.8744197192495,2485.896583333333
2025-09-23,0,8842.590390200772,8.769190633760331
2025-09-23,4,1335.336373281001,5754.548400162242
2025-09-23,8,5401.225292701319,1896.6157166666667
2025-09-23,12,4079.803638859449,622.5551818130941
2025-09-23,16,391.00878830624004,5752.593550256212
2025-09-23,20,1070.7500506831716,2731.675847812055
2025-12-21,0,8451.815766231577,17.233948858870008
2025-12-21,4,1455.8412680025403,1362.652644212075
2025-12-21,8,6026.879039631898,6649.3053585557445
2025-12-21,12,5921.858925552974,2252.429004424065
2025-12-21,16,144.34077469082453,5324.068926492317
2025-12-21,20,1199.3141344716737,2842.5257666666666
