date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,selected_profile,selected_terminal
2025-02-01,40442.45941225866,21987.93350096948,0.0,0.0,21987.93350096948,13189.029238909796,14431.211250290848,7306.465490306373,3254.893958824889,4051.5715314814843,7268.4231640740745,3103.870312103062,morning_hedge,1200.0
2025-02-02,91206.58903715553,58291.810659365416,0.0,0.0,58291.810659365416,21107.013613447365,17089.346295237043,8832.643768945205,8773.469702278539,59.174066666666704,3103.870312103062,3112.0200139423155,morning_hedge,1200.0
2025-02-03,89069.04323661685,56828.44137950136,0.0,0.0,56828.44137950136,21580.479817434814,17860.859347224257,5132.506266406294,5132.506266406294,0.0,3112.0200139423155,2689.052574940037,morning_hedge,1200.0
2025-02-04,90417.76452579169,57655.178149645566,0.0,0.0,57655.178149645566,23034.651071242693,18655.644446548817,4843.893951097805,4843.893951097805,0.0,2689.052574940037,2691.7447095597836,morning_hedge,1200.0
2025-02-05,88761.91157386283,56417.07343477558,0.0,0.0,56417.07343477558,22682.400975222397,18613.838033097265,3944.9216484043604,3944.9216484043604,0.0,2691.7447095597836,2423.8633282629808,morning_hedge,1200.0
2025-02-06,90072.4630918881,57542.10411971442,6.410854759157814,37.44900807562037,57579.55312779004,22020.336211216618,17691.790631313408,5479.271150077378,5477.87033341071,1.400816666666742,2423.8633282629808,2584.62077245416,morning_hedge,1200.0
2025-02-07,43097.33886003379,22778.62406716414,0.0,0.0,22778.62406716414,18316.161827870113,15270.131938339971,8245.629303836982,3125.009349090041,5120.619954746942,2584.62077245416,2102.3531527150703,morning_hedge,1200.0
2025-02-08,38554.2296621117,20309.44974726065,0.0,0.0,20309.44974726065,18586.171747196142,15082.42605482006,3473.321253068945,446.3440127950038,3026.9772402739413,2102.3531527150703,2071.6565531693054,morning_hedge,1200.0
2025-02-09,84402.66530262215,53047.990462819216,369.4049001008534,2576.9685831035536,55624.95904592277,23419.615550751518,19358.03051388075,1155.0691991855595,1155.0691991855595,0.0,2071.6565531693054,1640.3877556448324,morning_hedge,1200.0
2025-02-10,86473.50645982422,54586.91626042714,0.0,0.0,54586.91626042714,20729.156954026435,16607.40968373245,8025.121606196901,7525.4585728635675,499.6630333333334,1640.3877556448324,1843.9515878992322,morning_hedge,1200.0
2025-02-11,84271.32471143399,52962.46544162682,0.0,0.0,52962.46544162682,22309.25668305546,18129.403964298926,4870.874859344122,4627.4171593441215,243.4577000000004,1843.9515878992322,1778.5004200947853,morning_hedge,1200.0
2025-02-12,83928.78918992169,52762.06549552294,0.0,0.0,52762.06549552294,22259.347073479756,17956.055765714358,4358.761748822961,4195.377465489627,163.38428333333331,1778.5004200947853,1860.7397132106103,morning_hedge,1200.0
2025-02-13,83148.71932240097,52257.0592563782,0.0,0.0,52257.0592563782,19845.01471690435,16026.871860273955,8001.0974491039115,7442.459665770578,558.6377833333337,1860.7397132106103,1913.6175581201328,morning_hedge,1200.0
2025-02-14,36185.388025783686,19231.19371863616,0.0,0.0,19231.19371863616,18204.736658375954,14941.878004028273,3120.7275547693357,556.6509725880816,2564.0765821812543,1913.6175581201328,1695.793879515972,morning_hedge,1200.0
2025-02-15,35989.953841073606,19013.731034924767,0.0,0.0,19013.731034924767,18016.179510976224,14830.312808480498,3523.9960385778786,275.1178340218646,3248.878204556014,1695.793879515972,1432.2300966384714,morning_hedge,1200.0
