date,issue_hour,issue_time,slot_id,interval_start,interval_end,grid_original_kwh,grid_kwh,reserve_original_kwh,reserve_threshold_kwh,load_forecast_kwh,pv_forecast_kwh,pv_raw_forecast_kwh,price_forecast_yuan_per_kwh,selected_index
2025-03-20,0,2025-03-20 00:00:00,1,2025-03-20 00:00:00,2025-03-20 00:10:00,1411.6742642415586,1411.6742642415586,3109.6410464675682,3109.6410464675682,599.953889516172,0.0,0.0,0.4248,7
2025-03-20,0,2025-03-20 00:00:00,2,2025-03-20 00:10:00,2025-03-20 00:20:00,1400.3691874643844,1400.3691874643844,3859.6410464675682,3859.6410464675682,593.4156177461416,0.0,0.0,0.4245,7
2025-03-20,0,2025-03-20 00:00:00,3,2025-03-20 00:20:00,2025-03-20 00:30:00,1327.886451362505,1327.886451362505,4609.641046467568,4609.641046467568,580.4393460126182,0.0,0.0,0.4269,7
2025-03-20,0,2025-03-20 00:00:00,4,2025-03-20 00:30:00,2025-03-20 00:40:00,1400.5895090800875,1400.5895090800875,5359.641046467568,5359.641046467568,589.9157636485189,0.0,0.0,0.4272,7
2025-03-20,0,2025-03-20 00:00:00,5,2025-03-20 00:40:00,2025-03-20 00:50:00,1378.4865588375649,1378.4865588375649,6109.641046467568,6109.641046467568,585.7067371611821,0.0,0.0,0.4271,7
2025-03-20,0,2025-03-20 00:00:00,6,2025-03-20 00:50:00,2025-03-20 01:00:00,1317.2141644904432,1317.2141644904432,6859.641046467568,6859.641046467568,563.8726304229446,0.0,0.0,0.4285,7
2025-03-20,0,2025-03-20 00:00:00,7,2025-03-20 01:00:00,2025-03-20 01:10:00,619.9961476516984,619.9961476516984,6847.28365583174,6847.28365583174,557.0724677171621,0.0,0.0,0.4311,7
2025-03-20,0,2025-03-20 00:00:00,8,2025-03-20 01:10:00,2025-03-20 01:20:00,1175.2208976385207,1175.2208976385207,7609.641046467568,7609.641046467568,550.5681314738787,0.0,0.0,0.4302,7
2025-03-20,0,2025-03-20 00:00:00,9,2025-03-20 01:20:00,2025-03-20 01:30:00,1331.7631140347414,1331.7631140347414,8359.641046467568,8359.641046467568,543.8389841690238,0.0,0.0,0.4279,7
2025-03-20,0,2025-03-20 00:00:00,10,2025-03-20 01:30:00,2025-03-20 01:40:00,621.6564691407561,621.6564691407561,8353.581310024827,8353.581310024827,557.3656575097407,0.0,0.0,0.4312,7
2025-03-20,0,2025-03-20 00:00:00,11,2025-03-20 01:40:00,2025-03-20 01:50:00,650.6726172484433,650.6726172484433,8307.993093260968,8307.993093260968,588.2676114808643,0.0,0.0,0.4333,7
2025-03-20,0,2025-03-20 00:00:00,12,2025-03-20 01:50:00,2025-03-20 02:00:00,894.8818184580883,894.8818184580883,8550.0,8550.0,605.7743003520009,0.0,0.0,0.4311,7
2025-03-20,0,2025-03-20 00:00:00,13,2025-03-20 02:00:00,2025-03-20 02:10:00,1283.9471842258185,1283.9471842258185,9300.0,9300.0,579.812873446548,0.0,0.0,0.4293,7
2025-03-20,0,2025-03-20 00:00:00,14,2025-03-20 02:10:00,2025-03-20 02:20:00,622.6505581478086,622.6505581478086,9288.12898755322,9288.12898755322,567.2884952341019,0.0,0.0,0.4324,7
2025-03-20,0,2025-03-20 00:00:00,15,2025-03-20 02:20:00,2025-03-20 02:30:00,633.1656103597713,633.1656103597713,9295.291995204476,9295.291995204476,582.4368955126206,0.0,0.0,0.4367,7
2025-03-20,0,2025-03-20 00:00:00,16,2025-03-20 02:30:00,2025-03-20 02:40:00,636.4807818671176,636.4807818671176,9299.955172217862,9299.955172217862,588.9575058896943,0.0,0.0,0.4348,7
2025-03-20,0,2025-03-20 00:00:00,17,2025-03-20 02:40:00,2025-03-20 02:50:00,647.0285805598421,647.0285805598421,9235.942649077699,9235.942649077699,605.0273060057,0.0,0.0,0.4335,7
2025-03-20,0,2025-03-20 00:00:00,18,2025-03-20 02:50:00,2025-03-20 03:00:00,686.1170687270501,686.1170687270501,9244.92686708851,9244.92686708851,617.8962883585447,0.0,0.0,0.4357,7
2025-03-20,0,2025-03-20 00:00:00,19,2025-03-20 03:00:00,2025-03-20 03:10:00,629.47142324708,629.47142324708,9285.538859871842,9285.538859871842,590.9784768140113,0.0,0.0,0.4374,7
2025-03-20,0,2025-03-20 00:00:00,20,2025-03-20 03:10:00,2025-03-20 03:20:00,628.7245270080689,628.7245270080689,9271.868552769198,9271.868552769198,571.3753669727259,0.0,0.0,0.4371,7
2025-03-20,0,2025-03-20 00:00:00,21,2025-03-20 03:20:00,2025-03-20 03:30:00,649.0473160621567,649.0473160621567,9297.520472114062,9297.520472114062,582.1965844906113,0.0,0.0,0.4356,7
2025-03-20,0,2025-03-20 00:00:00,22,2025-03-20 03:30:00,2025-03-20 03:40:00,654.8084340279505,654.8084340279505,9300.168054898708,9300.168054898708,598.5719226682493,0.0,0.0,0.4353,7
2025-03-20,0,2025-03-20 00:00:00,23,2025-03-20 03:40:00,2025-03-20 03:50:00,632.1581348628171,632.1581348628171,9174.902177546071,9174.902177546071,587.7170802904814,0.0,0.0,0.436,7
2025-03-20,0,2025-03-20 00:00:00,24,2025-03-20 03:50:00,2025-03-20 04:00:00,610.2171079525779,610.2171079525779,9214.82983590172,9214.82983590172,569.081414200039,0.0,0.0,0.4378,7
2025-03-20,0,2025-03-20 00:00:00,25,2025-03-20 04:00:00,2025-03-20 04:10:00,646.261746783335,646.261746783335,9171.638720685907,9171.638720685907,590.3901091987302,0.0,0.0,0.4401,7
2025-03-20,0,2025-03-20 00:00:00,26,2025-03-20 04:10:00,2025-03-20 04:20:00,628.7841691991595,628.7841691991595,9227.979605038352,9227.979605038352,600.5223649414061,0.0,0.0,0.4389,7
2025-03-20,0,2025-03-20 00:00:00,27,2025-03-20 04:20:00,2025-03-20 04:30:00,623.5902332821713,623.5902332821713,9297.461351393276,9297.461351393276,589.1130267412383,0.0,0.0,0.4364,7
2025-03-20,0,2025-03-20 00:00:00,28,2025-03-20 04:30:00,2025-03-20 04:40:00,616.7831462450135,616.7831462450135,9289.307460848024,9289.307460848024,597.6227134516096,0.0,0.0,0.4393,7
2025-03-20,0,2025-03-20 00:00:00,29,2025-03-20 04:40:00,2025-03-20 04:50:00,621.164393674229,621.164393674229,9310.091654929412,9310.091654929412,611.107323222797,0.0,0.0,0.4422,7
2025-03-20,0,2025-03-20 00:00:00,30,2025-03-20 04:50:00,2025-03-20 05:00:00,634.8768886066016,634.8768886066016,9317.30012705702,9317.30012705702,611.6607905722681,0.0,0.0,0.4395,7
2025-03-20,0,2025-03-20 00:00:00,31,2025-03-20 05:00:00,2025-03-20 05:10:00,611.8405901636139,611.8405901636139,9381.747351785561,9381.747351785561,599.1561161990837,0.0,0.0,0.4333,7
2025-03-20,0,2025-03-20 00:00:00,32,2025-03-20 05:10:00,2025-03-20 05:20:00,600.7390875334717,600.7390875334717,9331.271192354156,9331.271192354156,595.6880744112012,0.0,0.0,0.4439,7
2025-03-20,0,2025-03-20 00:00:00,33,2025-03-20 05:20:00,2025-03-20 05:30:00,1095.672490866768,1095.672490866768,10050.0,10050.0,596.1520324756543,0.0,0.0,0.4301,7
2025-03-20,0,2025-03-20 00:00:00,34,2025-03-20 05:30:00,2025-03-20 05:40:00,1407.1973552215206,1407.1973552215206,10800.0,10800.0,592.2762809978091,0.0,0.0,0.3713,7
2025-03-20,0,2025-03-20 00:00:00,35,2025-03-20 05:40:00,2025-03-20 05:50:00,692.6186671089184,692.6186671089184,10474.338698964646,10474.338698964646,685.2995551461622,0.0,0.0,0.5708,7
2025-03-20,0,2025-03-20 00:00:00,36,2025-03-20 05:50:00,2025-03-20 06:00:00,29.868498081783425,29.868498081783425,9305.488964623077,9305.488964623077,814.9485983550097,0.0,0.0,0.9099,7
2025-03-20,0,2025-03-20 00:00:00,37,2025-03-20 06:00:00,2025-03-20 06:10:00,17.77298404661063,17.77298404661063,8400.873041555526,8400.873041555526,808.0845398807209,24.22860138888889,24.22860138888889,0.9368,7
2025-03-20,0,2025-03-20 00:00:00,38,2025-03-20 06:10:00,2025-03-20 06:20:00,0.028155792950277755,0.028155792950277755,7622.873538501264,7622.873538501264,790.3286619102174,72.68580416666667,72.68580416666667,0.8758,7
2025-03-20,0,2025-03-20 00:00:00,39,2025-03-20 06:20:00,2025-03-20 06:30:00,0.0200173685921869,0.0200173685921869,6864.7100851528185,6864.7100851528185,810.0582363572546,121.14300694444444,121.14300694444444,0.8759,7
2025-03-20,0,2025-03-20 00:00:00,40,2025-03-20 06:30:00,2025-03-20 06:40:00,0.0,0.0,6169.249168216996,6169.249168216996,791.9734799292931,169.60020972222222,169.60020972222222,0.8601,7
