charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,reserve_threshold_kwh,date,slot_id,interval_start,interval_end,active_issue_hour,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_original_kwh,grid_effective_kwh,reserve_original_kwh,price_yuan_per_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
833.3333333333334,0.0,0.0,28.49611424155853,28.49611424155853,0.0,2359.6410464675682,3109.6410464675682,3109.6410464675682,2025-03-20,1,2025-03-20 00:00:00,2025-03-20 00:10:00,0,549.8448166666667,0.0,599.953889516172,0.0,1411.6742642415586,1411.6742642415586,3109.6410464675682,0.4248,599.6792274498141,0.0,-0.0,599.6792274498141,0.0,599.6792274498141
830.0556874643844,0.0,0.0,0.0,0.0,0.0,3109.6410464675682,3856.6911651855144,3859.6410464675682,2025-03-20,2,2025-03-20 00:10:00,2025-03-20 00:20:00,0,570.3135,0.0,593.4156177461416,0.0,1400.3691874643844,1400.3691874643844,3859.6410464675682,0.4245,594.4567200786312,0.0,-0.0,594.4567200786312,0.0,594.4567200786312
714.0347846958384,0.0,0.0,0.0,0.0,0.0,3856.6911651855144,4499.322471411769,4609.641046467568,2025-03-20,3,2025-03-20 00:20:00,2025-03-20 00:30:00,0,613.8516666666667,0.0,580.4393460126182,0.0,1327.886451362505,1327.886451362505,4609.641046467568,0.4269,566.8747260866535,0.0,-0.0,566.8747260866535,0.0,566.8747260866535
821.1333424134208,0.0,0.0,0.0,0.0,0.0,4499.322471411769,5238.342479583847,5359.641046467568,2025-03-20,4,2025-03-20 00:30:00,2025-03-20 00:40:00,0,579.4561666666667,0.0,589.9157636485189,0.0,1400.5895090800875,1400.5895090800875,5359.641046467568,0.4272,598.3318382790134,0.0,-0.0,598.3318382790134,0.0,598.3318382790134
828.0416421708982,0.0,0.0,0.0,0.0,0.0,5238.342479583847,5983.579957537656,6109.641046467568,2025-03-20,5,2025-03-20 00:40:00,2025-03-20 00:50:00,0,550.4449166666667,0.0,585.7067371611821,0.0,1378.4865588375649,1378.4865588375649,6109.641046467568,0.4271,588.7516092795239,0.0,-0.0,588.7516092795239,0.0,588.7516092795239
746.0574978237765,0.0,0.0,0.0,0.0,0.0,5983.579957537656,6655.031705579055,6859.641046467568,2025-03-20,6,2025-03-20 00:50:00,2025-03-20 01:00:00,0,571.1566666666666,0.0,563.8726304229446,0.0,1317.2141644904432,1317.2141644904432,6859.641046467568,0.4285,564.4262694841549,0.0,-0.0,564.4262694841549,0.0,564.4262694841549
18.40709765169845,0.0,0.0,0.0,0.0,0.0,6655.031705579055,6671.598093465584,6847.28365583174,2025-03-20,7,2025-03-20 01:00:00,2025-03-20 01:10:00,0,601.5890499999999,0.0,557.0724677171621,0.0,619.9961476516984,619.9961476516984,6847.28365583174,0.4311,267.28033925264714,0.0,-0.0,267.28033925264714,0.0,267.28033925264714
563.7371476385207,0.0,0.0,0.0,0.0,0.0,6671.598093465584,7178.961526340252,7609.641046467568,2025-03-20,8,2025-03-20 01:10:00,2025-03-20 01:20:00,0,611.48375,0.0,550.5681314738787,0.0,1175.2208976385207,1175.2208976385207,7609.641046467568,0.4302,505.5800301640916,0.0,-0.0,505.5800301640916,0.0,505.5800301640916
733.5464473680747,0.0,0.0,0.0,0.0,0.0,7178.961526340252,7839.153328971519,8359.641046467568,2025-03-20,9,2025-03-20 01:20:00,2025-03-20 01:30:00,0,598.2166666666667,0.0,543.8389841690238,0.0,1331.7631140347414,1331.7631140347414,8359.641046467568,0.4279,569.8614364954659,0.0,-0.0,569.8614364954659,0.0,569.8614364954659
37.72051914075621,0.0,0.0,0.0,0.0,0.0,7839.153328971519,7873.1017961982,8353.581310024827,2025-03-20,10,2025-03-20 01:30:00,2025-03-20 01:40:00,0,583.9359499999999,0.0,557.3656575097407,0.0,621.6564691407561,621.6564691407561,8353.581310024827,0.4312,268.0582694934941,0.0,-0.0,268.0582694934941,0.0,268.0582694934941
