date,issue_hour,issue_time,price_issue_time,price_method,price_forecast_yuan_per_kwh,slot_id,interval_start,interval_end,load_forecast_kwh,pv_forecast_kwh,endpoint_rule,endpoint_issue_time,grid_original_kwh,grid_kwh,charge_kwh,discharge_kwh,surplus_kwh,energy_start_kwh,energy_end_kwh,charge_mode,contract_cost_forecast_yuan
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.3397085923058723,1,2025-02-01 00:00:00,2025-02-01 00:10:00,446.62184779000137,0.0,previous_issue_point,2025-01-31T18:00:00,1037.2627765965851,1037.2627765965851,590.6409288065838,0.0,0.0,7268.4231640740745,7800.0,1.0,352.3670776889064
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.3565991922513303,2,2025-02-01 00:10:00,2025-02-01 00:20:00,441.33740164805374,0.0,previous_issue_point,2025-01-31T18:00:00,441.33740164805374,441.33740164805374,0.0,0.0,0.0,7800.0,7800.0,0.0,157.3805609379969
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.3178313965956786,3,2025-02-01 00:20:00,2025-02-01 00:30:00,439.3940358801821,0.0,previous_issue_point,2025-01-31T18:00:00,1272.7273692135154,1272.7273692135154,833.3333333333333,0.0,0.0,7800.0,8550.0,1.0,404.5127172426755
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.31695486451740185,4,2025-02-01 00:30:00,2025-02-01 00:40:00,467.9889913571435,0.0,previous_issue_point,2025-01-31T18:00:00,1301.3223246904768,1301.3223246904768,833.3333333333333,0.0,0.0,8550.0,9300.0,1.0,412.4604411157405
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.34065855792802924,5,2025-02-01 00:40:00,2025-02-01 00:50:00,473.85663408715675,0.0,previous_issue_point,2025-01-31T18:00:00,473.85663408715675,473.85663408715675,0.0,0.0,0.0,9300.0,9300.0,-0.0,161.42331763276064
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.3584844767163285,6,2025-02-01 00:50:00,2025-02-01 01:00:00,460.54400507294906,0.0,previous_issue_point,2025-01-31T18:00:00,460.54400507294906,460.54400507294906,0.0,0.0,0.0,9300.0,9300.0,0.0,165.09787666341828
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.35751427322798024,7,2025-02-01 01:00:00,2025-02-01 01:10:00,480.5570409484658,0.0,current_issue_points,,480.5570409484658,480.5570409484658,0.0,0.0,0.0,9300.0,9300.0,0.0,171.80600123927948
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.349688093099145,8,2025-02-01 01:10:00,2025-02-01 01:20:00,476.8780047104005,0.0,current_issue_points,,476.8780047104005,476.8780047104005,0.0,0.0,0.0,9300.0,9300.0,0.0,166.75856010810503
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.35645837136923,9,2025-02-01 01:20:00,2025-02-01 01:30:00,456.92792090405095,0.0,current_issue_points,,456.92792090405095,456.92792090405095,0.0,0.0,0.0,9300.0,9300.0,0.0,162.87578251858633
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.3832502003885034,10,2025-02-01 01:30:00,2025-02-01 01:40:00,486.37817986200923,0.0,current_issue_points,,486.37817986200923,486.37817986200923,0.0,0.0,0.0,9300.0,9300.0,0.0,186.40453489671057
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,ols,0.36354776172768266,11,2025-02-01 01:40:00,2025-02-01 01:50:00,497.2715434162344,0.0,current_issue_points,,497.2715434162344,497.2715434162344,0.0,0.0,0.0,9300.0,9300.0,0.0,180.7819565798422
