date,total_cost_yuan,emergency_cost_yuan,energy_end_actual_kwh,planned_cost_yuan
2025-02-01,351.89253463419385,0.0,7634.130865078722,351.89253463419385
2025-02-01,417.32801668054924,0.0,8145.058661733597,417.32801668054924
2025-02-01,356.3603498163794,0.0,8526.700414684503,356.3603498163794
2025-02-01,231.4146568278186,0.0,8626.965972832997,231.4146568278186
2025-02-01,320.3282282187477,0.0,8920.003250448011,320.3282282187477
2025-02-01,236.45178198769418,0.0,9051.188264541184,236.45178198769418
2025-02-01,258.43528106973497,0.0,9197.643957724347,258.43528106973497
2025-02-01,216.1478825212335,0.0,9243.218265572115,216.1478825212335
2025-02-01,226.67079516353567,0.0,9318.50185250173,226.67079516353567
2025-02-01,211.21619467703886,0.0,9334.76228053822,211.21619467703886
2025-02-01,231.048357235967,0.0,9411.445491457607,231.048357235967
2025-02-01,255.74083090156898,0.0,9587.688192713493,255.74083090156898
2025-02-01,217.99261622515652,0.0,9654.014203898307,217.99261622515652
2025-02-01,232.43805065684714,0.0,9696.307356676203,232.43805065684714
2025-02-01,228.0071183504776,0.0,9713.311821790538,228.0071183504776
2025-02-01,226.02581240536702,0.0,9754.501004280948,226.02581240536702
2025-02-01,236.77906184215303,0.0,9830.8378716349,236.77906184215303
2025-02-01,247.28215517960186,0.0,9912.38665270362,247.28215517960186
2025-02-01,247.78438608265674,0.0,9987.171473511557,247.78438608265674
2025-02-01,226.35409222784864,0.0,10015.29857259086,226.35409222784864
2025-02-01,228.57665306580563,0.0,10038.600884710293,228.57665306580563
2025-02-01,235.92536100293887,0.0,10059.907157797003,235.92536100293887
2025-02-01,239.0499829471769,0.0,10095.138837458606,239.0499829471769
2025-02-01,242.5689976387347,0.0,10158.540981987755,242.5689976387347
2025-02-01,247.52360302937052,0.0,10222.656099266631,247.52360302937052
2025-02-01,234.24764283552526,0.0,10248.819109479602,234.24764283552526
2025-02-01,234.55260598806268,0.0,10277.523048960025,234.55260598806268
2025-02-01,253.90430167949765,0.0,10344.792441676957,253.90430167949765
2025-02-01,286.46425727557244,0.0,10475.264811606887,286.46425727557244
2025-02-01,264.09037727145795,0.0,10566.386718988711,264.09037727145795
2025-02-01,245.72090081986315,0.0,10636.864163589165,245.72090081986315
2025-02-01,240.83920993762328,0.0,10676.497838229538,240.83920993762328
2025-02-01,266.2286896405105,0.0,10757.290120434744,266.2286896405105
2025-02-01,508.578552851728,0.0,10800.0,508.578552851728
2025-02-01,178.3495674056331,0.0,10556.971419201705,178.3495674056331
2025-02-01,0.0,0.0,9989.212159942446,0.0
2025-02-01,0.0,0.0,9394.55973401652,0.0
2025-02-01,0.0,0.0,8801.942696979484,0.0
2025-02-01,0.0,0.0,8241.364919201706,0.0
2025-02-01,0.0,0.0,7664.083048831335,0.0
2025-02-01,0.0,0.0,7051.327400683187,0.0
2025-02-01,0.0,0.0,6437.9477710535575,0.0
2025-02-01,0.0,0.0,5866.216604386891,0.0
2025-02-01,0.0,0.0,5368.540437720225,0.0
2025-02-01,0.0,0.0,4935.846919201706,0.0
2025-02-01,0.0,0.0,4516.2316414239285,0.0
2025-02-01,0.0,0.0,4114.94125253504,0.0
2025-02-01,0.0,0.0,3781.6935673498547,0.0
2025-02-01,0.0,0.0,3556.99775253504,0.0
2025-02-01,0.0,0.0,3412.78375253504,0.0
2025-02-01,0.0,0.0,3316.911993275781,0.0
2025-02-01,0.0,0.0,3276.9462710535586,0.0
2025-02-01,0.0,0.0,3207.5530117942994,0.0
2025-02-01,0.0,0.0,3079.5789377202254,0.0
2025-02-01,0.0,0.0,3028.6632525350406,0.0
2025-02-01,0.0,0.0,3056.8877025350407,0.0
2025-02-01,0.0,0.0,3112.4184525350406,0.0
2025-02-01,0.0,0.0,3207.0157575350404,0.0
2025-02-01,0.0,0.0,3360.1932825350405,0.0
2025-02-01,0.0,0.0,3554.0806575350407,0.0
2025-02-01,0.0,0.0,3734.4565275350405,0.0
2025-02-01,0.0,0.0,3938.6846925350405,0.0
2025-02-01,0.0,0.0,4201.68756753504,0.0
2025-02-01,0.0,0.0,4472.666527535041,0.0
2025-02-01,0.0,0.0,4781.562187535041,0.0
2025-02-01,0.0065076452197680695,0.0,5148.1888430190165,0.0065076452197680695
2025-02-01,1.3926222826244088,0.0,5500.512423024083,1.3926222826244088
2025-02-01,0.005902461578993423,0.0,5856.239092601516,0.005902461578993423
2025-02-01,0.23432705054413058,0.0,6256.750748227142,0.23432705054413058
2025-02-01,0.1315015654438161,0.0,6656.694476594748,0.1315015654438161
2025-02-01,38.573103893619184,0.0,7134.600528126832,38.573103893619184
2025-02-01,211.46254815126213,0.0,7884.600528126832,211.46254815126213
