date,issue_hour,issue_time,slot_id,interval_start,interval_end,load_forecast_kwh,pv_forecast_kwh,endpoint_rule,endpoint_issue_time,grid_original_kwh,grid_kwh,charge_kwh,discharge_kwh,surplus_kwh,energy_start_kwh,energy_end_kwh,charge_mode,contract_cost_forecast_yuan
2025-02-01,0,2025-02-01 00:00:00,1,2025-02-01 00:00:00,2025-02-01 00:10:00,446.62184779000137,0.0,previous_issue_point,2025-01-31T18:00:00,1279.9551811233346,1279.9551811233346,833.3333333333333,0.0,0.0,7268.4231640740745,8018.4231640740745,1.0,543.7249609411925
2025-02-01,0,2025-02-01 00:00:00,2,2025-02-01 00:10:00,2025-02-01 00:20:00,441.33740164805374,0.0,previous_issue_point,2025-01-31T18:00:00,1274.6707349813869,1274.6707349813869,833.3333333333333,0.0,0.0,8018.4231640740745,8768.423164074075,1.0,541.0977269995988
2025-02-01,0,2025-02-01 00:00:00,3,2025-02-01 00:20:00,2025-02-01 00:30:00,439.3940358801821,0.0,previous_issue_point,2025-01-31T18:00:00,1272.7273692135154,1272.7273692135154,833.3333333333333,0.0,0.0,8768.423164074075,9518.423164074075,1.0,543.3273139172497
2025-02-01,0,2025-02-01 00:00:00,4,2025-02-01 00:30:00,2025-02-01 00:40:00,467.9889913571435,0.0,previous_issue_point,2025-01-31T18:00:00,467.9889913571435,467.9889913571435,0.0,0.0,0.0,9518.423164074075,9518.423164074075,0.0,199.92489710777173
2025-02-01,0,2025-02-01 00:00:00,5,2025-02-01 00:40:00,2025-02-01 00:50:00,473.85663408715675,0.0,previous_issue_point,2025-01-31T18:00:00,1064.4975628937405,1064.4975628937405,590.6409288065838,0.0,0.0,9518.423164074075,10050.0,1.0,454.6469091119165
2025-02-01,0,2025-02-01 00:00:00,6,2025-02-01 00:50:00,2025-02-01 01:00:00,460.54400507294906,0.0,previous_issue_point,2025-01-31T18:00:00,460.54400507294906,460.54400507294906,0.0,0.0,0.0,10050.0,10050.0,0.0,197.34310617375866
2025-02-01,0,2025-02-01 00:00:00,7,2025-02-01 01:00:00,2025-02-01 01:10:00,480.5570409484658,0.0,current_issue_points,,480.5570409484658,480.5570409484658,0.0,0.0,0.0,10050.0,10050.0,0.0,207.1681403528836
2025-02-01,0,2025-02-01 00:00:00,8,2025-02-01 01:10:00,2025-02-01 01:20:00,476.8780047104005,0.0,current_issue_points,,476.8780047104005,476.8780047104005,0.0,0.0,0.0,10050.0,10050.0,0.0,205.1529176264143
2025-02-01,0,2025-02-01 00:00:00,9,2025-02-01 01:20:00,2025-02-01 01:30:00,456.92792090405095,0.0,current_issue_points,,456.92792090405095,456.92792090405095,0.0,0.0,0.0,10050.0,10050.0,0.0,195.5194573548434
2025-02-01,0,2025-02-01 00:00:00,10,2025-02-01 01:30:00,2025-02-01 01:40:00,486.37817986200923,0.0,current_issue_points,,486.37817986200923,486.37817986200923,0.0,0.0,0.0,10050.0,10050.0,0.0,209.7262711564984
