date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,7910.205188921467,0.0
2025-03-20,4,1742.835836864336,0.0
2025-03-20,8,0.0,0.0
2025-03-20,12,0.0,0.0
2025-03-20,16,0.0,5629.9807526297245
2025-03-20,20,1181.9133160343724,3149.521705307169
2025-06-21,0,244.8207111911022,0.0
2025-06-21,4,360.1126688990699,0.0
2025-06-21,8,4778.992892859263,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,39.0435727299332,5977.815520943563
2025-06-21,20,5660.953377520614,2549.5697477687463
2025-09-23,0,7016.919875281692,0.0
2025-09-23,4,1681.764093655863,0.0
2025-09-23,8,2.021099337273174e-12,1.6370904631912709e-12
2025-09-23,12,4.042198674546348e-12,4.911271389573813e-12
2025-09-23,16,0.0,5602.905000000001
2025-09-23,20,2016.8356223685294,3124.922251909415
2025-12-21,0,8750.950304076545,0.0
2025-12-21,4,1378.4358456523355,0.0
2025-12-21,8,0.0,0.0
2025-12-21,12,0.0,0.0
2025-12-21,16,0.0,5714.930043628879
2025-12-21,20,974.8397372915932,2852.102588316847
