minute,energy_kwh
0,6000.0
10,6790.569415042095
20,7581.138830084188
30,8371.708245126283
40,9162.277660168378
50,9952.847075210473
60,9952.847075210473
70,9952.847075210473
80,9952.847075210473
90,10009.430584957905
100,10009.430584957905
110,10009.430584957905
120,10009.430584957905
130,10009.430584957905
140,10009.430584957905
150,10009.430584957905
160,10009.430584957905
170,10009.430584957905
180,10009.430584957905
190,10009.430584957905
200,10009.430584957905
210,10009.430584957905
220,10009.430584957905
230,10009.430584957905
240,10009.430584957905
250,10009.430584957905
260,10009.430584957905
270,10009.430584957905
280,10009.430584957905
290,10009.430584957905
300,10009.430584957905
310,10009.430584957905
320,10009.430584957905
330,10009.430584957905
340,10800.0
350,10176.883517170843
360,9472.482074975587
370,8781.571489029515
380,8131.719178358281
390,7508.271411807804
400,6920.628657042048
410,6362.761030313976
420,5833.110389579378
430,5353.030717466908
440,4920.782462603918
450,4544.474811708261
460,4245.7833861830495
470,3907.7526468144392
480,3466.697712191019
490,3064.1283994202167
500,2737.8273560307957
510,2458.894017008409
520,2233.591431372903
530,2045.3738069732806
540,1881.576133939521
550,1763.2442309422968
560,1695.3639733273496
570,1671.5812736146383
580,1688.1111946454237
590,1738.2375013883807
600,1818.4604537228356
610,1929.4408253772694
620,2068.5752870793367
630,2233.1910501278867
640,2423.903983908625
650,2637.743002068717
660,2869.2305021135494
670,3507.960075595584
680,3766.601057790819
690,4036.3316259644507
700,4310.787095492635
710,5101.35651053473
720,5891.925925576825
730,6682.49534061892
740,7473.064755661015
750,8263.63417070311
760,9054.203585745205
770,9343.126760173649
780,9594.060307216367
790,9824.123169552517
800,10035.751249663726
810,10224.310893717326
820,10392.569189534293
830,10536.522677785468
840,10650.397909089737
850,10733.70601113223
860,10784.579026499083
870,10800.0
880,10774.932238487243
890,10703.970710224856
900,10703.970710224856
910,10800.0
920,10800.0
930,10800.0
940,10800.0
950,10800.0
960,10800.0
970,10800.0
980,10800.0
990,10800.0
1000,10800.0
1010,10800.0
1020,10800.0
1030,10800.0
1040,10800.0
1050,10800.0
1060,10800.0
1070,10800.0
1080,10800.0
1090,10192.181866730589
1100,10192.181866730589
1110,10192.181866730589
1120,10192.181866730589
1130,9449.432133374212
1140,8704.732574748994
1150,7959.060686016112
1160,7212.18024503435
1170,6464.3575682873225
1180,5714.6527390133815
1190,4964.494597236855
1200,4214.565685454272
1210,3462.255525888955
1220,2708.2798298164457
1230,1954.3645332472456
1240,1200.0
1250,1200.0
1260,1200.0
1270,1200.0
1280,1200.0
1290,1200.0
1300,1200.0
1310,1200.0
1320,1990.5694150420948
1330,2781.1388300841895
1340,2781.1388300841895
1350,3571.708245126284
1360,4362.277660168379
1370,4362.277660168379
1380,5152.847075210474
1390,5152.847075210474
1400,5152.847075210474
1410,5943.416490252569
1420,6000.0
1430,6000.0
1440,6000.0
