date,grid_plan_kwh,planned_cost_yuan,emergency_kwh,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,37737.905954909336,20379.317758145895,0.0,0.0,20379.317758145895,13048.720155503539,15276.676321259542,5587.686187332006,1816.351687332006,3771.3345,7268.4231640740745,2038.1865026277674
2025-02-02,89828.20653807065,57171.13276177665,0.0,0.0,57171.13276177665,21241.58031397342,16918.662080029986,7149.01035412722,7089.836287460553,59.17406666666682,2038.1865026277674,2357.0953629483
2025-02-03,88137.98631669112,56154.713541839374,0.0,0.0,56154.713541839374,21129.758269444555,17438.32268168476,4229.634228931325,4229.634228931325,0.0,2357.0953629483,1997.9637146875543
2025-02-04,89465.32361160961,56978.25258684608,0.0,0.0,56978.25258684608,22853.560728285163,18363.550133125278,3780.449066449719,3780.449066449719,0.0,1997.9637146875543,2162.2237777827763
2025-02-05,87706.37343469085,55714.16006269579,0.0,0.0,55714.16006269579,22280.173929094602,18397.228369494856,3075.000891757767,3072.9483917577672,2.0525000000000944,2162.2237777827763,1773.0154589736342
2025-02-06,89238.4581826602,56893.70186437654,0.0,0.0,56893.70186437654,22213.13805587269,17763.621040177877,4517.883950298708,4516.483133632042,1.4008166666668558,1773.0154589736342,2027.4829979502986
2025-02-07,42115.60537477201,22125.9659659898,0.0,0.0,22125.9659659898,18667.46238066921,15719.692796245774,7362.156123681902,2229.7870165298104,5132.369107152091,2027.4829979502986,1361.873811390625
2025-02-08,38019.96738402635,19810.36273090862,0.0,0.0,19810.36273090862,18937.93533882165,15462.989401148683,2967.8587296867113,233.59560558131275,2734.2631241053987,1361.873811390625,1224.916281720462
2025-02-09,84025.4410711212,52646.95736734425,467.70940059231253,2720.3912935922745,55367.34866093653,23837.03361947531,19330.421885323423,431.1227708949533,431.1227708949533,0.0,1224.916281720462,1200.0
2025-02-10,85497.8156387933,53981.67694242726,0.0,0.0,53981.67694242726,20486.81025806552,16533.936257437927,7218.304054832373,6718.641021499041,499.66303333333315,1200.0,1267.0889462168266
2025-02-11,83573.36576696383,52413.49414444943,103.34927987801015,417.3508199898982,52830.84496443933,22489.344153821654,18276.748816190688,4243.522575877541,4000.0648758775415,243.45770000000027,1267.0889462168266,1200.0
2025-02-12,83305.45446630791,52250.381165837294,6.444940369443838,13.779282509870924,52264.16044834717,22390.432854259834,18136.250611950465,3790.981031034651,3576.7695696296596,214.2114614049916,1200.0,1200.0
2025-02-13,82823.52510320213,51904.02507851202,0.0,0.0,51904.02507851202,20372.27719761968,16320.436030212362,7442.204919128147,7011.308790843892,430.89612828425453,1200.0,1401.2316665106403
2025-02-14,35144.79810604147,18446.393059473383,332.2817574774582,917.4135130968443,19363.806572570225,18371.3946118692,15061.938135473625,2365.821570456684,225.1879204566859,2140.6336499999984,1401.2316665106403,1200.0
2025-02-15,35021.428623693166,18271.48157758176,559.6118066392421,1746.97260488485,20018.45418246661,18335.433637601527,14851.701246457242,2817.2169391881203,0.0,2817.2169391881203,1200.0,1200.0
2025-02-16,80230.45253714718,49869.39583520638,56.30606993767299,153.89892569051605,50023.2947608969,23690.547627303127,19189.34357811554,408.17545789726836,408.17545789726836,0.0,1200.0,1200.0
2025-02-17,79427.94963818317,49367.97101941821,57.87022996352423,123.26851480020011,49491.23953421841,20776.6538595904,16829.089626268218,4354.392468157844,3559.911268157843,794.4812000000004,1200.0,1200.0
2025-02-18,78942.48471269503,49140.04538069094,0.0,0.0,49140.04538069094,21715.957827100294,17466.25972211227,2601.39882437367,2505.5625136740823,95.8363106995878,1200.0,1337.406797598849
2025-02-19,78305.78174826417,48737.00445993917,305.89160017694337,651.7469833397618,49388.75144327893,22933.9448365545,18700.161435448106,1498.5625640013884,1498.5625640013884,0.0,1337.406797598849,1200.0
2025-02-20,78037.04575215734,48419.62214455289,48.29412984268472,119.4425076981526,48539.06465225105,21922.593669008667,17757.300871897016,2926.913351555045,2535.098868221712,391.81448333333344,1200.0,1200.0
2025-02-21,34135.1894040202,17813.94993395211,296.67548065961,951.4440147946666,18765.393948746776,17858.101482935806,14465.062201178005,5478.563569588675,233.2412362553417,5245.3223333333335,1200.0,1200.0
2025-02-22,34275.03745138466,17847.77947356273,131.63341197024096,281.3284602706923,18129.10793383342,17916.806314823967,14512.613115007409,3157.714780205011,0.0,3157.714780205011,1200.0,1200.0
2025-02-23,77237.54418802455,47759.76181389934,0.0,0.0,47759.76181389934,22683.770132806418,18254.8977264193,1276.8180983040968,1249.0662093220437,27.751888982052986,1200.0,1332.1734235043314
2025-02-24,76037.64834048458,46995.42670976649,63.32016092084949,135.34837943618572,47130.77508920268,21003.428390453682,17131.73307742138,4026.239571706464,2926.9095459688406,1099.3300257376234,1332.1734235043314,1200.0
2025-02-25,76434.63745065995,47301.78815486466,75.22246182496525,160.67746424249555,47462.46561910716,20194.56027460282,16357.593822428284,6851.570226977049,5211.073574857409,1640.4966521196397,1200.0,1200.0
2025-02-26,75991.70460698952,46997.3879080493,0.0,0.0,46997.3879080493,21376.762798715703,16900.18449545544,2700.278270395909,1929.5453414487713,770.7329289471377,1200.0,1661.103746115873
2025-02-27,74198.1848818599,45866.58029736439,0.0,0.0,45866.58029736439,22480.04308384121,18554.461694445356,3316.0192924640373,2622.1743415792375,693.8449508848001,1661.103746115873,1277.0739721892423
2025-02-28,33241.89015102637,17277.950859124543,71.83465567312484,235.6992240291363,17513.65008315368,17485.559851967748,14232.6700550642,6768.241459795943,265.05110979594076,6503.190350000003,1277.0739721892423,1200.0
2025-03-01,33337.46739228302,17318.112968958998,60.17867694008167,127.78427464917732,17445.897243608175,16708.60477514126,13533.969867864416,6564.245228612921,0.0,6564.245228612921,1200.0,1200.0
2025-03-02,73675.57817942096,45309.87356542181,3480.367054707845,23289.72958276835,68599.60314819016,20666.067043956922,16665.87420175746,797.4453252626821,797.4453252626821,0.0,1200.0,1281.8223376084989
2025-03-03,73866.44594697825,45625.44986957127,2375.911808233993,14586.228922273209,60211.678791844475,21975.179304368197,17873.535340385894,123.56715789660427,123.56715789660427,0.0,1281.8223376084989,1200.0
2025-03-04,75375.94556978687,46586.33095811437,0.0,0.0,46586.33095811437,22278.66646180685,17885.17310534835,1782.9942799950306,1332.8993299950303,450.0949500000005,1200.0,1378.3852541280028
2025-03-05,76214.48218889193,47151.581845734545,0.0,0.0,47151.581845734545,20185.363178898304,16367.183413999355,6265.830407326306,5639.832740659639,625.997666666667,1378.3852541280028,1359.452766248295
2025-03-06,75552.34431477085,46877.32344187572,38.256010806131,81.79135110350808,46959.11479297923,19907.205965382913,16268.344321583627,6011.084548444356,4774.528248444357,1236.5562999999993,1359.452766248295,1200.0
2025-03-07,32589.87994734115,16970.428090877213,0.0,0.0,16970.428090877213,16000.478724543533,12917.612284884766,8584.727974349049,276.4991708460803,8308.228803502969,1200.0,1247.5283133283262
2025-03-08,31368.379396197946,16485.178168184168,131.88760564708278,534.1600483629451,17019.338216547112,15940.143893278457,12704.17009441388,9201.153686313786,455.04620298045234,8746.107483333333,1247.5283133283262,1477.9132679301795
2025-03-09,72892.05637930446,44832.95756511984,0.0,0.0,44832.95756511984,21102.03497451299,16832.776502371507,5289.272857162971,4111.4465129257,1177.8263442372722,1477.9132679301795,1766.6597423568626
