hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,policy
0,1050598.2298178384,0.0,1050598.2298178384,0.0,B0
1,719860.0957454843,1801.780590653747,721661.876336138,835.4931195611023,B0
2,577696.9602908425,2668.438192775156,580365.3984836177,1230.350766768709,B0
3,509331.53561990464,3076.109513812809,512407.64513371745,1408.9927355305076,B0
4,508450.7940224015,4270.433112240242,512721.2271346417,1943.642939392568,B0
5,552566.3040049183,19046.67529562987,571612.9793005482,5642.1728131366135,B0
6,196465.38170108778,193154.95189810742,389620.33359919523,44548.441204253126,B0
7,265542.92773940094,141064.48807934672,406607.41581874766,33693.99153096791,B0
8,2615.9500609122624,251375.30151604448,253991.25157695674,47129.6613068507,B0
9,17148.909992113975,267489.7265130619,284638.6365051759,54454.785587846556,B0
10,57795.76759787451,91253.77151204605,149049.53910992056,19206.34895184788,B0
11,303764.5960805994,925.3308411316674,304689.9269217311,387.2208275000003,B0
12,250492.69668709385,0.0,250492.69668709385,0.0,B0
13,27299.859692425416,0.0,27299.859692425416,0.0,B0
14,85286.53948264723,580.6832684576459,85867.22275110487,149.62096698431532,B0
15,588313.8120199628,4321.420689719034,592635.232709682,1155.9516731148196,B0
16,960133.1573981853,4829.154947877106,964962.3123460624,1089.6606875946136,B0
17,1351157.3689299433,4765.451147335012,1355922.8200772784,904.2996913848187,B0
18,1020595.1203272324,42439.33762940048,1063034.4579566328,6387.020806599187,B0
19,54938.00928851428,539635.9731580436,594573.9824465578,80060.67534516608,B0
20,568807.7000612046,2506192.6774249114,3075000.377486116,370613.92912978196,B0
21,1177538.6859312144,180142.71481378324,1357681.4007449977,39991.740669158185,B0
22,625667.2744329654,30153.364224925215,655820.6386578907,14385.638521938155,B0
23,515763.8904565984,56664.04109998081,572427.9315565792,26664.482419519827,B0
0,808200.2257512561,702.0071129758319,808902.2328642319,329.64144766666595,B1
1,551897.2401605706,3006.611686759834,554903.8518473305,1396.181023,B1
2,525165.5637475343,3318.904627916667,528484.4683754509,1530.0727000000002,B1
3,504157.89339284814,2689.391966130831,506847.28535897896,1231.743467499999,B1
4,478414.30693153164,2685.6653139522505,481099.9722454839,1223.3391711666668,B1
5,492625.0529927347,3919.2064190491683,496544.2594117839,1232.3593183333337,B1
6,213891.3910905861,31418.364011931957,245309.75510251807,7191.209681405342,B1
7,280145.010363778,67428.35550217553,347573.36586595356,15309.986339333322,B1
8,1744.895521758336,197984.31073667697,199729.2062584353,36991.596716730615,B1
9,10700.797176544984,237421.4111761862,248122.20835273116,48387.34064249999,B1
10,55278.85742021023,95743.13479565424,151021.99221586448,20099.796903166683,B1
11,326930.19045540283,819.1710992750006,327749.36155467783,340.6748833333336,B1
12,269585.3210568584,0.0,269585.3210568584,0.0,B1
13,31382.0992379,0.0,31382.0992379,0.0,B1
14,78193.32559010577,0.0,78193.32559010577,0.0,B1
15,542396.6262893459,5429.603069722677,547826.2293590687,1427.0165223333363,B1
16,971371.7236331592,11840.178824527413,983211.9024576866,2650.3869198333327,B1
17,1451627.150090335,12866.060154125005,1464493.21024446,2476.327166666668,B1
18,1086703.3990071567,39117.5768709833,1125820.97587814,5919.154783333327,B1
19,52858.977174045045,417652.6849781741,470511.6621522191,61960.39698314402,B1
20,575748.9501213983,1850659.6045341485,2426408.554655547,273425.541882089,B1
