slot_id,coverage,quantile_loss_kwh,point_pinball_same_tau_kwh,point_net_mae_kwh,policy,tau,lead_minutes
1,0.47305389221556887,15.19127188248689,15.19127188248689,29.230653475560995,B0,0.8,10
2,0.47305389221556887,15.144126097947424,15.144126097947424,28.716248701971832,B0,0.8,20
3,0.4820359281437126,16.58654045037505,16.58654045037505,31.661074596694142,B0,0.8,30
4,0.4431137724550898,14.533152937207863,14.533152937207863,27.52683978194663,B0,0.8,40
5,0.47005988023952094,15.219505850437798,15.219505850437798,29.1749796011901,B0,0.8,50
6,0.4550898203592814,16.93997685393681,16.93997685393681,32.902603966763834,B0,0.8,60
7,0.4550898203592814,16.42963580324577,16.42963580324577,31.52192390790886,B0,0.8,70
8,0.46107784431137727,16.17127034228886,16.17127034228886,30.77671836158438,B0,0.8,80
9,0.45808383233532934,15.960763449763599,15.960763449763599,30.430259652142432,B0,0.8,90
10,0.5119760479041916,15.133700699354295,15.133700699354295,28.574174740500833,B0,0.8,100
11,0.47904191616766467,15.394215953924956,15.394215953924956,28.93363632360449,B0,0.8,110
12,0.4940119760479042,16.35254295616777,16.35254295616777,30.847922844384154,B0,0.8,120
13,0.45209580838323354,16.453904366097714,16.453904366097714,30.988239068677554,B0,0.8,130
14,0.4431137724550898,16.074609187304638,16.074609187304638,30.35507825442778,B0,0.8,140
15,0.47005988023952094,14.86274924033528,14.86274924033528,28.1531158898062,B0,0.8,150
16,0.47005988023952094,14.047475820229225,14.047475820229225,26.52988235867045,B0,0.8,160
17,0.47305389221556887,14.510583354750727,14.510583354750727,27.721500740600074,B0,0.8,170
18,0.5029940119760479,15.763219855712316,15.763219855712316,30.69661913090391,B0,0.8,180
19,0.47904191616766467,14.844441635792224,14.844441635792224,28.97753404383237,B0,0.8,190
20,0.47005988023952094,14.428162867588103,14.428162867588103,28.170450596511053,B0,0.8,200
21,0.47005988023952094,13.943466654595934,13.943466654595934,27.32504452570773,B0,0.8,210
22,0.5,13.983922527439201,13.983922527439201,27.534606617355465,B0,0.8,220
23,0.5149700598802395,13.339337704598506,13.339337704598506,26.43942659680129,B0,0.8,230
24,0.5149700598802395,14.429775034133257,14.429775034133257,28.853758599623134,B0,0.8,240
25,0.5359281437125748,13.671135958143111,13.671135958143111,27.545809461920253,B0,0.8,250
26,0.5089820359281437,13.463739890913939,13.463739890913939,27.462972700941283,B0,0.8,260
27,0.5239520958083832,14.627210450166244,14.627210450166244,29.8352275466459,B0,0.8,270
28,0.4880239520958084,14.465126657025241,14.465126657025241,27.913894891879863,B0,0.8,280
29,0.4281437125748503,16.580537650416172,16.580537650416172,28.955556825770064,B0,0.8,290
30,0.39820359281437123,21.838690830855327,21.838690830855327,34.86850091928707,B0,0.8,300
31,0.3263473053892216,25.074459036792494,25.074459036792494,37.56831540964797,B0,0.8,310
32,0.2994011976047904,28.542376907964456,28.542376907964456,41.25891303161257,B0,0.8,320
33,0.2634730538922156,31.752542835577728,31.752542835577728,45.11207324437515,B0,0.8,330
34,0.25748502994011974,33.27981147156882,33.27981147156882,46.592346502884574,B0,0.8,340
