date,B0,B1,P,E,PE,P_tau07,P_tau09,P_w14,P_w56,B0_terminal,B1_terminal,P_terminal,B0_efficiency,B1_efficiency,P_efficiency,B0_power,B1_power,P_power,P_saving_vs_B0,P_saving_vs_B1
2025-02-01,22081.924410003714,22259.88302372364,24831.95558946708,52954.10471446975,51752.98672949105,23610.27947212423,26753.427202439983,24446.42424561505,24740.436164448398,21484.348561243918,21662.307174963848,24234.379740707285,20858.384294423595,21101.199441458302,23561.80489593152,22067.374968439748,22245.31060633504,24808.985023930334,-2750.031179463367,-2572.0725657434414
2025-02-02,56747.88759540669,56112.123282406785,59295.69353393905,106365.45954668187,102702.32185050317,57749.25353720164,61593.16861792142,58708.88929221579,59146.07259171032,56768.71290219157,55898.877576836545,58718.162666419616,54695.65319926329,54162.07289344778,57276.77471904768,56545.80641956535,55916.92568800988,59094.768004520476,-2547.8059385323577,-3183.570251532263
2025-02-03,58358.224311510545,54397.74444309716,57810.59339368033,108704.24340204037,103588.82350362587,56444.91519151753,59818.65137364549,57445.670386786405,58225.30661352814,58198.89079360791,54176.19680514222,57219.179206485445,56379.972551237544,52515.07030405425,55818.445285645044,58154.898334276986,54206.256334665166,57606.52316172972,547.6309178302181,-3412.8489505831676
2025-02-04,55680.79549607796,55549.062627984444,58400.423925948366,113688.98637854893,110007.48095757037,57048.08456970002,60439.759676369154,58036.88079677367,58806.56439618798,55580.95878037932,55376.96208084512,57957.14601824264,53603.107683972536,53625.959330453225,56398.94255756398,55851.10799103378,55450.095728962035,58210.131010304416,-2719.628429870405,-2851.361297963922
2025-02-05,58059.628994586565,56993.71802228667,57171.562640944525,112156.66773552909,108080.14086174681,55788.06587150923,59104.94038903556,57054.223044424856,57678.139547895546,58010.96910670905,56812.289855252595,56609.73996799606,56277.97816820382,55003.28031142654,55169.73727966707,58059.62770887885,56833.810191432865,56969.768194162585,888.0663536420398,-177.84461865785852
2025-02-06,55559.22219858265,56453.055704818275,58226.28826175227,108936.81435920995,106275.10049837948,56952.38238803406,60036.37869789886,57962.695649571535,58662.27346408706,55492.487822112394,56341.97755749068,57845.93439121173,53507.382199224885,54483.08083694038,56187.142200845075,55432.12220736016,56254.01725052286,58026.89659606604,-2667.066063169623,-1773.2325569339955
2025-02-07,21934.725797267245,21681.60832379342,23438.266422628174,51532.26387238528,51165.36218970473,22389.863561298647,24927.45468251533,23074.184826666708,23791.263698241804,21911.873781846833,21483.13219506369,22944.0072322913,20742.063975202484,20382.918171677204,22193.881759895357,21920.211782111954,21666.6000828919,23412.84427381906,-1503.540625360929,-1756.6580988347523
2025-02-08,22172.105656737232,20001.589964978146,20761.73895260872,50809.86712915187,46398.421712804804,20166.958500966335,22210.688684216802,20380.08034019238,21122.55830949938,22260.03919681468,19922.05542277179,20423.143772594212,21101.875690318764,18933.940159058067,19643.60502161346,22162.13086552461,19993.37515646969,20747.392656312422,1410.3667041285116,-760.148987630575
2025-02-09,65892.2612451565,64108.19468893844,53678.219217542166,114274.50237764425,108340.04171534251,59749.49077445746,55449.94042925412,54928.927785225555,54092.59102355729,65958.55175146586,64089.74016198704,53392.550088150456,64443.850617831646,61871.59861368719,51764.21826819854,65504.26202407657,63024.29270421027,53437.70231102156,12214.042027614327,10429.975471396276
2025-02-10,54775.216348034,53229.33564332659,54915.526255999335,98541.92023647913,95183.53242400594,53552.583433761545,56771.902872805855,54300.60726830562,55359.18643939387,54805.10160863463,53253.84301996951,54781.28127246657,53015.79762241999,51280.0392586612,53084.267598899714,54575.64145881282,53076.01341385324,54698.51894947907,-140.30990796533297,-1686.190612672748
2025-02-11,56182.01503941532,55223.42783848414,53400.38830054211,106450.70488849762,99870.41691763456,52597.54840261252,55251.68298759205,53035.24578500932,53816.17787234575,56304.5978227621,55299.121936695454,53214.16026759208,54387.97157009737,53934.68417980482,51489.50821271504,56075.93402644804,55622.2303856466,53201.397384774624,2781.6267388732085,1823.0395379420297
2025-02-12,55204.57487524469,53845.978708643874,53160.08263745204,104700.90673133178,98898.40910563852,51810.450207351154,55036.11060225308,52369.518239383324,53561.12053848569,55255.59437460306,53857.37991813659,53050.99362763392,53480.64070399818,54177.37009966814,51316.464875088954,55087.584507543805,55859.65132050162,52968.47893345566,2044.4922377926487,685.8960711918335
2025-02-13,53379.13863430471,51071.42348640662,52719.04913881772,94765.91300985617,89075.95188870598,51464.71078579483,54599.76572118355,52153.91938862278,53223.50707714649,53443.46899234035,51088.891603702046,52528.33748859105,51702.02719117789,49324.02940419411,50893.86409817235,53200.222248921746,50912.470635897174,52538.81806874245,660.0894954869946,-1647.6256524111013
2025-02-14,25261.449478399416,20497.840912304306,19588.89095782699,49602.20434776372,48593.63901028207,20019.42837745279,20629.561451832084,19598.617105395115,19819.329612235473,25240.9257365263,20354.96946922402,19208.161300094063,24157.033932863407,18936.391446496786,18640.18758720573,25251.52415044095,20494.25747897874,19574.544661530694,5672.558520572427,908.9499544773171
2025-02-15,25430.56660174489,19469.212930319864,19305.034830667344,48752.91239089084,48100.169988027694,19319.84014152608,20224.638377946227,18993.105719305273,19537.451961131275,25569.406081776873,19367.55641953779,18964.156936280317,24320.716688942313,18659.80754945998,18354.658231011897,25420.64127378642,19465.769672693055,19290.688534371046,6125.531771077545,164.17809965251945
2025-02-16,60423.96161469823,53448.62494029514,50953.25564491321,106372.96769750827,99761.17666796639,53990.490023317165,52775.196733233366,50802.50968147861,51379.86957678882,60619.50894134275,53624.93036022956,50923.08725013418,58048.073723849906,51943.156111932156,50543.48687883222,59020.61402655468,53304.0969442142,51943.655948847445,9470.70596978502,2495.3692953819336
2025-02-17,53657.58850639679,50658.07080598386,50294.81134516546,95043.048240408,88489.73636787588,49608.6837316088,52019.30372234981,50260.242642840836,50753.51784161191,53687.299893277595,50686.05431210853,50110.071001672826,51918.86450550413,48841.997727375056,48473.74954962162,53905.21025192636,50477.7194151282,50126.88443908021,3362.77716123133,363.25946081840084
2025-02-18,53228.771166526276,52495.4359842448,50160.19379652354,97675.19294445805,91702.20671122134,48865.14634961732,51936.908018565344,50119.02482026674,50615.07691598328,53325.351769146204,52716.148700251164,50005.32507839487,51489.671830483014,50923.83450825664,48334.0322072094,53687.04491786214,52370.26300382242,50116.809246459125,3068.577370002735,2335.242187721262
2025-02-19,54310.07220810734,55747.145445556365,50151.29630548868,104428.41331153229,97392.32164380577,48960.74349925865,51578.646477979295,50052.20132791425,50567.87122045642,54361.12379260577,55847.61424311082,49878.203495880276,53842.13359927646,53941.46944992613,48337.16340475974,55285.974478911594,55755.86823888566,50159.76436386275,4158.775902618661,5595.849140067687
2025-02-20,52624.661187623075,48713.53633311417,49456.78458850372,99678.980713814,93100.3537603118,48469.6939952515,51159.4683008792,49464.71402375289,49930.68424574819,52813.93161353415,48839.90988060131,49401.41790609636,51003.535275152804,46968.861359571354,47723.68169767651,53448.38821150466,48567.95446475656,49427.58328169489,3167.8765991193577,-743.2482553895461
2025-02-21,23326.89998861014,17785.46339664726,18856.59718606715,45205.72113966019,47605.94982789349,19099.45701339669,19679.311088058297,19028.679306382826,19056.340006801453,23423.69927465468,17741.299522872407,18461.320470805895,22392.232904831708,16979.4113590158,17907.2262115792,23317.02111471342,17784.984677675813,18842.250889770854,4470.302802542992,-1071.1337894198878
2025-02-22,24597.813110517392,19072.675899768263,18877.67303781747,44904.43808260498,46525.11294579809,18261.267525393963,19717.59540164844,19125.454557714966,19096.39624544001,24841.183281280817,19012.619672644334,18464.878426348267,23452.96074532164,17552.868926293824,17926.382629929914,24569.114379683288,19071.89013556967,18863.326741521174,5720.140072699924,195.00286195079389
2025-02-23,51683.23068041816,48511.93040866346,48806.007346716935,100214.29486427066,94821.23803889916,48037.867878198784,50427.38247936407,48971.647441914334,49197.41297617642,51674.52505940508,48528.990065056176,48589.339022616165,49721.13328491876,46720.61250083492,47028.50626973323,51485.57336922827,48327.42352545664,48652.346939311625,2877.223333701222,-294.0769380534766
2025-02-24,51790.1392278904,49536.11055910167,48136.03402772111,94918.01146547317,88609.85375760235,47335.78846515861,49725.63224750829,48307.83695156882,48634.33800766441,51839.95291689723,49584.927936453394,47857.88935970075,50060.28769669204,47848.71396192294,46375.64686300062,52987.180557054606,49500.123999465235,48327.67906120178,3654.105200169295,1400.0765313805605
2025-02-25,50287.11549074201,45373.98615352282,48583.43156240466,91025.44192815303,84871.65701317736,47266.903310353286,50283.94671065652,48780.80038272439,49042.74430402718,50345.50953316686,45377.92100736676,48361.2977182732,48541.118239677344,43680.943803506845,46807.98082500392,51141.217115370564,45336.954723938135,48625.10502920839,1703.6839283373556,-3209.4454088818384
2025-02-26,50150.66351621801,59156.03062042311,47730.53474182628,93635.10854581764,87765.14999410257,46745.138094850234,49466.02036323243,48193.87253382213,48347.407134636254,50280.2664758437,59246.97335686245,47527.240271610004,48448.86002011256,58605.15729745822,46001.39636157418,51078.76676959296,59120.395958451125,47657.38946012658,2420.1287743917273,11425.495878596827
2025-02-27,51928.44832404497,53011.85983207458,47199.017150182546,99866.44232376023,94083.00682606582,47774.9938781544,48745.75064938367,47403.93878145812,47522.66661624232,51827.91194062937,52934.11903978773,46784.214193054875,50099.744163109746,51280.512691585194,45386.18229430555,51666.2303593812,52888.291185587615,47293.80354490731,4729.431173862424,5812.842681892034
2025-02-28,23451.96916684212,17930.32660350496,18362.08924992457,43000.05568561157,45752.53952378099,18130.877681592072,19149.596304291546,18655.177055802626,18528.48581743707,23502.823662633335,17783.637922150512,17846.008522826818,22643.343816437024,17108.645185086643,17424.507293128063,23442.13560199522,17938.0192309738,18347.742953628276,5089.879916917547,-431.762646419611
2025-03-01,20044.29212312899,18661.020890600284,18400.14824874122,39558.92714928001,42444.24385867935,17854.373539134085,19186.139542021072,18697.742998647835,18614.01636248785,20164.01628831243,18527.283232989666,17927.533376432024,19078.100031369097,17590.63196347034,17451.129153633494,20053.95434341835,18671.655724125823,18385.801952444926,1644.1438743877698,260.87264185906315
