issue_id,request_or_issue,actual_change,location,evidence,status
R03-01,Settlement wording,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:242; PDF page 9,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-02,Correction result,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:429; PDF page 17,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-03,Repeated price qualification,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:469; PDF page 18,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-04,Resampling scope reference,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:483; PDF page 18,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-05,Diagnostic figure introduction,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:487; PDF page 18,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-06,Verification methods; counts relocated,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:501; PDF page 19,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-07,Workbook verification; counts relocated,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:513; PDF page 20,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-08,Numerical tie result,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:517; PDF page 21,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-09,Information-test methods and outcomes,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:519; PDF page 21,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-10,Reproduction summary; details relocated,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:521; PDF page 21,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-11,Optimizer stopping and independent billing,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:523; PDF page 21,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-12,Forecast-error results and scope,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:525; PDF page 21,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-13,Daily-distribution introduction,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:535; PDF page 21,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-14,Consolidated resampling limitations,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:578; PDF page 24,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-15,Concrete limitations and next steps,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:598; PDF page 25,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-16,User-requested English title pattern,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:1; PDF page 1,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-17,Coverage and reproduction details relocated to Appendix A,See the exact original and revised text in reports/editorial_changes.json,manuscript_EN.md:651; PDF page 28,reports/manuscript_changes.diff; reports/editorial_verification.json; page_review.csv,Closed within editorial scope
R03-LAYOUT-01,Table 9 single-row spill,Keep the five-row Table 9 in one table block,code/convert_manuscript.py; PDF page 20,reports/typesetting_changes.diff; page_review.csv; build_history/,Closed within editorial scope
R03-LAYOUT-02,Figure 11 interrupts the resampling paragraph,Protect the resampling paragraph against the float boundary,code/convert_manuscript.py; PDF page 24,reports/typesetting_changes.diff; page_review.csv; build_history/,Closed within editorial scope
