charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,reserve_threshold_kwh,date,slot_id,interval_start,interval_end,active_issue_hour,load_actual_kwh,pv_actual_kwh,load_forecast_kwh,pv_forecast_kwh,grid_original_kwh,grid_effective_kwh,reserve_original_kwh,price_yuan_per_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan
833.3333333333334,0.0,0.0,13.922792172394225,13.922792172394225,0.0,2003.5921633326855,2753.5921633326852,2753.5921633326852,2025-03-20,1,2025-03-20 00:00:00,2025-03-20 00:10:00,0,549.8448166666667,0.0,599.953889516172,0.6881231779921642,1397.1009421723943,1397.1009421723943,2753.5921633326852,0.4248,593.4884802348331,0.0,-0.0,593.4884802348331,0.0,593.4884802348331
833.3333333333334,0.0,0.0,0.3976933562424847,0.3976933562424847,0.0,2753.5921633326852,3503.5921633326852,3503.5921633326852,2025-03-20,2,2025-03-20 00:10:00,2025-03-20 00:20:00,0,570.3135,0.0,593.4156177461416,0.7635675828808566,1404.0445266895758,1404.0445266895758,3503.5921633326852,0.4245,596.016901579725,0.0,-0.0,596.016901579725,0.0,596.016901579725
720.0278575052062,0.0,0.0,0.0,0.0,0.0,3503.5921633326852,4151.617235087371,4253.592163332685,2025-03-20,3,2025-03-20 00:20:00,2025-03-20 00:30:00,0,613.8516666666667,0.0,580.4393460126182,0.23923107243809127,1333.8795241718728,1333.8795241718728,4253.592163332685,0.4269,569.4331688689725,0.0,-0.0,569.4331688689725,0.0,569.4331688689725
770.4286756592261,0.0,0.0,0.0,0.0,0.0,4151.617235087371,4845.0030431806745,5003.592163332685,2025-03-20,4,2025-03-20 00:30:00,2025-03-20 00:40:00,0,579.4561666666667,0.0,589.9157636485189,0.0,1349.8848423258928,1349.8848423258928,5003.592163332685,0.4272,576.6708046416214,0.0,-0.0,576.6708046416214,0.0,576.6708046416214
780.2751240649474,0.0,0.0,0.0,0.0,0.0,4845.0030431806745,5547.2506548391275,5753.592163332685,2025-03-20,5,2025-03-20 00:40:00,2025-03-20 00:50:00,0,550.4449166666667,0.0,585.7067371611821,0.0,1330.720040731614,1330.720040731614,5753.592163332685,0.4271,568.3505293964723,0.0,-0.0,568.3505293964723,0.0,568.3505293964723
734.3440347311813,0.0,0.0,0.0,0.0,0.0,5547.2506548391275,6208.160286097191,6503.592163332685,2025-03-20,6,2025-03-20 00:50:00,2025-03-20 01:00:00,0,571.1566666666666,0.0,563.8726304229446,0.0,1305.500701397848,1305.500701397848,6503.592163332685,0.4285,559.4070505489778,0.0,-0.0,559.4070505489778,0.0,559.4070505489778
138.25046469052256,0.0,0.0,0.0,0.0,0.0,6208.160286097191,6332.585704318661,6487.951802149964,2025-03-20,7,2025-03-20 01:00:00,2025-03-20 01:10:00,0,601.5890499999999,0.0,557.0724677171621,0.0,739.8395146905225,739.8395146905225,6487.951802149964,0.4311,318.9448147830842,0.0,-0.0,318.9448147830842,0.0,318.9448147830842
589.761689280521,0.0,0.0,0.0,0.0,0.0,6332.585704318661,6863.371224671129,7253.592163332685,2025-03-20,8,2025-03-20 01:10:00,2025-03-20 01:20:00,0,611.48375,0.0,550.5681314738787,0.0,1201.245439280521,1201.245439280521,7253.592163332685,0.4302,516.7757879784801,0.0,-0.0,516.7757879784801,0.0,516.7757879784801
727.6470121341706,0.0,0.0,0.0,0.0,0.0,6863.371224671129,7518.253535591883,8003.592163332685,2025-03-20,9,2025-03-20 01:20:00,2025-03-20 01:30:00,0,598.2166666666667,0.0,543.8389841690238,0.0,1325.8636788008373,1325.8636788008373,8003.592163332685,0.4279,567.3370681588783,0.0,-0.0,567.3370681588783,0.0,567.3370681588783
172.23949071230197,0.0,0.0,0.0,0.0,0.0,7518.253535591883,7673.269077232954,7978.567136644531,2025-03-20,10,2025-03-20 01:30:00,2025-03-20 01:40:00,0,583.9359499999999,0.0,557.3656575097407,0.0,756.1754407123019,756.1754407123019,7978.567136644531,0.4312,326.0628500351446,0.0,-0.0,326.0628500351446,0.0,326.0628500351446
