date,block_start_hour,charge_actual_kwh,discharge_actual_kwh
2025-03-20,0,7546.710003496828,87.16430200937998
2025-03-20,4,1852.1318664111313,5053.1651928532165
2025-03-20,8,5906.931977703842,2777.3772166666668
2025-03-20,12,3815.5843177625943,532.9109837734923
2025-03-20,16,246.01489378711744,5337.7024232207
2025-03-20,20,746.7037583065633,2950.821055673109
2025-06-21,0,1019.2275927352995,6.160726345257899
2025-06-21,4,556.9254744091318,2271.69485421592
2025-06-21,8,8552.13940217527,0.0
2025-06-21,12,0.0,0.0
2025-06-21,16,0.0,4546.937854619426
2025-06-21,20,2271.8744197192495,2485.896583333333
2025-09-23,0,9060.10904595295,8.769190633760331
2025-09-23,4,1335.336373281001,5886.870498910074
2025-09-23,8,4847.865773815185,1896.6157166666667
2025-09-23,12,4655.8975601944,717.6237395714758
2025-09-23,16,362.2583532941395,6101.939261452742
2025-09-23,20,1070.7500506831716,2195.372808927468
2025-12-21,0,8516.933726061907,17.233948858870008
2025-12-21,4,1455.8412680025403,1362.652644212075
2025-12-21,8,5826.592252340377,6799.9018109284825
2025-12-21,12,6364.045020298706,2329.4394657980856
2025-12-21,16,295.3494266852808,5414.71745989898
2025-12-21,20,1199.3141344716737,2842.5257666666666
