policy,baseline,total_winning_days,total_losing_days,emergency_worse_days,positive_total_months,emergency_worse_months
D56,B0,261,73,0,11,0
D56,B1,216,118,13,11,0
D56,P_floor,232,102,73,8,7
D56,X_strong_morning85,222,112,71,8,6
D28,B0,255,79,0,11,0
D28,B1,213,121,17,11,0
D28,P_floor,229,105,76,7,10
D28,X_strong_morning85,227,107,78,8,10
D112,B0,262,72,0,11,0
D112,B1,221,113,12,11,0
D112,P_floor,250,84,65,8,8
D112,X_strong_morning85,250,84,68,8,7
D56_risk625,B0,252,82,0,11,0
D56_risk625,B1,207,127,11,11,0
D56_risk625,P_floor,223,111,59,7,7
D56_risk625,X_strong_morning85,212,122,58,7,5
D56_mu069,B0,253,81,0,11,0
D56_mu069,B1,202,132,12,11,0
D56_mu069,P_floor,203,131,68,7,7
D56_mu069,X_strong_morning85,197,137,71,6,6
D56_mu0,B0,260,74,0,11,0
D56_mu0,B1,215,119,23,11,0
D56_mu0,P_floor,223,111,109,6,7
D56_mu0,X_strong_morning85,219,115,112,6,8
