policy,date,start,success,status,message,nit,nfev,initial_score_yuan,incumbent_score_yuan,final_score_yuan,selected_index
D56,2025-02-01,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,276,30408.19537400997,29449.350009300288,29449.350009300288,1
D56,2025-02-01,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,281,38793.1465554841,29457.49265774357,29457.49265774357,1
D56,2025-02-02,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,266,65638.25568127917,64580.21668872065,64580.21668872065,1
D56,2025-02-02,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,105,166,73783.32926355423,64612.34582225632,64612.34582225632,1
D56,2025-02-03,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,245,64387.55632683847,63463.18045187919,63463.18045187919,1
D56,2025-02-03,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,259,72302.59627432055,63465.72361542265,63465.72361542265,1
D56,2025-02-04,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,158,251,64815.30486374949,63920.59671430003,63920.59671430003,1
D56,2025-02-04,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,145,230,73055.44575194111,63928.798096472376,63928.798096472376,1
D56,2025-02-05,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,247,63480.53700044867,62543.5582564234,62543.5582564234,4
D56,2025-02-05,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,249,71550.72120177773,62534.92464024893,62534.92464024893,4
D56,2025-02-06,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,267,64291.92314223525,63422.268674717205,63422.268674717205,4
D56,2025-02-06,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,243,72785.95648423834,63420.661967100816,63420.661967100816,4
D56,2025-02-07,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,279,28516.952290841135,27968.777192628106,27968.777192628106,1
D56,2025-02-07,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,172,323,35938.84842921352,27973.8830106572,27973.8830106572,1
D56,2025-02-08,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,220,25672.76044159433,25219.62894676373,25219.62894676373,4
D56,2025-02-08,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,172,318,33415.95990858755,25219.62609309137,25219.62609309137,4
D56,2025-02-09,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,292,59170.64670092957,58456.08605353807,58456.08605353807,1
D56,2025-02-09,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,247,68060.43125665245,58458.49231335995,58458.49231335995,1
D56,2025-02-10,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,234,60332.02685783854,59639.56158250996,59639.56158250996,4
D56,2025-02-10,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,245,70099.65008952103,59636.970778797666,59636.970778797666,4
D56,2025-02-11,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,244,58659.83421987384,57956.30250995763,57956.30250995763,1
D56,2025-02-11,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,149,240,67755.65021321911,57968.839944988526,57968.839944988526,1
D56,2025-02-12,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,231,58318.31076773068,57633.36643517338,57633.36643517338,1
D56,2025-02-12,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,239,67430.27794158984,57650.669759866745,57650.669759866745,1
D56,2025-02-13,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,224,57908.45344419209,57178.321589536776,57178.321589536776,1
D56,2025-02-13,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,246,67063.63863043433,57196.879528584665,57196.879528584665,1
D56,2025-02-14,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,269,23796.20558742821,23164.433745339706,23164.433745339706,1
D56,2025-02-14,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,258,31603.56758750308,23167.628030388845,23167.628030388845,1
D56,2025-02-15,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,276,23365.5005628401,22761.81856136979,22761.81856136979,1
D56,2025-02-15,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,104,175,31735.735643689408,22764.998320174982,22764.998320174982,1
D56,2025-02-16,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,233,55464.51997401463,54788.1501326955,54788.1501326955,1
D56,2025-02-16,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,243,64947.656221539226,54800.38080070419,54800.38080070419,1
D56,2025-02-17,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,246,54801.723583474,54119.524959028015,54119.524959028015,1
D56,2025-02-17,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,248,63638.61432030734,54130.44554465158,54130.44554465158,1
D56,2025-02-18,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,241,54464.51172936633,53796.8392528184,53796.8392528184,1
D56,2025-02-18,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,244,63365.527737720586,53810.949915204634,53810.949915204634,1
D56,2025-02-19,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,254,53984.51194153655,53337.694358977715,53337.694358977715,1
D56,2025-02-19,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,235,62595.498377890624,53351.64399359354,53351.64399359354,1
D56,2025-02-20,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,238,53570.38668901143,52902.91496604463,52902.91496604463,1
D56,2025-02-20,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,232,62896.858720843484,52915.62162238815,52915.62162238815,1
D56,2025-02-21,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,155,286,22271.236742665533,21644.467679354075,21644.467679354075,4
D56,2025-02-21,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,301,30318.684421353675,21643.100154220476,21643.100154220476,4
D56,2025-02-22,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,178,264,22159.95153303151,21557.37906994587,21557.37906994587,1
D56,2025-02-22,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,301,30383.494716696736,21559.66986491302,21559.66986491302,1
D56,2025-02-23,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,80,135,52594.42944412602,51962.61165407317,51962.61165407317,1
D56,2025-02-23,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,223,61819.77044287738,51974.582755215306,51974.582755215306,1
D56,2025-02-24,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,249,51790.281875975816,51160.07039617596,51160.07039617596,1
D56,2025-02-24,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,234,60578.04754103708,51171.358333580116,51171.358333580116,1
D56,2025-02-25,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,232,51983.58059676287,51339.59485689959,51339.59485689959,1
D56,2025-02-25,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,230,61058.15912578759,51355.561497741684,51355.561497741684,1
D56,2025-02-26,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,242,51618.587778341214,50951.14933990552,50951.14933990552,1
D56,2025-02-26,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,241,60719.3329402014,50964.1195894588,50964.1195894588,1
D56,2025-02-27,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,96,153,50551.44542737543,49923.6050044527,49923.6050044527,1
D56,2025-02-27,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,146,209,58973.58379910736,49937.4137149983,49937.4137149983,1
D56,2025-02-28,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,65,111,21037.411443853183,20494.033691659442,20494.033691659442,4
D56,2025-02-28,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,150,264,28857.110817509365,20484.672052501912,20484.672052501912,4
D56,2025-03-01,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,274,21112.86891153416,20550.416985644955,20550.416985644955,4
D56,2025-03-01,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,349,29240.656157977133,20542.05846125758,20542.05846125758,4
D56,2025-03-02,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,232,49871.79720363304,49207.20183456686,49207.20183456686,1
D56,2025-03-02,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,256,59110.281095122766,49220.46829159354,49220.46829159354,1
D56,2025-03-03,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,239,46821.058856558695,46032.959814393864,46032.959814393864,1
D56,2025-03-03,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,246,56129.43995024664,46078.18159923053,46078.18159923053,1
D56,2025-03-04,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,252,48090.40630153662,47192.67123827729,47192.67123827729,1
D56,2025-03-04,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,233,57605.570473861306,47237.64087721592,47237.64087721592,1
D56,2025-03-05,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,234,48742.25731886975,47818.01746963491,47818.01746963491,1
D56,2025-03-05,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,234,57855.055217446716,47862.77429776351,47862.77429776351,1
D56,2025-03-06,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,138,217,48437.99905540586,47542.97214441232,47542.97214441232,1
D56,2025-03-06,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,241,57503.91139138717,47593.802287262224,47593.802287262224,1
D56,2025-03-07,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,267,17635.191098153795,16963.89067142909,16963.89067142909,1
D56,2025-03-07,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,86,146,26403.53611648179,16991.908583874876,16991.908583874876,1
D56,2025-03-08,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,297,17183.03776347856,16514.86390607985,16514.86390607985,1
D56,2025-03-08,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,258,25556.082011868304,16525.798811232242,16525.798811232242,1
D56,2025-03-09,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,157,293,46407.83155724344,45545.83896059207,45545.83896059207,1
D56,2025-03-09,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,255,55089.78867793296,45582.60363836736,45582.60363836736,1
D56,2025-03-10,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,235,45475.807246163524,44694.01187005244,44694.01187005244,1
D56,2025-03-10,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,230,53860.37144416635,44729.71798335595,44729.71798335595,1
D56,2025-03-11,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,243,45357.78753017616,44434.83461303647,44434.83461303647,1
D56,2025-03-11,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,233,54622.915796308895,44480.514952152385,44480.514952152385,1
D56,2025-03-12,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,268,44826.92744094964,43901.63498185344,43901.63498185344,1
D56,2025-03-12,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,242,53220.250492102874,43945.16905957028,43945.16905957028,1
D56,2025-03-13,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,120,185,44190.36308872341,43252.60092362749,43252.60092362749,1
D56,2025-03-13,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,247,53463.85711668725,43297.12077445568,43297.12077445568,1
D56,2025-03-14,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,140,229,16154.44325281849,15400.097658052226,15400.097658052226,1
D56,2025-03-14,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,129,215,24464.503883719743,15409.385145530661,15409.385145530661,1
D56,2025-03-15,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,214,16514.156539967706,15776.378044689582,15776.378044689582,1
D56,2025-03-15,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,271,24792.548778252072,15784.485580979592,15784.485580979592,1
D56,2025-03-16,0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,162,240,44123.794607969125,43196.39529105075,43196.39529105075,1
D56,2025-03-16,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,157,233,53377.05812206796,43241.53869624283,43241.53869624283,1
D56,2025-03-17,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,237,44106.99154306348,43179.909457654,43179.909457654,1
D56,2025-03-17,1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,161,243,52416.13667856792,43221.52978611719,43221.52978611719,1
D56,2025-03-18,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,262,42843.19455507408,41948.14299544113,41948.14299544113,1
D56,2025-03-18,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,245,50979.97885845187,41984.39822129675,41984.39822129675,1
D56,2025-03-19,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,253,43143.105746790585,42262.915728549284,42262.915728549284,1
D56,2025-03-19,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,248,52112.220355020385,42306.7353204153,42306.7353204153,1
D56,2025-03-20,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,247,43124.331149253194,42237.41622967267,42237.41622967267,1
D56,2025-03-20,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,237,51181.268806723965,42274.39680698898,42274.39680698898,1
D56,2025-03-21,0,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,264,15754.187864181431,15035.836301633011,15035.836301633011,1
D56,2025-03-21,1,False,1,STOP: TOTAL NO. OF ITERATIONS REACHED LIMIT,180,285,23679.452424807198,15041.369641120064,15041.369641120064,1
