date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,policy,baseline
2025-02-01,1109.658133163568,470.4393104464916,1580.0974436100587,D56,B0
2025-02-02,-1467.9104704855781,1149.4531570271145,-318.45731345846434,D56,B0
2025-02-03,-1297.197890188334,3602.206872804386,2305.0089826160474,D56,B0
2025-02-04,-1482.529620485533,294.5444653234482,-1187.9851551620814,D56,B0
2025-02-05,-1482.3381327506213,3813.432838966615,2331.0947062159903,D56,B0
2025-02-06,-1595.9391167524664,292.8298798489157,-1303.1092369035468,D56,B0
2025-02-07,-1103.372637048029,969.6789104222154,-133.69372662581372,D56,B0
2025-02-08,-1395.4730162118394,3754.365880546793,2358.8928643349536,D56,B0
2025-02-09,-1709.3070871558084,12738.733570688231,11029.426483532421,D56,B0
2025-02-10,-1972.4436058524516,2700.548486336158,728.1048804837046,D56,B0
2025-02-11,-1836.041406258446,5601.654540278741,3765.613134020292,D56,B0
2025-02-12,-1839.5354788161349,4811.766330091906,2972.2308512757663,D56,B0
2025-02-13,-1854.6618955996673,3330.876634695462,1476.2147390957907,D56,B0
2025-02-14,-879.8112183890844,7349.4616744520445,6469.650456062958,D56,B0
2025-02-15,-1143.6879846255724,6950.289623202167,5806.601638576594,D56,B0
2025-02-16,-2056.6456929185224,12394.81231415864,10338.16662124011,D56,B0
2025-02-17,-1868.1202334001719,6150.686599151035,4282.566365750863,D56,B0
2025-02-18,-1859.9256099831691,5916.883539052114,4056.9579290689508,D56,B0
2025-02-19,-1777.8174783475188,7357.761896163633,5579.944417816114,D56,B0
2025-02-20,-1992.964798715264,6033.240443617942,4040.2756449026783,D56,B0
2025-02-21,-1246.3164925518613,6197.097831216081,4950.781338664223,D56,B0
2025-02-22,-1338.1514662216323,7993.804740188527,6655.653273966895,D56,B0
2025-02-23,-1937.2644336695303,5805.543397528563,3868.278963859033,D56,B0
2025-02-24,-1821.320343559717,6539.594402299579,4718.274058739866,D56,B0
2025-02-25,-1887.1726828541287,4863.466374151191,2976.2936912970617,D56,B0
2025-02-26,-1889.2034580159088,5027.668964113849,3138.465506097942,D56,B0
2025-02-27,-1653.8743439700993,7704.547218713933,6050.672874743839,D56,B0
2025-02-28,-1210.721963480768,7339.410403038481,6128.688439557714,D56,B0
2025-03-01,-1349.824889872365,4033.429571340824,2683.6046814684596,D56,B0
2025-03-02,-1894.1090409430763,13776.349726891993,11882.240685948913,D56,B0
2025-03-03,-1827.6104994402267,12571.014168692654,10743.403669252431,D56,B0
2025-03-04,-1971.6049105547136,3620.3395533710204,1648.7346428163073,D56,B0
2025-03-05,-1831.8446993815087,3883.94363510692,2052.0989357254075,D56,B0
2025-03-06,-1843.773847335804,4430.3847910679915,2586.6109437321866,D56,B0
2025-03-07,-1242.449250394935,2570.810844404089,1328.361594009155,D56,B0
2025-03-08,-1258.844535600323,5739.567035003422,4480.7224994030985,D56,B0
2025-03-09,-1754.5958763317321,2672.2638941126193,917.6680177808885,D56,B0
2025-03-10,-1601.6993055210623,13049.936559072356,11448.237253551291,D56,B0
2025-03-11,-1907.7288997410506,4753.488433486264,2845.7595337452076,D56,B0
2025-03-12,-1691.111018773925,5673.360909455756,3982.249890681829,D56,B0
2025-03-13,-1871.2068766131706,13033.707421125751,11162.500544512579,D56,B0
2025-03-14,-1307.2519636928973,8107.007100383149,6799.755136690252,D56,B0
2025-03-15,-1336.6649039062177,8952.321923693624,7615.6570197874025,D56,B0
2025-03-16,-1974.5849713750213,4903.918022494789,2929.3330511197637,D56,B0
2025-03-17,-1663.3480490417933,3606.770865489813,1943.4228164480228,D56,B0
2025-03-18,-1606.8336288957798,8471.67294101842,6864.83931212264,D56,B0
2025-03-19,-1820.9922117732203,3907.839575482723,2086.847363709501,D56,B0
2025-03-20,-1586.431674896332,5668.518751607633,4082.087076711301,D56,B0
2025-03-21,-1177.8898390327467,8552.848436072662,7374.958597039913,D56,B0
2025-03-22,-1467.4851798195577,4139.005913834249,2671.5207340146917,D56,B0
2025-03-23,-1527.8570503306837,7916.224366179728,6388.367315849049,D56,B0
2025-03-24,-1729.252371285991,5505.497574696401,3776.2452034104135,D56,B0
2025-03-25,-1794.4244657698218,13351.806131927073,11557.381666157256,D56,B0
2025-03-26,-1929.70314473076,6483.852880550332,4554.14973581957,D56,B0
2025-03-27,-1907.2534058182719,8189.862888111136,6282.609482292864,D56,B0
2025-03-28,-1349.5205154489995,7814.936659682295,6465.416144233293,D56,B0
2025-03-29,-1319.7440249099109,7917.671171243966,6597.927146334056,D56,B0
2025-03-30,-2000.2529410570205,2724.126377585974,723.8734365289565,D56,B0
2025-03-31,-1709.5918516341262,7764.29554822896,6054.7036965948355,D56,B0
2025-04-01,-1826.1130463796508,15610.835375723458,13784.722329343807,D56,B0
2025-04-02,-2068.6253417704356,17384.83564552408,15316.210303753644,D56,B0
2025-04-03,-2302.2398076835016,9125.584692021623,6823.344884338119,D56,B0
2025-04-04,-1385.9689989922772,8239.645831096921,6853.676832104644,D56,B0
2025-04-05,-1447.9520072838495,6053.613811437728,4605.661804153877,D56,B0
2025-04-06,-2442.628228835878,3961.256860991008,1518.6286321551233,D56,B0
2025-04-07,-2208.883297622655,4296.728701589119,2087.845403966465,D56,B0
2025-04-08,-2436.227401397926,8533.638201479813,6097.4108000818815,D56,B0
2025-04-09,-2540.285909334845,19321.280664448735,16780.99475511389,D56,B0
2025-04-10,-2663.7699929352893,5373.593418349249,2709.8234254139606,D56,B0
2025-04-11,-1315.4649961431023,6670.506912900719,5355.041916757615,D56,B0
2025-04-12,-1511.2257540187402,2107.7176396564605,596.4918856377208,D56,B0
2025-04-13,-2329.134471813195,7370.672590132029,5041.538118318829,D56,B0
2025-04-14,-2400.0855881309326,4964.388826444655,2564.303238313725,D56,B0
2025-04-15,-2478.184302679343,2639.8324571663234,161.6481544869821,D56,B0
2025-04-16,-2254.3282643184502,15883.771496770503,13629.443232452053,D56,B0
2025-04-17,-2407.1981804809257,5469.277948098913,3062.0797676179864,D56,B0
2025-04-18,-1324.5984638785903,4969.7385379181105,3645.1400740395184,D56,B0
2025-04-19,-1204.0645881601813,6761.303288023933,5557.238699863752,D56,B0
2025-04-20,-2460.460009913324,4313.467706552056,1853.007696638735,D56,B0
2025-04-21,-2328.0149059636533,3811.391303902455,1483.376397938795,D56,B0
2025-04-22,-2562.849427862231,7871.457783380669,5308.608355518438,D56,B0
2025-04-23,-2538.784142893448,3038.7421010674625,499.95795817401086,D56,B0
2025-04-24,-2331.544061020846,5228.32591311818,2896.7818520973306,D56,B0
2025-04-25,-1376.876339208622,6741.567675853845,5364.691336645221,D56,B0
2025-04-26,-1484.5206158474048,6407.946260926131,4923.425645078725,D56,B0
2025-04-27,-2673.468421135429,5858.456213791255,3184.9877926558256,D56,B0
2025-04-28,-2379.879583475984,21192.189012916046,18812.309429440065,D56,B0
2025-04-29,-2357.115441900234,6534.140619812839,4177.025177912597,D56,B0
2025-04-30,-2323.917487861472,4036.186701334774,1712.2692134733006,D56,B0
2025-05-01,-2404.1203917951498,10193.661019479303,7789.540627684153,D56,B0
2025-05-02,-1581.0462022090542,10954.49435913927,9373.448156930219,D56,B0
2025-05-03,-1679.2749445746504,9299.534921239838,7620.259976665187,D56,B0
2025-05-04,-3010.4411243528666,8348.139640525003,5337.698516172139,D56,B0
2025-05-05,-3428.402136191835,22528.72895041937,19100.326814227534,D56,B0
2025-05-06,-3662.0207072534686,17654.310022617643,13992.289315364178,D56,B0
2025-05-07,-3918.5893745951653,22310.085472715225,18391.496098120057,D56,B0
2025-05-08,-4024.020512037787,12164.776917259245,8140.756405221458,D56,B0
2025-05-09,-1629.476142377609,5847.918547072666,4218.442404695057,D56,B0
2025-05-10,-1847.214607249387,2580.7274899041454,733.5128826547607,D56,B0
2025-05-11,-3220.798699295563,8740.811275401877,5520.012576106317,D56,B0
2025-05-12,-2724.093513829066,2114.5023498153605,-609.5911640137056,D56,B0
2025-05-13,-2707.655433407468,875.6792834399382,-1831.9761499675296,D56,B0
2025-05-14,-2737.7889577534443,1114.121110097054,-1623.6678476563902,D56,B0
2025-05-15,-2783.5133662720764,1007.5405970907672,-1775.9727691813096,D56,B0
2025-05-16,-1396.8548204564286,4687.450887615141,3290.596067158711,D56,B0
2025-05-17,-2219.5730264869453,7044.172471552309,4824.599445065363,D56,B0
2025-05-18,-3228.498188539961,6105.020458381337,2876.522269841378,D56,B0
2025-05-19,-2453.8228712724667,2703.637240228328,249.81436895585648,D56,B0
2025-05-20,-2930.161648583955,15581.255131232227,12651.09348264827,D56,B0
2025-05-21,-3031.0665372819494,5164.057453624138,2132.9909163421908,D56,B0
2025-05-22,-2843.3515151846514,4787.518885361902,1944.1673701772452,D56,B0
2025-05-23,-1477.040932551352,5943.0225658544805,4465.98163330313,D56,B0
2025-05-24,-1887.8759475589304,2481.3838970313686,593.5079494724378,D56,B0
2025-05-25,-3000.4818082738493,3348.3523523269364,347.870544053083,D56,B0
2025-05-26,-2654.5569055332635,24212.41001678094,21557.853111247678,D56,B0
2025-05-27,-3731.410270147724,219.76088761151692,-3511.649382536212,D56,B0
2025-05-28,-2707.071082567607,12001.14574744766,9294.074664880049,D56,B0
2025-05-29,-2493.124049607133,23211.91644533234,20718.792395725213,D56,B0
2025-05-30,-2221.4640046143886,6057.767410626291,3836.3034060119026,D56,B0
2025-05-31,-1820.5968204187775,4687.789803791088,2867.1929833723134,D56,B0
2025-06-01,-3035.7911356388868,21055.329944442958,18019.538808804078,D56,B0
2025-06-02,-4198.474269317638,26261.741021150432,22063.266751832794,D56,B0
2025-06-03,-4610.361880275654,30611.79910497422,26001.43722469856,D56,B0
2025-06-04,-4695.1646484293815,31873.07227105403,27177.90762262464,D56,B0
2025-06-05,-6104.57021519875,45571.40610403548,39466.83588883672,D56,B0
2025-06-06,-4211.532695812835,25127.464084965948,20915.931389153113,D56,B0
2025-06-07,-4553.319103156811,26184.541253917512,21631.2221507607,D56,B0
2025-06-08,-9206.229744054071,351.3223554128558,-8854.907388641215,D56,B0
2025-06-09,-7296.334689308853,4621.718191988556,-2674.6164973202976,D56,B0
2025-06-10,-7647.337075884381,791.2533611139934,-6856.083714770386,D56,B0
2025-06-11,-7689.306082397954,23044.987682717307,15355.681600319353,D56,B0
2025-06-12,-7816.1217741824,3347.754239957754,-4468.367534224642,D56,B0
2025-06-13,-4415.574178969353,3370.734277672409,-1044.8399012969458,D56,B0
2025-06-14,-4265.496872662559,0.0,-4265.496872662559,D56,B0
2025-06-15,-7812.388344823252,1115.1471242402765,-6697.241220582982,D56,B0
2025-06-16,-7334.673115251513,1905.2976500041502,-5429.375465247365,D56,B0
2025-06-17,-7665.827278789926,13185.76938104574,5519.942102255816,D56,B0
2025-06-18,-7958.957377817111,237.3546630940782,-7721.602714723027,D56,B0
2025-06-19,-7697.736862642196,1270.997748888869,-6426.739113753327,D56,B0
2025-06-20,-4423.163789698905,2516.7283170696865,-1906.4354726292186,D56,B0
2025-06-21,-3984.030666879222,2317.517747313613,-1666.5129195656082,D56,B0
2025-06-22,-7546.66592841746,593.3543750276383,-6953.3115533898235,D56,B0
2025-06-23,-7469.306883770456,1617.8904882415327,-5851.416395528926,D56,B0
2025-06-24,-7660.70619441296,33117.278138999565,25456.571944586613,D56,B0
2025-06-25,-7566.810364158446,9565.14604044595,1998.3356762875046,D56,B0
