policy,date,issue_hour,vhat_yuan,vreplay_yuan,tau_yuan,accepted,positive_replay,proposed_change_kwh
gate_paid,2025-04-01,6,2221.621377692769,2857.5021745907143,4730.2023033223595,True,True,3217.884699827407
gate_paid,2025-04-01,12,1054.0558638232906,-1463.2454699402588,2157.4413178305585,True,False,2925.01563770446
gate_paid,2025-04-01,18,3600.733048734586,3937.9781951711157,177.21090459710285,True,True,792.6261952657933
gate_paid,2025-04-02,6,5310.751509681362,2933.156485673222,4730.2023033223595,True,True,2157.940617322317
gate_paid,2025-04-02,12,1572.0725859548184,-2308.2922237500643,2162.733127564912,True,False,2423.6964254441064
gate_paid,2025-04-02,18,3070.4364169800647,3390.4743991880096,164.86229380860823,True,True,681.0554675169536
gate_paid,2025-04-03,6,1977.8949389158806,-3571.1193710005573,4600.839278533698,True,False,5837.818381490604
gate_paid,2025-04-03,12,2250.691692076496,3086.6335131365195,2517.3013337635493,True,True,1902.0063628370926
gate_paid,2025-04-03,18,2052.3615819411716,2316.4378507747497,164.86229380860823,True,True,454.3180623285387
gate_paid,2025-04-04,6,1518.5913293258618,-931.6098715041117,4730.2023033223595,True,False,832.4294142641347
gate_paid,2025-04-04,12,1599.454560424866,2110.833707721824,2517.3013337635493,True,True,388.2203620512968
gate_paid,2025-04-04,18,573.6353625954243,573.6353625954325,124.32880701141039,True,True,166.03770426948523
gate_paid,2025-04-05,6,1379.2832500638888,6.962641683849142,4730.2023033223595,True,True,504.4574521025496
gate_paid,2025-04-05,12,305.9977810375349,449.41068189731413,2517.3013337635493,True,True,91.7140232000935
gate_paid,2025-04-05,18,2026.0081594505846,2005.2663459327869,114.05009223632987,True,True,546.7680175509149
gate_paid,2025-04-06,6,2279.6120024341944,-475.2999078885405,4730.2023033223595,True,False,5875.9130959577
gate_paid,2025-04-06,12,2942.3944484112217,5182.949040719275,2517.3013337635493,True,True,1364.8689660404548
gate_paid,2025-04-06,18,890.333634824512,1004.7256385117689,81.91870377122814,True,True,198.7237953402688
gate_paid,2025-04-07,6,8711.352289662042,10694.633275005795,4730.2023033223595,True,True,3226.2427720816086
gate_paid,2025-04-07,12,1395.367306802993,-1341.695445679561,2517.3013337635493,True,False,1433.3490374230223
gate_paid,2025-04-07,18,2140.972012274462,2412.052329689206,81.91870377122814,True,True,477.29526426621766
gate_paid,2025-04-08,6,2440.749576864706,2951.7979404220278,4600.839278533698,True,True,5376.159851205311
