policy,date,issue_hour,alternative,horizon_intervals,milp_objective_yuan,independent_lp_bound_yuan,milp_minus_lp_yuan,lp_equality_residual,lp_inequality_violation,lp_bound_violation,lp_variables,lp_equalities,lp_inequalities,solver_status,solver_message,runtime_seconds,passed
risk_fixed,2025-04-01,0,selected,144,35668.32999316521,35668.32999316522,-1.4551915228366852e-11,1.8189894035458565e-12,2.311140363275232e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.005230208997090813,True
risk_fixed,2025-06-21,0,selected,144,19122.230893135446,19122.230893135442,3.637978807091713e-12,2.2737367544323206e-13,3.7074526164963215e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004771332998643629,True
risk_fixed,2025-09-23,0,selected,144,37879.62202560462,37879.62202560463,-7.275957614183426e-12,4.547473508864641e-13,2.273737191341604e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.005023917001381051,True
risk_fixed,2025-12-21,0,selected,144,59820.68340343161,59820.68340343161,0.0,9.094947017729282e-13,3.313731014326526e-15,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004839541994442698,True
risk_g10,2025-04-01,0,selected,144,35668.32999316521,35668.32999316522,-1.4551915228366852e-11,1.8189894035458565e-12,2.311140363275232e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.00501441700180294,True
risk_g10,2025-06-21,0,selected,144,19122.230893135446,19122.230893135442,3.637978807091713e-12,2.2737367544323206e-13,3.7074526164963215e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.00473562499973923,True
risk_g10,2025-09-23,0,selected,144,37879.62202560462,37879.62202560463,-7.275957614183426e-12,4.547473508864641e-13,2.273737191341604e-14,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004734916001325473,True
risk_g10,2025-12-21,0,selected,144,59820.68340343161,59820.68340343161,0.0,9.094947017729282e-13,3.313731014326526e-15,0.0,866,290,289,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004751833999762312,True
pv_raw,2025-04-01,0,selected,144,40455.5805267657,40455.58052676569,7.275957614183426e-12,4.547473508864641e-13,4.3343593154101625e-15,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.005174416997761,True
pv_raw,2025-06-21,0,selected,144,19763.135904887888,19763.135904887895,-7.275957614183426e-12,4.547473508864641e-13,4.620461332900103e-14,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004673582996474579,True
pv_raw,2025-09-23,0,selected,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,1.908945609289794e-14,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004986874999303836,True
pv_raw,2025-12-21,0,selected,144,60123.745416962156,60123.74541696215,7.275957614183426e-12,9.094947017729282e-13,1.2036320096164932e-14,0.0,865,290,288,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004764541998156346,True
gate_paid,2025-04-01,6,hold,108,32055.642862598386,32040.951577606505,14.69128499188082,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.005388415993365925,True
gate_paid,2025-04-01,6,update,108,29834.021484905617,29834.021484905625,-7.275957614183426e-12,4.547473508864641e-13,3.410605131648481e-13,0.0,974,217,650,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.0058932920001097955,True
gate_paid,2025-04-01,12,hold,72,26009.52201128678,26009.522011286783,-3.637978807091713e-12,4.547473508864641e-13,1.1368683772161603e-13,2.2737367544323206e-13,650,145,434,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.004132417001528665,True
