grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,rule,initial_energy_kwh,final_energy_kwh,emergency_intervals,solves,solver_seconds,max_mip_gap,policy,group,inventory_adjusted_cost_yuan,gate_decisions,accepted_updates,accepted_change_kwh
3679596.660670041,3623897.097604176,9563.464394101471,2193312.154464791,138273.046367219,-48228.66216403563,2283356.5386679745,51388.28043806243,2334744.819106037,1240650.106236055,1004749.2703833759,157362.38761226478,30490.234701796282,126872.15291046849,59,8496,A,7268.4231640740745,7465.440572772747,250,236,5.033792958020058,2.1985427032003696e-16,pv_raw,pv,2334608.96033389,0,0,0.0
3621873.9983749087,3633150.4530540584,9687.103314931413,2152188.942589867,155253.79406843975,-34487.46098571543,2272955.2756725913,51532.368209327484,2324487.643881919,1249306.6445807223,1011742.8581818184,165076.43143675284,38004.69460834746,127071.73682840537,59,8496,A,7268.4231640740745,7485.671973592619,244,236,4.904882204958994,3.6551201033806573e-16,pv_bias,pv,2324337.833990973,0,0,0.0
3614553.20890044,3614553.20890044,75186.74151357858,2155039.319885755,0.0,0.0,2155039.319885755,428417.7146140215,2583457.0344997765,1204326.251017384,980918.2721210944,226134.6329843959,86934.44858762788,139200.184396768,59,8496,A,7268.4231640740745,1252.8578340593256,583,59,1.4057238769964897,0.0,risk_none,risk,2587605.233001135,0,0,0.0
3614553.2089004405,3614553.2089004405,75157.27867377349,2155032.2891520574,0.0,0.0,2155032.2891520574,428323.3561317581,2583355.6452838155,1204250.175570618,980856.6510092138,226119.62447947636,86920.2513267583,139199.37315271806,59,8496,A,7268.4231640740745,1252.8578340593256,581,59,1.466670625981351,0.0,risk_fixed,risk,2587503.8437851737,0,0,0.0
3614553.2089004405,3614553.2089004405,75157.27867377349,2155032.2891520574,0.0,0.0,2155032.2891520574,428323.3561317581,2583355.6452838155,1204250.175570618,980856.6510092138,226119.62447947636,86920.2513267583,139199.37315271806,59,8496,A,7268.4231640740745,1252.8578340593256,581,59,1.4420815400153515,0.0,risk_g05,risk,2587503.8437851737,0,0,0.0
3614553.2089004405,3614553.2089004405,75157.27867377349,2155032.2891520574,0.0,0.0,2155032.2891520574,428323.3561317581,2583355.6452838155,1204250.175570618,980856.6510092138,226119.62447947636,86920.2513267583,139199.37315271806,59,8496,A,7268.4231640740745,1252.8578340593256,581,59,1.4618917479820084,0.0,risk_g10,risk,2587503.8437851737,0,0,0.0
3679596.660670041,3623897.097604176,9563.46439410148,2193312.154464791,138273.04636721898,-48228.662164035624,2283356.538667974,51388.2804380625,2334744.819106037,1240650.106236055,1004749.2703833757,157362.3876122648,30490.23470179629,126872.15291046849,59,8496,A,7268.4231640740745,7465.44057277274,250,236,5.3947320799925365,3.854454393416553e-16,gate_paid,gate,2334608.96033389,177,177,320064.40460600186
3679596.660670041,3625848.199899745,9600.225840862755,2193312.154464791,137453.65677068083,-47425.73297714396,2283340.078258328,51546.35465913598,2334886.432917464,1240841.2604357307,1004904.1052851131,159313.932056657,32059.954012066388,127253.97804459062,59,8496,A,7268.4231640740745,7465.440572772736,251,236,5.257164916023612,3.854454393416553e-16,gate_q50,gate,2334750.574145317,177,166,315201.09029721544
3679586.734641102,3678322.371414163,15782.793980784156,2193308.669060343,101208.15310010102,-24272.367773680566,2270244.4543867633,79033.99928150905,2349278.4536682726,1241407.5311162237,1005368.4894240706,217868.78516946107,76537.579313136,141331.20585632508,59,8496,A,7268.4231640740745,7459.101808596809,276,236,5.308246129978215,1.0340188995928085e-14,gate_q75,gate,2349146.9659652794,177,111,173056.1934206084
3676815.25550721,3676815.25550721,65568.18276253772,2192379.0992384143,0.0,0.0,2192379.0992384143,408052.5315945532,2600431.6308329673,1201575.467010309,974737.8341624456,275348.4668885509,127869.19261795538,147479.27427059558,59,8496,A,7268.4231640740745,5644.305515079165,402,59,1.5398084560438292,1.6195091518537852e-16,gate_frozen,gate,2601551.585821067,0,0,0.0
3676815.25550721,3676815.25550721,65568.18276253772,2192379.0992384143,0.0,0.0,2192379.0992384143,408052.5315945532,2600431.6308329673,1201575.467010309,974737.8341624456,275348.4668885509,127869.19261795538,147479.27427059558,59,8496,A,7268.4231640740745,5644.305515079165,402,236,5.385572786071862,7.482030983990408e-16,gate_info_frozen,gate,2601551.585821067,0,0,0.0
