date,interval_start,interval_end,grid_original_kwh,grid_effective_kwh
2025-03-20,2025-03-20T10:00:00,2025-03-20T10:10:00,0.0,0.0
2025-03-20,2025-03-20T12:00:00,2025-03-20T12:10:00,536.8102600307327,430.0947794751769
2025-03-20,2025-03-20T14:00:00,2025-03-20T14:10:00,0.0,0.0
2025-03-20,2025-03-20T16:00:00,2025-03-20T16:10:00,620.2316521749822,480.1596063416488
2025-03-20,2025-03-20T18:00:00,2025-03-20T18:10:00,701.8792937774591,701.8792937774591
2025-03-20,2025-03-20T20:00:00,2025-03-20T20:10:00,0.0,0.0
2025-06-21,2025-06-21T10:00:00,2025-06-21T10:10:00,0.0,0.0
2025-06-21,2025-06-21T12:00:00,2025-06-21T12:10:00,0.0,0.0
2025-06-21,2025-06-21T14:00:00,2025-06-21T14:10:00,0.0,0.0
2025-06-21,2025-06-21T16:00:00,2025-06-21T16:10:00,152.52350053479847,113.18143525702067
2025-06-21,2025-06-21T18:00:00,2025-06-21T18:10:00,0.0,0.0
2025-06-21,2025-06-21T20:00:00,2025-06-21T20:10:00,0.0,0.0
2025-09-23,2025-09-23T10:00:00,2025-09-23T10:10:00,0.0,0.0
2025-09-23,2025-09-23T12:00:00,2025-09-23T12:10:00,362.80263319532435,168.68923845621202
2025-09-23,2025-09-23T14:00:00,2025-09-23T14:10:00,0.0,0.0
2025-09-23,2025-09-23T16:00:00,2025-09-23T16:10:00,532.4415562823588,472.0286882268032
2025-09-23,2025-09-23T18:00:00,2025-09-23T18:10:00,755.3486078393819,755.3486078393819
2025-09-23,2025-09-23T20:00:00,2025-09-23T20:10:00,0.0,0.0
2025-12-21,2025-12-21T10:00:00,2025-12-21T10:10:00,0.0,0.0
2025-12-21,2025-12-21T12:00:00,2025-12-21T12:10:00,953.9327193331342,835.281458222023
2025-12-21,2025-12-21T14:00:00,2025-12-21T14:10:00,0.0,0.0
2025-12-21,2025-12-21T16:00:00,2025-12-21T16:10:00,777.0978745482362,792.5352592704584
2025-12-21,2025-12-21T18:00:00,2025-12-21T18:10:00,730.7546719740922,730.7546719740922
2025-12-21,2025-12-21T20:00:00,2025-12-21T20:10:00,0.0,0.0
