grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,rule,initial_energy_kwh,final_energy_kwh,emergency_intervals,solves,solver_seconds,max_mip_gap,policy,planning_price,settlement_price,eta_charge,eta_discharge,terminal,pv_window_days,inventory_reference_yuan_per_kwh,inventory_adjustment_yuan,inventory_adjusted_cost_yuan,april_december_cost_yuan,april_december_initial_energy_kwh,april_december_final_energy_kwh,april_december_inventory_adjustment_yuan,april_december_inventory_adjusted_cost_yuan
20368332.718596563,20444919.11429685,125345.24763011331,12287868.647888165,960461.7442643498,-194731.4398867727,13053598.952265741,719281.1089573144,13772880.061223056,6823005.392647268,5526720.165412251,1334789.6397252795,256694.72859096,1078094.9111343194,334,48096,A,7268.4231640740745,7173.092755226488,1517,1336,28.386045857834688,6.621050615877101e-16,fixed_raw,fixed,fixed,0.9,0.9,hard,,0.6895775000000001,65.73770500709632,13772945.798928063,11438135.242117018,7465.440572772747,7173.092755226488,201.59647715400524,11438336.838594172
20227251.265411865,20509955.944893517,116794.75246035005,12188689.82958247,1039399.1309384764,-161214.92259501026,13066874.037925936,659859.5370419323,13726733.574967869,6891601.652001459,5582335.517810997,1378295.0681967358,298182.4746457593,1080112.5935509764,334,48096,A,7268.4231640740745,7114.890175392208,1450,1336,28.12803204394004,4.152030273860526e-16,fixed_w28,fixed,fixed,0.9,0.9,hard,28.0,0.6895775000000001,105.87289450276967,13726839.447862372,11391988.755861834,7465.440572772747,7114.890175392208,241.7316666496786,11392230.487528482
20236962.40642818,20511388.189705856,118282.42534447132,12195281.919198954,1036510.4595945219,-162836.64029329328,13068955.738500183,667257.256424236,13736212.994924419,6891921.931133341,5582612.196804705,1381171.3857550267,300007.22335130046,1081164.1624037265,334,48096,A,7268.4231640740745,7095.720289964108,1447,1336,28.014543248958944,4.748139438789924e-16,fixed_w14,fixed,fixed,0.9,0.9,hard,14.0,0.6895775000000001,119.09201617156552,13736332.08694059,11401468.175818384,7465.440572772747,7095.720289964108,254.95078831847445,11401723.126606703
20215193.954773735,20509279.166797273,116283.18516932614,12180996.89626182,1043056.4328428297,-158757.76562902445,13065295.563475627,658791.5271431046,13724087.090618731,6879618.393017849,5572629.530860195,1379383.9948422825,299943.3632886043,1079440.6315536783,334,48096,A,7268.4231640740745,7114.387035476335,1452,1336,28.030886476946762,6.842899219713444e-16,fixed_w56,fixed,fixed,0.9,0.9,hard,56.0,0.6895775000000001,106.21984846810783,13724193.3104672,11389342.271512695,7465.440572772747,7114.387035476335,242.07862061501677,11389584.35013331
19780479.08918102,19862287.01265071,125884.90014110542,11835795.899482634,943884.4269068738,-188235.16148730234,12591445.164902207,715482.1720056073,13306927.336907811,6669112.393470358,6001950.8620614745,1381820.8864162667,250326.15128664853,1131494.735129618,334,48096,A,7268.4231640740745,7532.2541626392085,1517,1336,28.995297130037216,2.2130332417351364e-15,efficiency_raw,fixed,fixed,0.9486832980505138,0.9486832980505138,hard,,0.6895775000000001,-181.93192041304872,13306745.404987399,11055054.933124851,7614.02097434675,7532.2541626392085,56.384553600257426,11055111.317678452
19642096.72565538,19923801.780558847,116991.41900194355,11739028.167853974,1019011.2489570729,-155163.45920504018,12602875.957606005,653122.75208506,13255998.709691063,6758240.871274821,6082263.796054104,1425626.629373407,291730.8430625798,1133895.786310827,334,48096,A,7268.4231640740745,7429.686773909366,1447,1336,28.29737906999071,5.810705249918867e-16,efficiency_w28,fixed,fixed,0.9486832980505138,0.9486832980505138,hard,28.0,0.6895775000000001,-111.20375691119565,13255887.50593415,11004126.305908104,7614.02097434675,7429.686773909366,127.11271710211047,11004253.418625206
20368265.875243556,20444856.571428213,125311.56739450582,12287857.067430243,960459.1215000579,-194728.87607903936,13053587.312851263,719209.6739173429,13772796.986768605,6822582.892902806,5526455.722957619,1334851.4739108637,256750.8688701575,1078100.6050407062,334,48096,A,7268.4231640740745,7086.667934802389,1516,1336,29.976996533063357,6.754679561182053e-16,soft_raw,fixed,fixed,0.9,0.9,soft,,0.6895775000000001,125.33431661309571,13772922.321085218,11438052.167662568,7465.44057277274,7086.667934802389,261.1930887599996,11438313.360751329
20227291.98310521,20509935.725792646,116750.83072656923,12188705.607000355,1039347.3166017605,-161211.4641813712,13066841.459420742,659767.1037531905,13726608.563173933,6891787.5272248825,5582506.710638011,1378216.244965678,298101.5369400976,1080114.7080255807,334,48096,A,7268.4231640740745,7091.963624233157,1450,1336,30.078448073982145,9.63990748871617e-16,soft_w28,fixed,fixed,0.9,0.9,soft,28.0,0.6895775000000001,121.68252833465021,13726730.245702267,11391863.744067896,7465.44057277274,7091.963624233157,257.5413004815541,11392121.285368377
20396460.13355549,20470660.38280554,126591.52789794064,13008758.376303319,994817.9808653016,-207725.3382724164,13795851.018896205,738211.6235068432,14534062.642403048,6959104.28098707,5636391.914412712,1335350.049162454,252546.19236210073,1082803.8568003534,334,48096,A,7268.4231640740745,7804.593371646801,1562,1336,28.12912186714675,5.5245669651141295e-15,variable_raw,q4_causal_ols,actual_variable,0.9,0.9,hard,,0.6895775000000001,-369.7309113124816,14533692.911491735,12142444.109469593,8054.704216464873,7804.593371646801,172.47081109253415,12142616.580280686
20260410.430922575,20539125.670163266,118243.72611139406,12910681.287740031,1073843.3388183855,-171321.01831596933,13813203.608242448,679075.9381927691,14492279.546435216,7046720.249808984,5707360.79893008,1378820.4504290903,294877.14195857884,1083943.3084705118,334,48096,A,7268.4231640740745,7804.649180960779,1520,1336,27.178678111966292,8.316006209703971e-16,variable_w28,q4_causal_ols,actual_variable,0.9,0.9,hard,28.0,0.6895775000000001,-369.7693961596913,14491909.777039057,12100661.01350176,8054.704216464873,7804.649180960779,172.43232624532448,12100833.445828006
