comparison_id,comparison_label,month,cash_gain_yuan,contract_cost_gain_yuan,emergency_cost_gain_yuan,emergency_energy_reduction_kwh,inventory_adjusted_gain_yuan,raw_total_cost_yuan,corrected_total_cost_yuan,raw_month_start_energy_kwh,raw_month_end_energy_kwh,corrected_month_start_energy_kwh,corrected_month_end_energy_kwh,scope,cumulative_cash_gain_yuan
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-02,0.0,0.0,0.0,0.0,0.0,1212757.1539671384,1212757.1539671384,7268.4231640740745,7583.230889900954,7268.4231640740745,7583.230889900954,february_december,0.0
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-03,0.0,0.0,0.0,0.0,0.0,1121987.6651388987,1121987.6651388987,7583.230889900954,7465.440572772747,7583.230889900954,7465.440572772747,february_december,0.0
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-04,13470.49953620864,-7260.037121078934,20730.536657287565,3253.0991439876457,13683.647996212345,946012.2817225718,932541.7821863632,7465.440572772747,6273.8297498061165,7465.440572772747,6582.929829207933,february_december,13470.49953620864
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-05,13985.770162859588,-3090.9854985631446,17076.755661422692,2622.7492502282694,15321.297424534478,994586.3103484086,980600.540185549,6273.8297498061165,7791.964262020834,6582.929829207933,10037.796995366392,february_december,27456.269699068227
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-06,-3016.0815844780773,-10032.224631780977,7016.143047302892,1583.5728597583125,-4564.757306156674,1338015.2695482797,1341031.3511327577,7791.964262020834,10800.0,10037.796995366392,10800.0,february_december,24440.18811459015
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-07,-4759.456061902722,-6250.469902167857,1491.0138402651291,152.3411710764832,-4759.456061902722,1557842.5706928202,1562602.026754723,10800.0,10800.0,10800.0,10800.0,february_december,19680.73205268743
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-08,7515.675416581489,-10490.142426085189,18005.817842666667,2694.9429588012263,8504.65220029965,1279843.038711614,1272327.3632950324,10800.0,9081.063529149225,10800.0,10515.241389822118,february_december,27196.407469268917
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-09,1022.839930863418,2099.6673619640096,-1076.82743110062,-570.4367327016862,33.86314714525588,1189914.4159533961,1188891.5760225325,9081.063529149225,4276.057404752401,10515.241389822118,4276.057404752401,february_december,28219.247400132335
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-10,5162.673766167602,7210.510693789853,-2047.8369276222606,-737.5309689601954,5161.508949618027,1164409.6408745858,1159246.9671084182,4276.057404752401,6996.4202608561,4276.057404752401,6994.731086615968,february_december,33381.92116629994
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-11,8452.871654138453,5102.825017824369,3350.0466363140836,620.0450988198481,8410.40031459349,1261958.0603212656,1253505.1886671272,6996.4202608561,6895.111416758061,6994.731086615968,6831.831863561302,february_december,41834.79282043839
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-12,-5167.726521802939,7354.07027165484,-12521.796793457785,-2555.9604953679054,-5177.44467687287,1705553.653944076,1710721.3804658789,6895.111416758061,7173.092755226488,6831.831863561302,7095.720289964108,february_december,36667.06629863546
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-04,13470.49953620864,-7260.037121078934,20730.536657287565,3253.0991439876457,13683.647996212345,946012.2817225718,932541.7821863632,7465.440572772747,6273.8297498061165,7465.440572772747,6582.929829207933,april_december,13470.49953620864
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-05,13985.770162859588,-3090.9854985631446,17076.755661422692,2622.7492502282694,15321.297424534478,994586.3103484086,980600.540185549,6273.8297498061165,7791.964262020834,6582.929829207933,10037.796995366392,april_december,27456.269699068227
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-06,-3016.0815844780773,-10032.224631780977,7016.143047302892,1583.5728597583125,-4564.757306156674,1338015.2695482797,1341031.3511327577,7791.964262020834,10800.0,10037.796995366392,10800.0,april_december,24440.18811459015
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-07,-4759.456061902722,-6250.469902167857,1491.0138402651291,152.3411710764832,-4759.456061902722,1557842.5706928202,1562602.026754723,10800.0,10800.0,10800.0,10800.0,april_december,19680.73205268743
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-08,7515.675416581489,-10490.142426085189,18005.817842666667,2694.9429588012263,8504.65220029965,1279843.038711614,1272327.3632950324,10800.0,9081.063529149225,10800.0,10515.241389822118,april_december,27196.407469268917
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-09,1022.839930863418,2099.6673619640096,-1076.82743110062,-570.4367327016862,33.86314714525588,1189914.4159533961,1188891.5760225325,9081.063529149225,4276.057404752401,10515.241389822118,4276.057404752401,april_december,28219.247400132335
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-10,5162.673766167602,7210.510693789853,-2047.8369276222606,-737.5309689601954,5161.508949618027,1164409.6408745858,1159246.9671084182,4276.057404752401,6996.4202608561,4276.057404752401,6994.731086615968,april_december,33381.92116629994
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-11,8452.871654138453,5102.825017824369,3350.0466363140836,620.0450988198481,8410.40031459349,1261958.0603212656,1253505.1886671272,6996.4202608561,6895.111416758061,6994.731086615968,6831.831863561302,april_december,41834.79282043839
fixed_w14_vs_raw,Fixed price: 14-day correction vs raw PV,2025-12,-5167.726521802939,7354.07027165484,-12521.796793457785,-2555.9604953679054,-5177.44467687287,1705553.653944076,1710721.3804658789,6895.111416758061,7173.092755226488,6831.831863561302,7095.720289964108,april_december,36667.06629863546
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-02,0.0,0.0,0.0,0.0,0.0,1212757.1539671384,1212757.1539671384,7268.4231640740745,7583.230889900954,7268.4231640740745,7583.230889900954,february_december,0.0
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-03,0.0,0.0,0.0,0.0,0.0,1121987.6651388987,1121987.6651388987,7583.230889900954,7465.440572772747,7583.230889900954,7465.440572772747,february_december,0.0
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-04,9524.859174784993,-7989.091703252239,17513.950878037227,2719.2367067759537,9587.002266375428,946012.2817225718,936487.4225477868,7465.440572772747,6273.8297498061165,7465.440572772747,6363.947382110587,february_december,9524.859174784993
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-05,13029.858293671361,-4364.457723188842,17394.316016860164,2614.3414242803333,14402.882185706365,994586.3103484086,981556.4520547373,6273.8297498061165,7791.964262020834,6363.947382110587,9873.19078641503,february_december,22554.717468456354
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-06,631.3278178396868,-8035.811606552215,8667.139424391897,1966.5862837397005,-803.8391657857524,1338015.2695482797,1337383.94173044,7791.964262020834,10800.0,9873.19078641503,10800.0,february_december,23186.04528629604
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-07,-1409.7245536063347,-4992.352329347203,3582.6277757408466,472.7269580049617,-1409.7245536063347,1557842.5706928202,1559252.2952464265,10800.0,10800.0,10800.0,10800.0,february_december,21776.320732689706
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-08,10025.826015894349,-8399.244173557578,18425.070189451922,2833.924985408022,10948.832666132517,1279843.038711614,1269817.2126957197,10800.0,9081.063529149225,10800.0,10419.573921727533,february_december,31802.146748584055
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-09,2121.449055089357,661.5036262082249,1459.9454288811182,-120.0286263803552,1193.6023315923028,1189914.4159533961,1187792.9668983067,9081.063529149225,4276.057404752401,10419.573921727533,4269.038508023773,february_december,33923.59580367341
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-10,7261.468213648455,9405.632047657036,-2144.1638340085824,-740.7199183062372,7261.947143730276,1164409.6408745858,1157148.1726609373,4276.057404752401,6996.4202608561,4269.038508023773,6990.095890967197,february_december,41185.06401732186
fixed_w28_vs_raw,Fixed price: 28-day correction vs raw PV,2025-11,5464.3575736608545,1744.9278642261343,3719.429709434741,692.4402286879196,5415.687127471403,1261958.0603212656,1256493.7027476048,6996.4202608561,6895.111416758061,6990.095890967197,6818.206950811135,february_december,46649.42159098272
