issue_time,interval_start,interval_end,price_forecast_yuan_per_kwh,lag7_forecast_yuan_per_kwh
2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:10:00,0.3397085923058723,0.3381
2025-02-01 00:00:00,2025-02-01 00:10:00,2025-02-01 00:20:00,0.3565991922513303,0.3528
2025-02-01 00:00:00,2025-02-01 00:20:00,2025-02-01 00:30:00,0.3178313965956786,0.3008
2025-02-01 00:00:00,2025-02-01 00:30:00,2025-02-01 00:40:00,0.31695486451740185,0.3039
2025-02-01 00:00:00,2025-02-01 00:40:00,2025-02-01 00:50:00,0.34065855792802924,0.3343
2025-02-01 00:00:00,2025-02-01 00:50:00,2025-02-01 01:00:00,0.3584844767163285,0.3558
2025-02-01 00:00:00,2025-02-01 01:00:00,2025-02-01 01:10:00,0.35751427322798024,0.3641
2025-02-01 00:00:00,2025-02-01 01:10:00,2025-02-01 01:20:00,0.349688093099145,0.3577
2025-02-01 00:00:00,2025-02-01 01:20:00,2025-02-01 01:30:00,0.35645837136923,0.3605
2025-02-01 00:00:00,2025-02-01 01:30:00,2025-02-01 01:40:00,0.3832502003885034,0.393
2025-02-01 00:00:00,2025-02-01 01:40:00,2025-02-01 01:50:00,0.36354776172768266,0.3685
2025-02-01 00:00:00,2025-02-01 01:50:00,2025-02-01 02:00:00,0.3119733278176933,0.3052
2025-02-01 00:00:00,2025-02-01 02:00:00,2025-02-01 02:10:00,0.316233780894919,0.3159
2025-02-01 00:00:00,2025-02-01 02:10:00,2025-02-01 02:20:00,0.3592147452289181,0.3649
2025-02-01 00:00:00,2025-02-01 02:20:00,2025-02-01 02:30:00,0.3894666344202993,0.3905
2025-02-01 00:00:00,2025-02-01 02:30:00,2025-02-01 02:40:00,0.37481843756277716,0.37
2025-02-01 00:00:00,2025-02-01 02:40:00,2025-02-01 02:50:00,0.38414149700735306,0.3817
2025-02-01 00:00:00,2025-02-01 02:50:00,2025-02-01 03:00:00,0.41938014581959543,0.4212
2025-02-01 00:00:00,2025-02-01 03:00:00,2025-02-01 03:10:00,0.4152589778084269,0.4101
2025-02-01 00:00:00,2025-02-01 03:10:00,2025-02-01 03:20:00,0.4049626375584027,0.402
2025-02-01 00:00:00,2025-02-01 03:20:00,2025-02-01 03:30:00,0.410225885145843,0.4175
2025-02-01 00:00:00,2025-02-01 03:30:00,2025-02-01 03:40:00,0.41572142653340255,0.4191
2025-02-01 00:00:00,2025-02-01 03:40:00,2025-02-01 03:50:00,0.4067998505037975,0.4048
2025-02-01 00:00:00,2025-02-01 03:50:00,2025-02-01 04:00:00,0.39465022403078,0.3922
2025-02-01 00:00:00,2025-02-01 04:00:00,2025-02-01 04:10:00,0.40206396668958266,0.3983
2025-02-01 00:00:00,2025-02-01 04:10:00,2025-02-01 04:20:00,0.3973152243959432,0.3977
2025-02-01 00:00:00,2025-02-01 04:20:00,2025-02-01 04:30:00,0.3779833305214571,0.3819
2025-02-01 00:00:00,2025-02-01 04:30:00,2025-02-01 04:40:00,0.37944994584811675,0.3738
2025-02-01 00:00:00,2025-02-01 04:40:00,2025-02-01 04:50:00,0.41261239830781776,0.4078
2025-02-01 00:00:00,2025-02-01 04:50:00,2025-02-01 05:00:00,0.43919850463983656,0.4431
2025-02-01 00:00:00,2025-02-01 05:00:00,2025-02-01 05:10:00,0.41149794890057095,0.4078
