policy,date,issue_hour,milp_objective_yuan,independent_lp_bound_yuan,milp_minus_lp_yuan,primal_violation,runtime_seconds,passed
q42_ols,2025-03-20,0,41068.840340353214,41068.84034035319,2.1827872842550278e-11,4.547473508864641e-13,0.005910833002417348,True
q42_ols,2025-06-21,0,17146.209007838894,17146.209007838894,0.0,2.2737367544323206e-13,0.00473000000056345,True
q42_ols,2025-09-23,0,39247.66675519502,39247.66675519504,-1.4551915228366852e-11,4.547473508864641e-13,0.00514524999744026,True
q42_ols,2025-12-21,0,71619.59794093334,71619.59794093332,1.4551915228366852e-11,1.8189894035458565e-12,0.004718166994280182,True
q43_all_A_ols,2025-03-20,0,42499.641747019254,42499.641747019254,0.0,4.547473508864641e-13,0.005033959001593757,True
q43_all_A_ols,2025-03-20,6,30310.297377481827,30310.29737748183,-3.637978807091713e-12,4.547473508864641e-13,0.005072542000561953,True
q43_all_A_ols,2025-03-20,12,29036.518867499275,29036.518867499268,7.275957614183426e-12,4.547473508864641e-13,0.0036787089993595146,True
q43_all_A_ols,2025-03-20,18,17335.03726239712,17335.03726239712,0.0,1.4210854715202004e-13,0.0021409160035545938,True
q43_all_A_ols,2025-06-21,0,18122.076505597302,18122.076505597306,-3.637978807091713e-12,4.547473508864641e-13,0.004391750000650063,True
q43_all_A_ols,2025-06-21,6,14305.187623086858,14305.187623086857,1.8189894035458565e-12,9.094947017729282e-13,0.004678457997215446,True
q43_all_A_ols,2025-06-21,12,14269.878183947976,14269.878183947976,0.0,9.094947017729282e-13,0.00347512499865843,True
q43_all_A_ols,2025-06-21,18,11796.917274420814,11796.917274420814,0.0,9.094947017729282e-13,0.0019820830057142302,True
q43_all_A_ols,2025-09-23,0,42713.81257157453,42713.81257157452,7.275957614183426e-12,1.1368683772161603e-13,0.004588874995533843,True
q43_all_A_ols,2025-09-23,6,31041.55475439027,31041.55475439027,0.0,4.547473508864641e-13,0.0048214580019703135,True
q43_all_A_ols,2025-09-23,12,28806.797971977372,28806.797971977376,-3.637978807091713e-12,2.8421709430404007e-13,0.0036314579992904328,True
q43_all_A_ols,2025-09-23,18,20236.853905218555,20236.85390521855,3.637978807091713e-12,1.7053025658242404e-13,0.0020484999986365438,True
q43_all_A_ols,2025-12-21,0,71989.24100204845,71989.24100204842,2.9103830456733704e-11,9.094947017729282e-13,0.004599874999257736,True
q43_all_A_ols,2025-12-21,6,55587.50201352165,55587.502013521625,2.1827872842550278e-11,9.094947017729282e-13,0.00484941600007005,True
q43_all_A_ols,2025-12-21,12,40178.82757797706,40178.82757797708,-1.4551915228366852e-11,9.094947017729282e-13,0.003511541995976586,True
q43_all_A_ols,2025-12-21,18,16302.470542693129,16302.470542693129,0.0,9.094947017729282e-13,0.001972999998542946,True
q43_all_B_ols,2025-03-20,0,42499.37599481679,42499.37599481679,0.0,4.547473508864641e-13,0.005316499999025837,True
q43_all_B_ols,2025-03-20,6,32708.36616951557,32708.366169515575,-3.637978807091713e-12,4.547473508864641e-13,0.004998707998311147,True
q43_all_B_ols,2025-03-20,12,29377.94467812463,29377.94467812462,1.0913936421275139e-11,4.547473508864641e-13,0.003349666003487073,True
q43_all_B_ols,2025-03-20,18,14910.807081929332,14910.807081929328,3.637978807091713e-12,4.547473508864641e-13,0.0018652500002644956,True
q43_all_B_ols,2025-06-21,0,18180.569356836488,18180.56935683649,-3.637978807091713e-12,9.094947017729282e-13,0.004564458002278116,True
q43_all_B_ols,2025-06-21,6,14611.049108034138,14611.049108034136,1.8189894035458565e-12,9.094947017729282e-13,0.004537124994385522,True
q43_all_B_ols,2025-06-21,12,14500.278295769014,14500.278295769018,-3.637978807091713e-12,9.094947017729282e-13,0.00322062500345055,True
q43_all_B_ols,2025-06-21,18,11968.296817798635,11968.296817798635,0.0,9.094947017729282e-13,0.0019643329942482524,True
q43_all_B_ols,2025-09-23,0,42713.81257157453,42713.81257157452,7.275957614183426e-12,1.1368683772161603e-13,0.0046346669987542555,True
q43_all_B_ols,2025-09-23,6,31427.388445819317,31427.38844581932,-3.637978807091713e-12,9.094947017729282e-13,0.0048794999966048636,True
q43_all_B_ols,2025-09-23,12,29398.94110583665,29398.94110583665,0.0,2.2737367544323206e-13,0.00333324999519391,True
q43_all_B_ols,2025-09-23,18,18302.185930793927,18302.185930793923,3.637978807091713e-12,9.094947017729282e-13,0.0018599579998408444,True
q43_all_B_ols,2025-12-21,0,71989.20440860438,71989.20440860435,2.9103830456733704e-11,9.094947017729282e-13,0.004577792002237402,True
q43_all_B_ols,2025-12-21,6,56122.476765147854,56122.47676514784,1.4551915228366852e-11,9.094947017729282e-13,0.0045484579968615435,True
q43_all_B_ols,2025-12-21,12,39242.46633629721,39242.466336297235,-2.1827872842550278e-11,9.094947017729282e-13,0.0034105000013369136,True
q43_all_B_ols,2025-12-21,18,16232.411819370838,16232.411819370838,0.0,9.094947017729282e-13,0.0019461660049273632,True
