date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,0.0,0.0,240
2025-03-20,240,0.0,0.0,480
2025-03-20,480,0.0,0.0,720
2025-03-20,720,0.0,0.0,960
2025-03-20,960,0.0,0.0,1200
2025-03-20,1200,0.0,0.0,1440
2025-06-21,0,0.0,0.0,240
2025-06-21,240,0.0,0.0,480
2025-06-21,480,0.0,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,0.0,0.0,1200
2025-06-21,1200,0.0,0.0,1440
2025-09-23,0,0.0,0.0,240
2025-09-23,240,0.0,0.0,480
2025-09-23,480,0.0,0.0,720
2025-09-23,720,0.0,0.0,960
2025-09-23,960,0.0,0.0,1200
2025-09-23,1200,0.0,0.0,1440
2025-12-21,0,0.0,0.0,240
2025-12-21,240,0.0,0.0,480
2025-12-21,480,0.0,0.0,720
2025-12-21,720,0.0,0.0,960
2025-12-21,960,0.0,0.0,1200
2025-12-21,1200,0.0,0.0,1440
