date,grid_original_kwh,grid_effective_kwh,emergency_kwh,original_cost_yuan,increase_cost_yuan,decrease_adjustment_yuan,contract_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,38003.859099977366,38003.859099977366,0.0,16853.258894857787,0.0,0.0,16853.258894857787,0.0,16853.258894857787,13261.579845499817,15056.723106214318,5420.826427358534,1649.4919273585335,3771.3345,7268.4231640740745,2474.1526847857795
2025-02-02,89682.02361299265,89682.02361299265,0.0,63360.44368832567,0.0,0.0,63360.44368832567,0.0,63360.44368832567,21046.837674532813,16724.558835163854,7003.466823623692,6944.292756957026,59.174066666666704,2474.1526847857795,2833.4634416832537
2025-02-03,87936.22953532083,87936.22953532083,0.0,63367.579099727096,0.0,0.0,63367.579099727096,0.0,63367.579099727096,21025.515014111104,17341.830338817246,4035.628360026966,4035.628360026966,0.0,2833.4634416832537,2487.726577919638
2025-02-04,89169.32660581745,89169.32660581745,0.0,64184.013599748076,0.0,0.0,64184.013599748076,0.0,64184.013599748076,22530.306552653507,18149.030362020498,3593.1864651844435,3593.1864651844435,0.0,2487.726577919638,2599.413184173911
2025-02-05,87543.23962051829,87543.23962051829,0.0,63078.2801516487,0.0,0.0,63078.2801516487,0.0,63078.2801516487,22146.850628621025,18257.35333461428,2905.3153431782066,2903.2628431782064,2.052500000000009,2599.413184173911,2245.630600361412
2025-02-06,88916.07188259014,88916.07188259014,0.0,64009.507711294005,0.0,0.0,64009.507711294005,0.0,64009.507711294005,21837.778265385354,17505.67845740842,4312.9148579465345,4311.514041279868,1.400816666666742,2245.630600361412,2448.87719764332
2025-02-07,42000.474630822115,42000.474630822115,0.0,17837.905725559613,0.0,0.0,17837.905725559613,0.0,17837.905725559613,18494.312929714517,15593.223968070819,7293.70600251175,2300.667887026808,4993.038115484942,2448.87719764332,1767.9544254188054
2025-02-08,37844.81108414064,37844.81108414064,0.0,16026.300461478344,0.0,0.0,16026.300461478344,0.0,16026.300461478344,18732.482398878372,15200.972616042192,2736.1385846377934,171.83466215343947,2564.3039224843537,1767.9544254188054,1737.2190110291256
2025-02-09,83647.3843095281,83647.3843095281,394.95892442941096,58478.11994298374,0.0,0.0,58478.11994298374,2380.2847681304843,60858.40471111423,23230.056935958644,19131.398053523175,388.2683848553802,388.2683848553802,0.0,1737.2190110291256,1387.161305032818
2025-02-10,85525.32374727845,85525.32374727845,0.0,58836.518886730024,0.0,0.0,58836.518886730024,0.0,58836.518886730024,20502.46439954495,16365.764118851192,7061.985883251364,6562.3228499180295,499.66303333333383,1387.161305032818,1655.1969103441731
2025-02-11,83333.35648950681,83333.35648950681,0.0,57523.03445572075,0.0,0.0,57523.03445572075,0.0,57523.03445572075,22178.046662292774,18108.019123601018,4042.7318174817187,3799.2741174817183,243.4577000000004,1655.1969103441731,1495.4176579620907
2025-02-12,83168.32026377748,83168.32026377748,0.0,56973.84913356721,0.0,0.0,56973.84913356721,0.0,56973.84913356721,22156.317191508704,17954.78215885837,3700.0490977938052,3486.7924097444097,213.2566880493954,1495.4176579620907,1486.345176032843
2025-02-13,82676.78648358748,82676.78648358748,0.0,56075.41132455275,0.0,0.0,56075.41132455275,0.0,56075.41132455275,20116.93548106953,16086.260511565877,7316.632497417159,6880.919768420313,435.71272899684624,1486.345176032843,1717.964318366673
2025-02-14,35081.14380610444,35081.14380610444,63.353955841745254,14965.476574464936,0.0,0.0,14965.476574464936,289.4319785187621,15254.908552983698,18205.77118088525,15200.373780133079,2337.2985445273484,196.66489452734982,2140.6336499999984,1717.964318366673,1213.8541810155318
2025-02-15,35257.93520290992,35257.93520290992,329.9473517369612,15281.49127053286,0.0,0.0,15281.49127053286,1069.0381373850068,16350.529407917868,18437.552598044545,14946.886367330064,2817.125223932394,0.0,2817.125223932394,1213.8541810155318,1200.0
