date,issue_hour,alternative,slot_id,load_forecast_kwh,pv_forecast_kwh,price_yuan_per_kwh,grid_original_kwh,grid_kwh,charge_kwh,discharge_kwh,surplus_kwh,energy_start_kwh,energy_end_kwh,charge_mode,emergency_plan_kwh
2025-02-01,6,hold,37,557.279339354665,4.818702777777777,0.9368,0.0,0.0,0.0,552.4606365768873,0.0,9642.039444444445,9028.194292692348,0.0,0.0
2025-02-01,6,hold,38,562.927539375905,14.456108333333333,0.8758,0.0,0.0,0.0,548.4714310425717,0.0,9028.194292692348,8418.781591533934,0.0,0.0
2025-02-01,6,hold,39,549.0457916835355,24.09351388888889,0.8759,0.0,0.0,0.0,524.9522777946466,0.0,8418.781591533934,7835.501282873217,0.0,0.0
2025-02-01,6,hold,40,561.831886111746,33.730919444444446,0.8601,0.0,0.0,0.0,528.1009666673016,0.0,7835.501282873217,7248.722431020659,0.0,0.0
2025-02-01,6,hold,41,610.445376919882,43.368325,0.8442,0.0,0.0,0.0,567.077051919882,0.0,7248.722431020659,6618.636817776346,0.0,0.0
2025-02-01,6,hold,42,648.4055592769674,53.00573055555555,0.8334,0.0,0.0,0.0,595.3998287214118,0.0,6618.636817776346,5957.081452530333,0.0,0.0
2025-02-01,6,hold,43,622.302100059531,81.75734722222222,0.8092,0.0,0.0,0.0,540.5447528373088,0.0,5957.081452530333,5356.47617159999,0.0,0.0
2025-02-01,6,hold,44,628.1730312340803,129.62317499999997,0.7972,0.0,0.0,0.0,498.5498562340804,0.0,5356.47617159999,4802.531886895456,0.0,0.0
2025-02-01,6,hold,45,673.4722617285867,177.48900277777776,0.7644,0.0,0.0,0.0,495.98325895080893,0.0,4802.531886895456,4251.439376950113,0.0,0.0
2025-02-01,6,hold,46,668.5610846631919,225.3548305555555,0.6899,0.0,0.0,0.0,443.20625410763637,0.0,4251.439376950113,3758.987983497184,0.0,0.0
2025-02-01,6,hold,47,640.3411999169689,273.22065833333335,0.86,0.0,0.0,0.0,367.12054158363554,0.0,3758.987983497184,3351.0762706264777,0.0,0.0
2025-02-01,6,hold,48,626.1802775939997,321.08648611111107,1.1617,0.0,0.0,0.0,833.3333333333333,528.2395418504447,3351.0762706264777,2425.1503447005516,0.0,0.0
