month,D112,D56_risk625,D56_mu0
2025-02,18119.161184957717,17108.629876206163,14485.258965216111
2025-03,9966.819802857004,10674.276655946393,7456.885431526229
2025-04,6961.791210375144,15892.192686335417,7326.600550004747
2025-05,-7805.975140025839,5105.20472203719,-9993.67962919164
2025-06,-22080.026278100675,-19871.570464725606,-67898.76780616376
2025-07,439.102508676704,-3801.76559215202,-48600.65157444123
2025-08,3622.785565487342,610.0805271300487,12127.930758578703
2025-09,27265.272563398583,-3042.283611582592,-23959.703026000643
2025-10,33631.577172531746,30688.28886382724,33394.77723411564
2025-11,15652.15634155483,13834.009860354243,16599.9452670021
2025-12,-5382.887828919571,-17345.54866510071,-18820.186093647266
