date,issue_hour,issue_time,price_issue_time,price_method,price_forecast_yuan_per_kwh,slot_id,interval_start,interval_end,load_forecast_kwh,pv_forecast_kwh,endpoint_rule,endpoint_issue_time,grid_original_kwh,grid_kwh,charge_kwh,discharge_kwh,surplus_kwh,energy_start_kwh,energy_end_kwh,charge_mode,contract_cost_forecast_yuan
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3281,1,2025-02-01 00:00:00,2025-02-01 00:10:00,446.62184779000137,0.30050290088415643,Q2_inherited,2025-02-01 00:00:00,446.3213448891172,446.3213448891172,0.0,0.0,0.0,7268.4231640740745,7268.4231640740745,0.0,146.43803325811936
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3257,2,2025-02-01 00:10:00,2025-02-01 00:20:00,441.33740164805374,0.6505706636568043,Q2_inherited,2025-02-01 00:00:00,440.6868309843969,440.6868309843969,0.0,0.0,0.0,7268.4231640740745,7268.4231640740745,0.0,143.53170085161807
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3041,3,2025-02-01 00:20:00,2025-02-01 00:30:00,439.3940358801821,1.0403089385468585,Q2_inherited,2025-02-01 00:00:00,1271.6870602749686,1271.6870602749686,833.3333333333333,0.0,0.0,7268.4231640740745,8018.4231640740745,1.0,386.7200350296179
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3126,4,2025-02-01 00:30:00,2025-02-01 00:40:00,467.9889913571435,1.4534183399936076,Q2_inherited,2025-02-01 00:00:00,1299.868906350483,1299.868906350483,833.3333333333333,0.0,0.0,8018.4231640740745,8768.423164074075,1.0,406.33902012516097
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3286,5,2025-02-01 00:40:00,2025-02-01 00:50:00,473.85663408715675,1.8677750793967487,Q2_inherited,2025-02-01 00:00:00,471.98885900776,471.98885900776,0.0,0.0,0.0,8768.423164074075,8768.423164074075,0.0,155.09553906994995
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3438,6,2025-02-01 00:50:00,2025-02-01 01:00:00,460.54400507294906,2.256230205727409,Q2_inherited,2025-02-01 00:00:00,458.28777486722163,458.28777486722163,0.0,0.0,0.0,8768.423164074075,8768.423164074075,0.0,157.5593369993508
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3704,7,2025-02-01 01:00:00,2025-02-01 01:10:00,480.5570409484658,2.587610135119509,Q2_inherited,2025-02-01 00:00:00,477.96943081334626,477.96943081334626,0.0,0.0,0.0,8768.423164074075,8768.423164074075,0.0,177.03987717326345
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3746,8,2025-02-01 01:10:00,2025-02-01 01:20:00,476.8780047104005,2.8278966757510466,Q2_inherited,2025-02-01 00:00:00,474.05010803464944,474.05010803464944,0.0,0.0,0.0,8768.423164074075,8768.423164074075,0.0,177.57917046977968
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3606,9,2025-02-01 01:20:00,2025-02-01 01:30:00,456.92792090405095,2.941560689388316,Q2_inherited,2025-02-01 00:00:00,453.9863602146626,453.9863602146626,0.0,0.0,0.0,8768.423164074075,8768.423164074075,0.0,163.70748149340733
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3582,10,2025-02-01 01:30:00,2025-02-01 01:40:00,486.37817986200923,2.8930199532897416,Q2_inherited,2025-02-01 00:00:00,483.4851599087195,483.4851599087195,0.0,0.0,0.0,8768.423164074075,8768.423164074075,0.0,173.18438427930332
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3041,11,2025-02-01 01:40:00,2025-02-01 01:50:00,497.2715434162344,2.6481887644671853,Q2_inherited,2025-02-01 00:00:00,1327.9566879851004,1327.9566879851004,833.3333333333333,0.0,0.0,8768.423164074075,9518.423164074075,1.0,403.831628816269
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.2537,12,2025-02-01 01:50:00,2025-02-01 02:00:00,479.3258722264782,2.176084421374876,Q2_inherited,2025-02-01 00:00:00,1310.4831211384367,1310.4831211384367,833.3333333333333,0.0,0.0,9518.423164074075,10268.423164074075,1.0,332.4695678328214
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3346,13,2025-02-01 02:00:00,2025-02-01 02:10:00,491.73279970503086,1.450453973760852,Q2_inherited,2025-02-01 00:00:00,490.28234573127,490.28234573127,0.0,0.0,0.0,10268.423164074075,10268.423164074075,0.0,164.04847288168295
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3971,14,2025-02-01 02:10:00,2025-02-01 02:20:00,504.6851195553068,0.45138358565362546,Q2_inherited,2025-02-01 00:00:00,0.0,0.0,0.0,504.2337359696532,0.0,10268.423164074075,9708.163457441127,0.0,0.0
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.367,15,2025-02-01 02:20:00,2025-02-01 02:30:00,499.43117337786794,0.0,Q2_inherited,2025-02-01 00:00:00,499.43117337786794,499.43117337786794,0.0,0.0,0.0,9708.163457441127,9708.163457441127,0.0,183.29124062967753
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3185,16,2025-02-01 02:30:00,2025-02-01 02:40:00,491.44378426330286,0.0,Q2_inherited,2025-02-01 00:00:00,1324.7771175966361,1324.7771175966361,833.3333333333333,0.0,0.0,9708.163457441127,10458.163457441127,1.0,421.9415119545286
2025-02-01,0,2025-02-01 00:00:00,2025-02-01 00:00:00,perfect,0.3285,17,2025-02-01 02:40:00,2025-02-01 02:50:00,495.12806839393573,0.0,Q2_inherited,2025-02-01 00:00:00,495.12806839393573,495.12806839393573,0.0,0.0,0.0,10458.163457441127,10458.163457441127,0.0,162.6495704674079
