date,block_start_minute,charge_actual_kwh,discharge_actual_kwh,block_end_minute
2025-03-20,0,3035.0702864058176,299.4760125596739,240
2025-03-20,240,153.93601305818788,6079.509439347712,480
2025-03-20,480,3043.5456214915935,2449.9586439971786,720
2025-03-20,720,6398.183872708453,254.72278333333327,960
2025-03-20,960,217.99829149016784,6737.667410251815,1200
2025-03-20,1200,7825.156186630898,839.1521055215466,1440
2025-06-21,0,197.2072058252155,6101.238952215868,240
2025-06-21,240,1240.7217128053742,1831.611868854782,480
2025-06-21,480,10218.377672604163,0.0,720
2025-06-21,720,0.0,0.0,960
2025-06-21,960,100.52294889521318,5769.702532112324,1200
2025-06-21,1200,9259.719603565796,2543.73991204073,1440
2025-09-23,0,5116.996541342398,154.51883479100616,240
2025-09-23,240,131.95660966748054,6680.650628225411,480
2025-09-23,480,5156.259781464759,1896.6157166666667,720
2025-09-23,720,5133.481477495617,537.097849431377,960
2025-09-23,960,27.12987700842757,5841.070268834572,1200
2025-09-23,1200,5822.061930865355,2184.370640502979,1440
2025-12-21,0,4837.867988158336,135.70893329029684,240
2025-12-21,240,198.16939403822778,907.8804117744493,480
2025-12-21,480,5275.999887960439,7631.465256903137,720
2025-12-21,720,8228.309391891939,2528.7099808530975,960
2025-12-21,960,35.27711068165354,5749.763054010816,1200
2025-12-21,1200,6195.565394752568,2842.5257666666666,1440
