file,sheet,template_cell,original_label,review_label,source_slot_id,start_minute,end_minute,operation
result1.xlsx,计划购电量,A2,0:10-0:20,00:00-00:10,1,0,10,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A3,0:20-0:30,00:10-00:20,2,10,20,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A4,0:30-0:40,00:20-00:30,3,20,30,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A5,0:40-0:50,00:30-00:40,4,30,40,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A6,0:50-1:00,00:40-00:50,5,40,50,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A7,1:00-1:10,00:50-01:00,6,50,60,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A8,1:10-1:20,01:00-01:10,7,60,70,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A9,1:20-1:30,01:10-01:20,8,70,80,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A10,1:30-1:40,01:20-01:30,9,80,90,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A11,1:40-1:50,01:30-01:40,10,90,100,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A12,1:50-2:00,01:40-01:50,11,100,110,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A13,2:00-2:10,01:50-02:00,12,110,120,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A14,2:10-2:20,02:00-02:10,13,120,130,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A15,2:20-2:30,02:10-02:20,14,130,140,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A16,2:30-2:40,02:20-02:30,15,140,150,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A17,2:40-2:50,02:30-02:40,16,150,160,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A18,2:50-3:00,02:40-02:50,17,160,170,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A19,3:00-3:10,02:50-03:00,18,170,180,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A20,3:10-3:20,03:00-03:10,19,180,190,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A21,3:20-3:30,03:10-03:20,20,190,200,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A22,3:30-3:40,03:20-03:30,21,200,210,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A23,3:40-3:50,03:30-03:40,22,210,220,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A24,3:50-4:00,03:40-03:50,23,220,230,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A25,4:00-4:10,03:50-04:00,24,230,240,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A26,4:10-4:20,04:00-04:10,25,240,250,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A27,4:20-4:30,04:10-04:20,26,250,260,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A28,4:30-4:40,04:20-04:30,27,260,270,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A29,4:40-4:50,04:30-04:40,28,270,280,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A30,4:50-5:00,04:40-04:50,29,280,290,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A31,5:00-5:10,04:50-05:00,30,290,300,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A32,5:10-5:20,05:00-05:10,31,300,310,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A33,5:20-5:30,05:10-05:20,32,310,320,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A34,5:30-5:40,05:20-05:30,33,320,330,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A35,5:40-5:50,05:30-05:40,34,330,340,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A36,5:50-6:00,05:40-05:50,35,340,350,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A37,6:00-6:10,05:50-06:00,36,350,360,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A38,6:10-6:20,06:00-06:10,37,360,370,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A39,6:20-6:30,06:10-06:20,38,370,380,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A40,6:30-6:40,06:20-06:30,39,380,390,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A41,6:40-6:50,06:30-06:40,40,390,400,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A42,6:50-7:00,06:40-06:50,41,400,410,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A43,7:00-7:10,06:50-07:00,42,410,420,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A44,7:10-7:20,07:00-07:10,43,420,430,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A45,7:20-7:30,07:10-07:20,44,430,440,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A46,7:30-7:40,07:20-07:30,45,440,450,relabel_copy_only_no_data_shift
result1.xlsx,计划购电量,A47,7:40-7:50,07:30-07:40,46,450,460,relabel_copy_only_no_data_shift
