date,slot_id,load_actual_kw,interval_end,interval_start,pv_actual_kw,actual_price_yuan_per_kwh,fixed_price_yuan_per_kwh,load_actual_kwh,pv_actual_kwh,net_load_actual_kwh
2025-01-01 00:00:00,1,3529.7296,2025-01-01 00:10:00,2025-01-01 00:00:00,0.0,0.4527,0.4248,588.2882666666667,0.0,588.2882666666667
2025-01-01 00:00:00,2,3609.5287,2025-01-01 00:20:00,2025-01-01 00:10:00,0.0,0.4733,0.4245,601.5881166666667,0.0,601.5881166666667
2025-01-01 00:00:00,3,3726.56,2025-01-01 00:30:00,2025-01-01 00:20:00,0.0,0.4843,0.4269,621.0933333333334,0.0,621.0933333333334
2025-01-01 00:00:00,4,3510.6311,2025-01-01 00:40:00,2025-01-01 00:30:00,0.0,0.4541,0.4272,585.1051833333333,0.0,585.1051833333333
2025-01-01 00:00:00,5,3502.5625,2025-01-01 00:50:00,2025-01-01 00:40:00,0.0,0.4266,0.4271,583.7604166666666,0.0,583.7604166666666
2025-01-01 00:00:00,6,3787.01,2025-01-01 01:00:00,2025-01-01 00:50:00,0.0,0.4311,0.4285,631.1683333333334,0.0,631.1683333333334
2025-01-01 00:00:00,7,3900.3205,2025-01-01 01:10:00,2025-01-01 01:00:00,0.0,0.4544,0.4311,650.0534166666666,0.0,650.0534166666666
2025-01-01 00:00:00,8,3916.8376,2025-01-01 01:20:00,2025-01-01 01:10:00,0.0,0.4483,0.4302,652.8062666666666,0.0,652.8062666666666
2025-01-01 00:00:00,9,3817.28,2025-01-01 01:30:00,2025-01-01 01:20:00,0.0,0.4251,0.4279,636.2133333333334,0.0,636.2133333333334
2025-01-01 00:00:00,10,3533.0136,2025-01-01 01:40:00,2025-01-01 01:30:00,0.0,0.444,0.4312,588.8356,0.0,588.8356
2025-01-01 00:00:00,11,3694.6613,2025-01-01 01:50:00,2025-01-01 01:40:00,0.0,0.478,0.4333,615.7768833333333,0.0,615.7768833333333
2025-01-01 00:00:00,12,4064.73,2025-01-01 02:00:00,2025-01-01 01:50:00,0.0,0.4941,0.4311,677.455,0.0,677.455
2025-01-01 00:00:00,13,3810.671,2025-01-01 02:10:00,2025-01-01 02:00:00,0.0,0.484,0.4293,635.1118333333333,0.0,635.1118333333333
2025-01-01 00:00:00,14,3844.9495,2025-01-01 02:20:00,2025-01-01 02:10:00,0.0,0.4751,0.4324,640.8249166666667,0.0,640.8249166666667
2025-01-01 00:00:00,15,4234.62,2025-01-01 02:30:00,2025-01-01 02:20:00,0.0,0.488,0.4367,705.77,0.0,705.77
2025-01-01 00:00:00,16,4109.9755,2025-01-01 02:40:00,2025-01-01 02:30:00,0.0,0.5215,0.4348,684.9959166666666,0.0,684.9959166666666
2025-01-01 00:00:00,17,3996.8945,2025-01-01 02:50:00,2025-01-01 02:40:00,0.0,0.5498,0.4335,666.1490833333334,0.0,666.1490833333334
2025-01-01 00:00:00,18,4102.19,2025-01-01 03:00:00,2025-01-01 02:50:00,0.0,0.5471,0.4357,683.6983333333333,0.0,683.6983333333333
2025-01-01 00:00:00,19,4086.0577,2025-01-01 03:10:00,2025-01-01 03:00:00,0.0,0.5067,0.4374,681.0096166666666,0.0,681.0096166666666
2025-01-01 00:00:00,20,4133.7626,2025-01-01 03:20:00,2025-01-01 03:10:00,0.0,0.4769,0.4371,688.9604333333333,0.0,688.9604333333333
