date,interval_start,interval_end,grid_plan_kwh
2025-03-20,2025-03-20 10:00:00,2025-03-20 10:10:00,0.0
2025-03-20,2025-03-20 12:00:00,2025-03-20 12:10:00,480.2878833333333
2025-03-20,2025-03-20 14:00:00,2025-03-20 14:10:00,0.0
2025-03-20,2025-03-20 16:00:00,2025-03-20 16:10:00,428.99676666666664
2025-03-20,2025-03-20 18:00:00,2025-03-20 18:10:00,697.4002166666668
2025-03-20,2025-03-20 20:00:00,2025-03-20 20:10:00,0.0
2025-06-21,2025-06-21 10:00:00,2025-06-21 10:10:00,0.0
2025-06-21,2025-06-21 12:00:00,2025-06-21 12:10:00,0.0
2025-06-21,2025-06-21 14:00:00,2025-06-21 14:10:00,0.0
2025-06-21,2025-06-21 16:00:00,2025-06-21 16:10:00,118.12294999999995
2025-06-21,2025-06-21 18:00:00,2025-06-21 18:10:00,0.0
2025-06-21,2025-06-21 20:00:00,2025-06-21 20:10:00,0.0
2025-09-23,2025-09-23 10:00:00,2025-09-23 10:10:00,0.0
2025-09-23,2025-09-23 12:00:00,2025-09-23 12:10:00,422.5404166666664
2025-09-23,2025-09-23 14:00:00,2025-09-23 14:10:00,0.0
2025-09-23,2025-09-23 16:00:00,2025-09-23 16:10:00,548.0609000000001
2025-09-23,2025-09-23 18:00:00,2025-09-23 18:10:00,764.1748666666667
2025-09-23,2025-09-23 20:00:00,2025-09-23 20:10:00,0.0
2025-12-21,2025-12-21 10:00:00,2025-12-21 10:10:00,0.0
2025-12-21,2025-12-21 12:00:00,2025-12-21 12:10:00,886.9195833333332
2025-12-21,2025-12-21 14:00:00,2025-12-21 14:10:00,0.0
2025-12-21,2025-12-21 16:00:00,2025-12-21 16:10:00,781.0102166666666
2025-12-21,2025-12-21 18:00:00,2025-12-21 18:10:00,720.8249333333333
2025-12-21,2025-12-21 20:00:00,2025-12-21 20:10:00,0.0
