date,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh,load_mae_kwh,pv_mae_kwh,emergency_intervals
2025-02-01,43317.89752777778,0.0,22259.88302372364,0.0,22259.88302372364,19936.505784156376,15773.06216666667,4776.27797695474,1790.1479969135848,2986.129980041155,7268.4231640740745,7685.653740185182,34.908768287037034,16.866898495370364,0
2025-02-02,89165.92964855967,0.0,56112.123282406785,0.0,56112.123282406785,22926.76239444445,18206.920550000003,6089.809854115219,6071.059562962954,18.750291152265277,7685.653740185182,8089.828172962958,36.071574305555565,11.701415162037033,0
2025-02-03,86888.54030041152,0.0,54397.74444309716,0.0,54397.74444309716,24125.0904845679,19315.46386666667,1861.9971825102873,1861.9971825102873,0.0,8089.828172962958,8340.78309055555,27.221341898148143,16.143473148148146,0
2025-02-04,88721.57981522633,0.0,55549.062627984444,0.0,55549.062627984444,24810.297373662546,19852.052116666666,2568.4706082304524,2568.4706082304524,0.0,8340.78309055555,8612.215041666659,39.803649421296285,20.924361574074073,0
2025-02-05,89760.54329999999,63.64457750000065,56549.733449646665,443.98457264000456,56993.71802228667,23629.05828950617,18951.694372500002,4398.396977160493,4398.396977160493,0.0,8612.215041666659,8820.929310555548,30.09245324074075,18.602799884259262,1
2025-02-06,89421.34474176954,29.408100000000104,56281.73038491827,171.32531990000058,56453.055704818275,23097.633994650205,18351.619349999997,4433.680980452675,4432.280163786008,1.400816666666742,8820.929310555548,9218.111739074071,30.914467245370368,14.330585879629634,2
2025-02-07,41942.272632510285,36.7672833333347,21512.11761236008,169.49071143333975,21681.60832379342,20020.93220185185,16137.188899999997,6289.616947325101,2240.6749547325085,4048.941992592592,9218.111739074071,9306.74083185185,32.783210763888896,28.990438773148153,2
2025-02-08,37691.992924074075,103.9723058333409,19386.921712390184,614.6682525879619,20001.589964978146,19477.166096707824,15785.238060833326,2526.8744773662474,170.7711748971181,2356.103302469129,9306.74083185185,9297.036917962963,22.82360300925926,29.62428587962963,2
2025-02-09,82116.64629780246,2112.5847438333417,51050.01648674948,13058.178202188961,64108.19468893844,23338.54077530864,18945.45266083333,280.726960493826,280.726960493826,0.0,9297.036917962963,9251.22065925926,18.19084016203704,26.191631712962973,12
2025-02-10,85229.01331049383,26.891050833334496,53106.34365721366,122.99198611292205,53229.33564332659,21524.106551028803,17586.712532499998,6991.8727594650245,6582.063245473256,409.80951399176854,9251.22065925926,9082.124852407407,24.11698530092593,38.560537268518516,3
2025-02-11,78841.40021483334,1166.5464923333384,48656.87412595552,6566.553712528616,55223.42783848414,23610.795841358024,19138.046559499995,314.60029197530946,314.60029197530946,0.0,9082.124852407407,9067.344932407406,19.391003009259258,16.980181597222217,14
2025-02-12,80216.04712316666,633.3264393333391,49657.96280243783,4188.015906206039,53845.978708643874,23373.69022757202,18947.34197083333,1156.2891724279757,1097.3297390946423,58.959433333333436,9067.344932407406,9051.063947407405,20.91437951388889,14.977241203703691,8
2025-02-13,80582.00762453703,158.8238113333334,50056.37120711203,1015.0522792945837,51071.42348640662,21375.348398148148,17293.9729845,5329.977005555554,4933.3350648148125,396.64194074074146,9051.063947407405,9073.351967407405,24.339244791666662,27.487202662037042,4
2025-02-14,35391.4818486749,377.7443588333316,18222.32293377532,2275.5179785289893,20497.840912304306,19862.615602674894,16122.907611833329,2227.7163999999975,87.08274999999935,2140.6336499999984,9073.351967407405,9035.36421888889,20.942811921296297,32.51424097222222,3
2025-02-15,35457.68126287655,236.3090166666649,18343.41260631154,1125.8003240083226,19469.212930319864,19605.004334567893,16033.466363666666,2842.3612086419844,102.70191831275812,2739.659290329226,9035.36421888889,8864.905493703704,22.79535462962963,9.246122800925924,7
2025-02-16,79206.17255864198,854.220797166661,48750.57598979218,4698.0489505029645,53448.62494029514,23704.111341975306,19259.061869500005,237.96478333333255,237.96478333333255,0.0,8864.905493703704,8799.648068703704,21.449776736111108,16.350955787037044,9
2025-02-17,79960.6497872428,210.12869966666034,49198.48528430924,1459.5855216746227,50658.07080598386,20969.826243004114,16994.365267000005,5011.454344238683,4216.973144238682,794.4812000000005,8799.648068703704,8789.863612962965,20.901109490740744,30.25296550925926,2
2025-02-18,76064.16567818931,864.254859166659,46571.739147503606,5923.696836741198,52495.4359842448,23034.201511522635,18613.42339083334,416.2546333333329,416.2546333333329,0.0,8789.863612962965,8839.063427962963,20.732173495370375,15.765446759259264,3
2025-02-19,76554.60164433334,1630.1947025000031,46899.854354315336,8847.291091241024,55747.145445556365,23494.488533333333,19281.447836499996,1092.4282666666631,1092.4282666666631,0.0,8839.063427962963,8560.272178518519,20.031416666666658,19.76412094907407,16
2025-02-20,76782.4669285,234.63069299999802,47311.91048134618,1401.625851767988,48713.53633311417,22523.64665390946,18345.816257,1846.133491257202,1846.133491257202,0.0,8560.272178518519,8447.313881481481,21.294673032407403,24.948408796296295,7
2025-02-21,34602.957686090536,0.0,17785.46339664726,0.0,17785.46339664726,18901.65473271605,15384.707,5525.747920041152,138.04463127572004,5387.703288765431,8447.313881481481,8364.68425203704,23.666713310185187,12.845682870370371,0
2025-02-22,34543.627486541154,213.83662083333047,17765.492636614115,1307.183263154149,19072.675899768263,18858.79366234568,15342.189406000003,3396.096967695473,179.0265666666661,3217.070401028807,8364.68425203704,8290.721430370373,21.520680208333335,19.77762418981482,1
2025-02-23,77845.28281666666,111.38252149999889,47879.989481997465,631.9409266659914,48511.93040866346,22710.32750802469,18518.26839516667,2232.752541975308,2097.7942139917695,134.9583279835383,8290.721430370373,8154.162415185188,21.361577199074084,20.065388194444445,7
2025-02-24,75703.44146111111,527.5415301666649,46115.264742025676,3420.845817075988,49536.11055910167,21866.365436625518,17721.276869833335,3882.860807818924,2915.3589078189243,967.5019,8154.162415185188,8143.583675000004,20.922312268518528,27.847843865740735,5
2025-02-25,73143.76913148147,165.36368333333124,44603.51742597284,770.4687275499876,45373.98615352282,21893.98719485597,17886.807533333336,3480.6299199588343,2583.369769958834,897.2601500000003,8143.583675000004,7973.941557777782,21.36074340277777,20.31662164351852,10
2025-02-26,70745.66263106996,2371.555399500002,43196.95049746969,15959.080122953423,59156.03062042311,20485.94833271604,16498.759400500003,315.18106502058436,315.18106502058436,0.0,7973.941557777782,8079.340167777782,23.516562037037033,24.146385416666668,7
2025-02-27,73086.4435281893,1664.0167676666633,44500.84984959677,8511.00998247781,53011.85983207458,22427.509582716048,18100.368499000004,3466.735012139918,2960.17141213992,506.5635999999984,8079.340167777782,8152.578237777781,19.987818287037033,31.30348761574074,13
2025-02-28,33692.5534668642,165.50863933332914,17144.245741558647,786.0808619463128,17930.32660350496,18623.70998230453,15099.607674666673,7041.366248559673,202.45214999999962,6838.914098559674,8152.578237777781,8136.575361111115,21.321724652777775,29.851754861111115,2
2025-03-01,33694.65579845679,262.55608416666735,17228.434820864448,1432.5860697358373,18661.020890600284,17768.386001646097,14355.714740833337,6885.774688477363,54.71724999999958,6831.0574384773645,8136.575361111115,8177.328606111118,34.76542048611111,32.0257170138889,4
