date,planned_saving_yuan,emergency_saving_yuan,total_saving_yuan,policy,baseline
2025-02-01,508.7942363928378,0.0,508.7942363928378,T_day_trim,P_floor
2025-02-02,675.2779169272544,0.0,675.2779169272544,T_day_trim,P_floor
2025-02-03,582.2844589668166,0.0,582.2844589668166,T_day_trim,P_floor
2025-02-04,558.5077422293107,0.0,558.5077422293107,T_day_trim,P_floor
2025-02-05,551.1256868646306,0.0,551.1256868646306,T_day_trim,P_floor
2025-02-06,562.2245603156771,0.0,562.2245603156698,T_day_trim,P_floor
2025-02-07,427.6446030277839,0.0,427.6446030277839,T_day_trim,P_floor
2025-02-08,403.8457369402968,0.0,403.8457369402968,T_day_trim,P_floor
2025-02-09,558.388875340388,-4527.228544156957,-3968.839668816574,T_day_trim,P_floor
2025-02-10,575.5418261976301,0.0,575.5418261976301,T_day_trim,P_floor
2025-02-11,579.2421132708478,0.0,579.2421132708478,T_day_trim,P_floor
2025-02-12,591.9656767893612,0.0,591.9656767893612,T_day_trim,P_floor
2025-02-13,570.2836444720087,0.0,570.2836444720087,T_day_trim,P_floor
2025-02-14,169.80156362440175,0.0,169.80156362440175,T_day_trim,P_floor
2025-02-15,136.06424135541602,-154.60093897331205,-18.536697617895697,T_day_trim,P_floor
2025-02-16,546.2356883025714,-1587.7344084154238,-1041.4987201128533,T_day_trim,P_floor
2025-02-17,542.2536966285552,0.0,542.2536966285625,T_day_trim,P_floor
2025-02-18,516.1468007207441,0.0,516.1468007207441,T_day_trim,P_floor
2025-02-19,477.23159809164645,0.0,477.23159809164645,T_day_trim,P_floor
2025-02-20,542.3284537459112,0.0,542.328453745904,T_day_trim,P_floor
2025-02-21,107.44818051326001,0.0,107.44818051326001,T_day_trim,P_floor
2025-02-22,124.24750533766928,0.0,124.24750533766928,T_day_trim,P_floor
2025-02-23,524.6181959857058,0.0,524.6181959857058,T_day_trim,P_floor
2025-02-24,551.1454764262089,0.0,551.1454764262089,T_day_trim,P_floor
2025-02-25,510.2807914027435,0.0,510.2807914027435,T_day_trim,P_floor
2025-02-26,523.4883191067929,0.0,523.4883191067929,T_day_trim,P_floor
2025-02-27,423.47013328570756,0.0,423.47013328570756,T_day_trim,P_floor
