policy,baseline,block_days,component,saving_yuan,ci95_low_yuan,ci95_high_yuan,joint_nonworse_resample_fraction,seed,replicates,scope
T_day_trim,P_floor,7,planned_cost_yuan,185504.1855289678,170504.03337878216,203314.950807614,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_day_trim,P_floor,7,emergency_cost_yuan,-192258.44877172765,-285930.86401179194,-118383.44859586903,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_day_trim,P_floor,7,total_cost_yuan,-6754.263242759844,-100617.89377829508,69875.07153308023,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_day_trim,P_floor,14,planned_cost_yuan,185504.1855289678,165175.07687598467,208898.0238658265,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_day_trim,P_floor,14,emergency_cost_yuan,-192258.44877172765,-276455.9846253786,-118335.60960119807,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_day_trim,P_floor,14,total_cost_yuan,-6754.263242759844,-90545.7170852253,70072.60940952726,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_evening_hedge,P_floor,7,planned_cost_yuan,-120110.57167456347,-140111.76240969123,-100745.4239383453,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_evening_hedge,P_floor,7,emergency_cost_yuan,129685.46302474159,59515.94279198881,216177.55288963902,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_evening_hedge,P_floor,7,total_cost_yuan,9574.89135017811,-51909.84181847736,84753.52672238094,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_evening_hedge,P_floor,14,planned_cost_yuan,-120110.57167456347,-147823.29636767434,-94670.02854097348,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_evening_hedge,P_floor,14,emergency_cost_yuan,129685.46302474159,55751.16827438032,219374.096770471,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_evening_hedge,P_floor,14,total_cost_yuan,9574.89135017811,-51664.41777405641,82984.05867501844,0.0,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_rebalance,P_floor,7,planned_cost_yuan,64490.55610255945,49244.83574925927,78374.952087212,0.084,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
T_rebalance,P_floor,7,emergency_cost_yuan,-40652.428513212755,-95933.44633349522,20517.360384325246,0.084,20260913,2000,Descriptive fixed-path single-year blocks; not future joint-pass probability.
