policy,date,issue_hour,horizon_intervals,milp_objective_yuan,independent_lp_bound_yuan,milp_minus_lp_yuan,lp_equality_residual_kwh,lp_inequality_violation,lp_bound_violation,runtime_seconds,passed
no_update,2025-03-20,0,144,40921.0780610334,40921.07806103339,7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.008364207998965867,True
no_update,2025-06-21,0,144,19637.70404604661,19637.704046046616,-7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.0044577079970622435,True
no_update,2025-09-23,0,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,0.0,0.0,0.004666041997552384,True
no_update,2025-12-21,0,144,60145.703428687906,60145.70342868789,1.4551915228366852e-11,9.094947017729282e-13,0.0,0.0,0.00444699999934528,True
all_A,2025-03-20,0,144,40914.95821408409,40914.95821408409,0.0,4.547473508864641e-13,0.0,0.0,0.004960124999342952,True
all_A,2025-03-20,6,108,29117.95292503362,29117.952925033613,7.275957614183426e-12,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.004578832998959115,True
all_A,2025-03-20,12,72,27959.090746857473,27959.09074685746,1.4551915228366852e-11,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.0033346249983878806,True
all_A,2025-03-20,18,36,17259.047589013895,17259.047589013895,0.0,4.547473508864641e-13,2.2737367544323206e-13,0.0,0.002027208000072278,True
all_A,2025-06-21,0,144,19763.135904887888,19763.135904887895,-7.275957614183426e-12,4.547473508864641e-13,0.0,0.0,0.00412029100334621,True
all_A,2025-06-21,6,108,14715.907239708104,14715.907239708104,0.0,9.094947017729282e-13,2.2737367544323206e-13,0.0,0.004370083999674534,True
all_A,2025-06-21,12,72,14718.348758999213,14718.348758999211,1.8189894035458565e-12,9.094947017729282e-13,2.2737367544323206e-13,0.0,0.003154166002786951,True
all_A,2025-06-21,18,36,11657.94537905122,11657.945379051222,-1.8189894035458565e-12,9.094947017729282e-13,2.2737367544323206e-13,0.0,0.0019271669989393558,True
all_A,2025-09-23,0,144,41134.91093440114,41134.91093440113,7.275957614183426e-12,1.1368683772161603e-13,0.0,0.0,0.004449250001925975,True
all_A,2025-09-23,6,108,29463.062487254043,29463.062487254043,0.0,4.547473508864641e-13,1.7053025658242404e-13,1.1368683772161603e-13,0.004730040996946627,True
all_A,2025-09-23,12,72,27187.018172115073,27187.018172115073,0.0,1.1368683772161603e-13,1.7053025658242404e-13,1.1368683772161603e-13,0.003169583000271814,True
