date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
2025-02-01,21611.485099557223,470.4393104464916,22081.924410003714,83.30468526339317,42307.706433448344,1439.6051659700954,B0
2025-02-02,55598.434438379576,1149.4531570271145,56747.88759540669,164.77252824356572,88638.28019093875,5837.509644508729,B0
2025-02-03,54756.01743870616,3602.206872804386,58358.224311510545,516.3713980510875,87331.54291087718,3115.689173945532,B0
2025-02-04,55386.25103075451,294.5444653234482,55680.79549607796,43.15123681178363,88221.70007331794,2381.245499953685,B0
2025-02-05,54246.19615561995,3813.432838966615,58059.628994586565,546.6503496225079,86701.57841775607,1796.4622477962043,B0
2025-02-06,55266.39231873373,292.8298798489157,55559.22219858265,48.90018853626198,87759.19766533886,3076.913872174406,B0
2025-02-07,20965.04688684503,969.6789104222154,21934.725797267245,191.78422101640643,40959.55575617573,1499.5207076863323,B0
2025-02-08,18417.73977619044,3754.365880546793,22172.105656737232,652.6059127044637,35997.41569033741,364.77658451740876,B0
2025-02-09,50841.31987130797,15050.941373848525,65892.2612451565,2396.6759048466533,81991.53242819199,420.91776049954865,B0
2025-02-10,52074.667861697846,2700.548486336158,54775.216348034,427.0376188389562,83462.16280896994,5390.468104293348,B0
2025-02-11,50580.36049913658,5601.654540278741,56182.01503941532,859.0662439027142,81532.70817946455,2767.6056033275286,B0
2025-02-12,50392.80854515279,4811.766330091906,55204.57487524469,745.0731625765767,81207.18021854054,2303.965310296094,B0
2025-02-13,50048.261999609254,3330.876634695462,53379.13863430471,501.40582846929766,80691.8711688542,5473.309967688087,B0
2025-02-14,17567.299230655,7694.150247744417,25261.449478399416,1436.8135468325336,34143.13614192607,451.2436679824182,B0
2025-02-15,17217.261355158378,8213.305246586511,25430.56660174489,1589.3448499862925,33646.438354081074,241.87992183193825,B0
2025-02-16,48029.1493005396,12394.81231415864,60423.96161469823,1934.5876829612077,78094.44016154745,350.4302577168427,B0
2025-02-17,47506.90190724575,6150.686599151035,53657.58850639679,911.117587253624,77316.95865064624,2531.4744904139925,B0
2025-02-18,47287.353767434804,5941.417399091468,53228.771166526276,883.845906758564,76825.39197653686,1465.5620705929618,B0
