policy,grid_plan_kwh,emergency_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_actual_kwh,discharge_actual_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,days,intervals,initial_energy_kwh,final_energy_kwh,inventory_value_yuan_per_kwh,inventory_adjusted_cost_yuan,emergency_share_of_load,emergency_intervals,emergency_days,solver_runtime_seconds,solver_max_runtime_seconds,solver_max_mip_gap,solver_failures,solver_fallbacks,wall_seconds,stage,unused_grid_cost_yuan,emergency_share_load,emergency_at_soc_floor_share,passes_emergency_cap,passes_improvement,solver_count,optimizer_count,optimizer_success_count,optimizer_nfev,optimizer_total_wall_seconds,optimizer_max_wall_seconds,milp_count,milp_total_runtime_seconds,milp_max_runtime_seconds,ordinary_saving_vs_B0_yuan,emergency_saving_vs_B0_yuan,total_saving_vs_B0_yuan,inventory_adjusted_saving_vs_B0_yuan,ordinary_saving_vs_B1_yuan,emergency_saving_vs_B1_yuan,total_saving_vs_B1_yuan,inventory_adjusted_saving_vs_B1_yuan,ordinary_saving_vs_P_floor_yuan,emergency_saving_vs_P_floor_yuan,total_saving_vs_P_floor_yuan,inventory_adjusted_saving_vs_P_floor_yuan,ordinary_saving_vs_X_strong_morning85_yuan,emergency_saving_vs_X_strong_morning85_yuan,total_saving_vs_X_strong_morning85_yuan,inventory_adjusted_saving_vs_X_strong_morning85_yuan
B0,19839930.398287483,751884.1216948977,11987831.567381367,4345851.825469283,16333683.392850649,6468111.533041743,5243260.664473787,1427774.156447757,330363.1500750936,1097411.0063726634,334,48096,7268.4231640740745,2723.6201529907166,0.6895775000000001,16336817.386749024,0.020316756018460853,4446,324,8.751930335027282,0.05950454098638147,2.757153279003857e-16,0.0,0.0,17.049212958008866,reference,193233.07897957333,0.020316756018460853,0.9831517222886864,False,False,,,,,,,,,,0.0,0.0,0.0,0.0,275826.00912508555,-1231302.0511825262,-955476.0420574397,-958034.7576727569,1373733.3783017993,-3684578.1726539023,-2310844.794352103,-2310331.011334529,1362158.5265869666,-3701559.66046664,-2339401.1338796727,-2339206.7487595025
B1,20243492.085644614,519849.5915405929,12263657.576506453,3114549.774286757,15378207.350793209,6632272.907899279,5372891.878119217,1564771.1524384758,420651.70110225386,1144119.4513362218,334,48096,7268.4231640740745,6434.175696518038,0.6895775000000001,15378782.629076267,0.01404692161049852,2747,306,8.902649167037453,0.060444041999289766,2.079371789209053e-16,0.0,0.0,17.326168457992026,reference,235087.7956176543,0.01404692161049852,0.9757854162180646,False,False,,,,,,,,,,-275826.00912508555,1231302.0511825262,955476.0420574397,958034.7576727569,0.0,0.0,0.0,0.0,1097907.3691767137,-2453276.121471376,-1355368.7522946633,-1352296.2536617722,1086332.517461881,-2470257.6092841136,-1383925.091822233,-1381171.9910867456
P_floor,21709846.670354728,116089.3529995809,13361564.945683166,661273.6528153808,14022838.598498546,6262055.860909414,5077026.132406618,2701716.7998848464,1287669.4949824326,1414047.3049024136,334,48096,7268.4231640740745,1978.550864081664,,14026486.375414494,,898,116,8.362238930989406,0.05984066700330004,4.01310126908503e-16,0.0,0.0,20.596854167000856,reference,768060.4550450046,0.003136865100857292,0.9457489694070574,True,False,334.0,,,,,,,,,-1373733.3783017993,3684578.1726539023,2310844.794352103,2310331.011334529,-1097907.3691767137,2453276.121471376,1355368.7522946633,1352296.2536617722,0.0,0.0,0.0,0.0,-11574.851714832708,-16981.487812737352,-28556.33952756971,-28875.7374249734
X_strong_morning85,21424792.554141,109264.54993955459,13349990.093968334,644292.1650026435,13994282.258970976,6144426.290149972,4981329.318886366,2431770.6378502855,1046885.0139261587,1384885.6239241268,334,48096,7268.4231640740745,2441.7299808642265,,13997610.637989521,,595,91,7.7827205719659105,0.05535541599965654,3.8735709319363955e-16,0.0,0.0,21.08725991701067,reference,614122.1353526602,0.002952451233555457,0.9796507836366569,True,False,334.0,,,,,,,,,-1362158.5265869666,3701559.66046664,2339401.1338796727,2339206.7487595025,-1086332.517461881,2470257.6092841136,1383925.091822233,1381171.9910867456,11574.851714832708,16981.487812737352,28556.33952756971,28875.7374249734,0.0,0.0,0.0,0.0
D56,21174207.555609792,135160.72743951157,13192899.64331837,769064.9879809994,13961964.631299369,6023096.204886386,4883403.86269948,2230486.4458957287,896563.8605835241,1333922.5853122044,334,48096,7268.4231640740745,2050.7156735114795,,13965562.644986443,,890,97,,,,,,32.96585245899041,direct,534366.82294267,0.003652195123466827,0.9941816872402791,True,True,,668.0,188.0,158729.0,10.777291909209453,0.031509709006058984,334.0,8.095558835091651,0.07221341600234155,-1205068.075937003,3576786.837488284,2371718.7615512796,2371254.7417625804,-929242.0668119173,2345484.7863057577,1416242.71949384,1413219.9840898234,168665.3023647964,-107791.33516561857,60873.96719917655,60923.7304280512,157090.4506499637,-124772.82297835592,32317.62767160684,32047.993003077805
D28,21214852.606649145,132659.3790233838,13192732.276794404,767523.6020541328,13960255.878848538,6064152.66691893,4916608.650927404,2260778.4747143397,918393.0259389027,1342385.448775437,334,48096,7268.4231640740745,2107.32236066208,,13963814.857837802,,869,108,,,,,,28.904758083997876,direct,545868.9667930978,0.0035846058713184053,0.9942187758797515,True,True,,668.0,301.0,156394.0,7.081930008193012,0.03147004199854564,334.0,8.106995548732812,0.05746112499036826,-1204900.7094130367,3578328.2234151503,2373427.514002111,2373002.528911222,-929074.7002879512,2347026.172232624,1417951.4719446711,1414967.7712384649,168832.6688887626,-106249.94923875201,62582.719650007784,62671.517576692626,157257.81717392989,-123231.43705148937,34026.38012243807,33795.78015171923
D112,20999350.338290498,147407.72985395137,13075237.028039372,838655.4538288128,13913892.481868185,6034574.932373809,4891721.579142131,2064715.219946105,733479.5440586898,1331235.6758874154,334,48096,7268.4231640740745,3139.6632536900206,,13916739.581805289,,931,90,,,,,,40.454410916994675,direct,426220.36292100453,0.003983122925813265,0.9937002595942911,True,True,,668.0,106.0,154442.0,16.69796184223378,0.05053466600656975,334.0,8.349218998861033,0.06095879198983312,-1087405.4606580045,3507196.371640471,2419790.9109824635,2420077.804943735,-811579.451532919,2275894.3204579446,1464314.8689250238,1462043.0472709779,286327.9176437948,-177381.80101343198,108946.11663036048,109746.79360920563,274753.0659289621,-194363.28882616933,80389.77710279077,80871.05618423223
D56_risk625,21296168.644220155,112453.92558213112,13305891.734961458,638539.0091512442,13944430.7441127,5970366.233726378,4840683.884268338,2339750.725377579,975206.6923043723,1364544.0330732071,334,48096,7268.4231640740745,2060.3843307717225,,13948022.090511272,,722,83,,,,,,33.019766209006775,direct,581848.7563087011,0.0030386317564735127,0.9950438226763798,True,True,,668.0,233.0,159215.0,10.847674002914573,0.050757457996951416,334.0,8.120330214005662,0.05413395901268814,-1318060.1675800905,3707312.8163180393,2389252.6487379484,2388795.296237752,-1042234.1584550049,2476010.765135513,1433776.6066805087,1430760.538564995,55673.210721708834,22734.643664136645,78407.85438584536,78464.2849032227,44098.359006876126,5753.155851399293,49851.51485827565,49588.5474782493
D56_mu069,21415756.55992858,124544.67498339221,13294245.374508727,734215.8740113872,14028461.248520114,6494661.440639354,5257562.621558407,2364012.9208643613,1023180.9217973371,1340831.9990670243,334,48096,7268.4231640740745,10727.473563485793,,14026075.965193313,,693,93,,,,,,32.72061874999781,direct,593130.6169134132,0.0033653374263738697,0.9947382598989728,True,False,,668.0,248.0,154318.0,10.601336408377392,0.03610912499425467,334.0,7.898056078134687,0.0541031250031665,-1306413.8071273603,3611635.9514578963,2305222.144330535,2310741.421555711,-1030587.7980022747,2380333.90027537,1349746.1022730954,1352706.663882954,67319.57117443904,-72942.2211960064,-5622.650021567941,410.4102211818099,55744.719459606335,-89923.70900874375,-34178.98954913765,-28465.32720379159
D56_mu0,21226394.881138727,177614.36989548308,13152123.533381976,920040.3155120019,14072163.848893978,6147228.668390358,4984383.978059372,2301975.0657365555,968037.5678150086,1333937.4979215474,334,48096,7268.4231640740745,1569.80464942619,,14076093.488002762,,1459,138,,,,,,33.635306541997124,direct,604484.7553386067,0.004799340369636743,0.9865742240432754,True,False,,668.0,135.0,155738.0,10.79064875106269,0.03790774999652058,334.0,8.228767303953646,0.054779458994744346,-1164291.966000609,3425811.5099572814,2261519.543956671,2260723.8987462614,-888465.9568755236,2194509.4587747552,1306043.5018992312,1302689.1410735045,209441.4123011902,-258766.66269662103,-49325.250395432115,-49607.11258826777,197866.5605863575,-275748.1505093584,-77881.58992300183,-78482.85001324117
