check,max_error,tolerance
all_364_forecast_releases,9.777068044058979e-12,1e-06
all_residuals,9.777068044058979e-12,1e-06
B0.source,0.0,1e-06
B0.prices,0.0,1e-06
B0.frozen_plans,0.0,1e-06
B0.strict_greedy_full_path,6.063149982082905e-12,1e-06
B0.balance,2.2737367544323206e-13,1e-06
B0.bills,3.319655661471188e-11,1e-06
B0.reported_totals,1.862645149230957e-09,1e-05
B1.source,0.0,1e-06
B1.prices,0.0,1e-06
B1.frozen_plans,0.0,1e-06
B1.strict_greedy_full_path,1.000444171950221e-11,1e-06
B1.balance,1.1368683772161603e-13,1e-06
B1.bills,2.319211489520967e-11,1e-06
B1.reported_totals,0.0,1e-05
P_floor.source,0.0,1e-06
P_floor.prices,0.0,1e-06
P_floor.frozen_plans,0.0,1e-06
P_floor.strict_greedy_full_path,4.092726157978177e-12,1e-06
P_floor.balance,2.2737367544323206e-13,1e-06
P_floor.bills,2.2225776774575934e-11,1e-06
P_floor.reported_totals,1.862645149230957e-09,1e-05
X_strong_morning85.source,0.0,1e-06
X_strong_morning85.prices,0.0,1e-06
X_strong_morning85.frozen_plans,0.0,1e-06
X_strong_morning85.strict_greedy_full_path,4.092726157978177e-12,1e-06
X_strong_morning85.balance,1.7053025658242404e-13,1e-06
X_strong_morning85.bills,2.2737367544323206e-11,1e-06
X_strong_morning85.reported_totals,0.0,1e-05
D56.source,0.0,1e-06
D56.prices,0.0,1e-06
D56.frozen_plans,0.0,1e-06
D56.strict_greedy_full_path,4.547473508864641e-12,1e-06
D56.balance,1.7053025658242404e-13,1e-06
D56.bills,2.864908310584724e-11,1e-06
D56.reported_totals,0.0,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,6.139089236967266e-12,1e-06
D56.point_initializer,1.1368683772161603e-12,1e-06
D56.risk_delta,3.0482283364108298e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,3.524291969370097e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.887379141862766e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,3.637978807091713e-11,1e-05
D56.emergency_fee,2.9103830456733704e-10,1e-05
D56.end_energy,1.0231815394945443e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,2.1827872842550278e-11,1e-05
D56.initial_trace,1.4551915228366852e-11,1e-05
D56.incumbent_trace,3.637978807091713e-11,1e-05
D56.initial_trace,7.275957614183426e-12,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,8.071765478234738e-12,1e-06
D56.point_initializer,2.6147972675971687e-12,1e-06
D56.risk_delta,1.887379141862766e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,3.609557097661309e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,5.551115123125783e-15,1e-06
D56.ordinary,0.0,1e-05
D56.score,2.473825588822365e-10,1e-05
D56.emergency_fee,1.0186340659856796e-09,1e-05
D56.end_energy,4.4019543565809727e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.2369127944111824e-10,1e-05
D56.initial_trace,8.731149137020111e-11,1e-05
D56.incumbent_trace,1.3096723705530167e-10,1e-05
D56.initial_trace,2.473825588822365e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.9117155615240335e-12,1e-06
D56.point_initializer,3.069544618483633e-12,1e-06
D56.risk_delta,3.538502824085299e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,3.069544618483633e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,0.0,1e-06
D56.ordinary,0.0,1e-05
D56.score,2.473825588822365e-10,1e-05
D56.emergency_fee,1.2532836990430951e-09,1e-05
D56.end_energy,3.80168785341084e-10,1e-06
D56.selected_q,0.0,1e-06
D56.incumbent_trace,1.6007106751203537e-10,1e-05
D56.initial_trace,2.1827872842550278e-10,1e-05
D56.incumbent_trace,1.964508555829525e-10,1e-05
D56.initial_trace,2.473825588822365e-10,1e-05
D56.candidate_initial,0.0,1e-06
D56.scenarios,5.343281372915953e-12,1e-06
D56.point_initializer,1.1368683772161603e-12,1e-06
D56.risk_delta,1.2576606422953773e-12,1e-06
D56.milp_q,0.0,1e-06
D56.milp_balance,1.8189894035458565e-12,1e-06
D56.milp_state,9.094947017729282e-13,1e-06
D56.milp_continuity,0.0,1e-06
D56.milp_terminal,0.0,1e-06
D56.milp_integrality,1.847162814453072e-14,1e-06
D56.ordinary,0.0,1e-05
D56.score,4.3655745685100555e-11,1e-05
D56.emergency_fee,5.413767212303355e-10,1e-05
D56.end_energy,2.4010660126805305e-10,1e-06
