policy,hour,emergency_kwh,emergency_cost_yuan,emergency_intervals
q2_selected,0,0.0,0.0,0
q2_selected,1,835.4931195611023,1801.780590653747,9
q2_selected,2,1230.350766768709,2668.438192775156,14
q2_selected,3,1408.9927355305076,3076.109513812809,21
q2_selected,4,1943.642939392568,4270.433112240242,27
q2_selected,5,5642.1728131366135,19046.67529562987,60
q2_selected,6,44548.441204253126,193154.95189810742,293
q2_selected,7,33693.99153096791,141064.48807934672,260
q2_selected,8,47129.6613068507,251375.30151604448,248
q2_selected,9,54454.785587846556,267489.7265130619,365
q2_selected,10,19206.34895184788,91253.77151204605,169
q2_selected,11,387.2208275000003,925.3308411316674,6
q2_selected,12,0.0,0.0,0
q2_selected,13,0.0,0.0,0
q2_selected,14,149.62096698431532,580.6832684576459,2
q2_selected,15,1155.9516731148196,4321.420689719034,6
q2_selected,16,1089.6606875946136,4829.154947877106,6
q2_selected,17,904.2996913848187,4765.451147335012,8
q2_selected,18,6387.020806599187,42439.33762940048,64
q2_selected,19,80060.67534516608,539635.9731580436,274
q2_selected,20,370613.92912978196,2506192.6774249114,959
q2_selected,21,39991.740669158185,180142.71481378324,772
q2_selected,22,14385.638521938155,30153.364224925215,338
q2_selected,23,26664.482419519827,56664.04109998081,545
q2_seasonal,0,329.64144766666595,702.0071129758319,3
q2_seasonal,1,1396.181023,3006.611686759834,12
q2_seasonal,2,1530.0727000000002,3318.904627916667,12
q2_seasonal,3,1231.743467499999,2689.391966130831,14
q2_seasonal,4,1223.3391711666668,2685.6653139522505,17
q2_seasonal,5,1232.3593183333337,3919.2064190491683,22
q2_seasonal,6,7191.209681405342,31418.364011931957,80
q2_seasonal,7,15309.986339333322,67428.35550217553,130
q2_seasonal,8,36991.596716730615,197984.31073667697,204
q2_seasonal,9,48387.34064249999,237421.4111761862,312
q2_seasonal,10,20099.796903166683,95743.13479565424,152
q2_seasonal,11,340.6748833333336,819.1710992750006,4
q2_seasonal,12,0.0,0.0,0
q2_seasonal,13,0.0,0.0,0
q2_seasonal,14,0.0,0.0,0
