policy,month,emergency_kwh,emergency_cost_yuan,emergency_intervals
q2_selected,2025-02,25534.96220022854,151803.18653910546,212
q2_selected,2025-03,49613.18891513535,276487.8603177722,369
q2_selected,2025-04,51017.162702706635,287843.4274997467,409
q2_selected,2025-05,57657.64220054797,325577.6479711109,370
q2_selected,2025-06,104055.36236436912,596172.3416217691,507
q2_selected,2025-07,75680.10391850659,424558.0086756724,425
q2_selected,2025-08,62687.417099486105,380198.1521107315,399
q2_selected,2025-09,103395.02436973139,615190.2133341855,445
q2_selected,2025-10,82836.18540707558,474695.58185780543,509
q2_selected,2025-11,67151.7133505631,396821.4751720529,426
q2_selected,2025-12,72255.35916654726,416503.93036933127,375
q2_seasonal,2025-02,13958.65309366666,83468.4371991812,140
q2_seasonal,2025-03,32104.059140888883,201388.39562350468,177
q2_seasonal,2025-04,32216.308287345662,206378.25455984857,162
q2_seasonal,2025-05,49658.596647769475,316520.3118885235,218
q2_seasonal,2025-06,95147.76476555168,562065.6555013264,465
q2_seasonal,2025-07,104389.27763769371,581818.7687718222,534
q2_seasonal,2025-08,31238.421239999985,207533.08403021103,188
q2_seasonal,2025-09,34455.141787927954,213836.51077227684,177
q2_seasonal,2025-10,29398.641728999966,177393.4856334569,189
q2_seasonal,2025-11,30496.049580987637,184199.3884603698,204
q2_seasonal,2025-12,66786.67762976133,379947.48184623604,293
q2_no_storage,2025-02,56370.8793991639,223874.3735601805,1678
q2_no_storage,2025-03,70352.82095826251,283428.13861893886,1928
q2_no_storage,2025-04,63752.6244984665,256228.15903484335,1797
q2_no_storage,2025-05,77732.42836478888,314278.3048910852,1858
q2_no_storage,2025-06,116280.38783738286,475362.2297866216,2000
q2_no_storage,2025-07,106548.62501111899,411907.72289013746,1856
q2_no_storage,2025-08,85748.68077415168,343933.72374098,1903
q2_no_storage,2025-09,107698.91295264117,436525.9551718308,2051
q2_no_storage,2025-10,91157.22182807553,385445.4167406796,2145
q2_no_storage,2025-11,78901.8404348917,324557.3651636573,2146
q2_no_storage,2025-12,100947.33116675196,379206.4083339755,2265
q3_no_update,2025-02,27517.6358625418,172255.51904090005,200
q3_no_update,2025-03,38050.54689999593,235797.01255365319,202
q3_no_update,2025-04,39770.78921973253,255490.52122969652,183
q3_no_update,2025-05,59921.52496930825,380037.64328092703,242
q3_no_update,2025-06,58259.74657246093,361672.46424513595,291
q3_no_update,2025-07,100428.66840753525,616978.0066327687,347
q3_no_update,2025-08,39548.53449493141,254682.49351111244,241
q3_no_update,2025-09,61093.68452580866,370647.4705792988,313
q3_no_update,2025-10,45750.59265498622,279687.7701624675,257
q3_no_update,2025-11,44184.67800445147,280094.70416025963,210
q3_no_update,2025-12,59709.644002984714,353139.78539643815,249
q3_corrected,2025-02,5530.588427066713,29377.701716754735,145
q3_corrected,2025-03,4032.8759670347567,22010.5787213077,105
q3_corrected,2025-04,4603.813573427115,26234.581789621654,97
q3_corrected,2025-05,11174.672810553819,68103.14884424949,81
q3_corrected,2025-06,14229.653955513908,85389.851995293,140
q3_corrected,2025-07,24220.836892670115,131197.41822644035,180
q3_corrected,2025-08,5062.966357582343,31675.309285824504,132
q3_corrected,2025-09,15258.134039214367,89063.78681856261,192
q3_corrected,2025-10,11357.592634848279,65045.09302771262,174
q3_corrected,2025-11,3145.864654815711,18861.224964324934,59
q3_corrected,2025-12,18177.753147622934,92900.84165184069,145
q42,2025-02,25669.537472645126,143899.42141370208,215
q42,2025-03,48271.4240492879,252632.44389310046,349
q42,2025-04,51663.31456717751,269921.2068757504,396
q42,2025-05,59116.16325438404,304588.5255226177,396
q42,2025-06,103273.92281499984,598471.535185276,484
q42,2025-07,72294.0934080177,463284.3592957364,435
q42,2025-08,63007.90311778557,418515.4407941537,460
q42,2025-09,103638.2666320357,596423.0036174741,462
q42,2025-10,82366.5033305558,450609.2539504808,471
q42,2025-11,66358.24362968092,373547.8946588843,404
q42,2025-12,72395.86796462887,475804.9414705078,353
q43_corrected,2025-02,5707.0127782652235,29871.16536949054,149
q43_corrected,2025-03,3901.536841679443,19498.009788158044,97
q43_corrected,2025-04,4648.640520109284,24238.210277769424,103
q43_corrected,2025-05,11502.161892741773,64687.06319520157,90
q43_corrected,2025-06,13926.827244179818,81497.66474189708,142
q43_corrected,2025-07,25467.39914749491,148516.13879429363,219
q43_corrected,2025-08,5417.536355393355,34771.33426604023,132
q43_corrected,2025-09,15316.685438603019,85540.4395865465,200
q43_corrected,2025-10,11400.90469510617,61273.14940454386,179
q43_corrected,2025-11,3217.1210595039174,17905.30208315017,63
q43_corrected,2025-12,17737.90013831715,111277.46068567803,146
