date,emergency_cost_yuan,emergency_kwh,load_underforecast,pv_overforecast,surplus_kwh,end_SOC
2025-06-01,96181.78732188446,17109.044738932516,7181.904745299835,11731.68300808844,0.0,1200.0
2025-06-02,84290.5712757663,14081.663078796435,7615.249289490993,7107.993680121566,0.0,1200.0
2025-07-06,80621.77913727202,13124.132535287268,11757.644314986941,1875.0491891670215,25.267990648868818,1200.0
2025-06-03,69286.83395137858,11659.17819275526,6600.871110485075,5769.640292999714,0.0,1200.0
2025-06-04,68801.87952445787,11426.447981441468,7133.854341247719,5240.234702003255,0.0,1200.0
2025-06-05,68780.38298450623,11785.668986740291,6943.627438761257,5527.53637291482,0.0,1200.0
2025-09-08,60491.39417229123,9405.666752891237,5077.570804136145,6128.109550881952,0.0,9920.194254926075
2025-12-02,58755.26404736858,10510.06600392518,7396.835563517369,3658.2795157997084,0.0,1200.0
2025-09-10,56464.99915354806,9113.721776548917,3232.674830326826,7330.061183464705,0.0,8819.34044244544
2025-07-03,54841.683306689156,9065.625940059786,11558.438401804831,-1005.4448257338947,0.0,1760.0174734633774
2025-12-01,50502.16496072141,9063.056759028435,7278.220392704856,2124.3168555539864,0.0,1200.0
2025-12-06,48802.44899181627,8245.630019759441,6501.284308001775,2493.3133982901886,0.0,1200.0
2025-12-03,46036.746197820656,8195.3103694024,6464.258658584192,2275.3026854146774,0.0,1200.0
2025-04-28,44725.80170538265,6789.159932260407,-1112.5306104430524,8933.948791637302,58.85542542214557,1200.0
2025-06-06,43864.081569087786,9276.158113988053,6874.500672031844,9604.461521545274,2166.419333333338,1200.0
2025-08-20,43587.089964690356,6998.475680164092,-672.0485118092096,8164.6826054688045,116.02405695088873,1200.0
2025-09-14,43299.20544332688,6620.918702307803,3361.351516191198,4452.475468690091,66.68159925830435,6586.95864100495
2025-12-04,42586.542878969834,7980.4452833569885,7502.822108767604,678.1055215915079,109.4615625599813,1200.0
2025-06-24,40888.39946193453,6876.960006456213,-1299.3169313448388,7935.087340584611,441.7155429783629,4895.3047716566625
2025-07-07,40530.941511899895,7296.661006070841,11822.77996129178,-4136.840389470833,10.42866577897064,1200.0
2025-07-01,38723.214983166145,6601.825930395775,13155.972736809483,-5315.918815488231,217.9805972774434,4101.481324681549
2025-12-07,38042.870252845256,6553.033465344581,6135.975418485904,691.1347104695527,13.675713363988734,1236.0107858433853
2025-03-02,36995.69967530001,5502.929682770038,-1947.4708479910619,7113.233130806107,994.1134086894191,3223.2106544470407
2025-10-16,36763.901931745975,5839.546150094701,995.8264616627687,5221.513846038882,43.62340566283922,1200.0
2025-12-05,36417.82437986397,6682.511769645275,5795.739370271547,1280.3553465337134,13.17382452661252,1200.0
2025-10-15,34365.670963007804,5369.867898751216,795.5576544356513,5397.733780741502,56.422807378188395,1200.0
2025-07-04,34348.371060929385,8799.780184748774,12483.528192559981,-5752.54907124299,9760.989533333337,1200.0
2025-07-05,34329.121245834554,7589.022333907092,10766.61553195052,-4970.957294754552,10363.689966666665,1200.0
2025-08-25,34196.427128096126,5184.208632128178,-665.599787464013,6175.333384279312,248.60798681592303,1200.0
2025-10-29,34064.761138175854,5538.729756797541,881.3308316648831,5156.971326842267,85.49601642652863,1200.0
2025-08-28,33469.42305369115,5291.840875354067,455.4863326493148,4926.800360272074,358.6222675424326,1282.7928857709228
2025-09-16,33403.88753397991,5231.519288813636,3401.6330335228427,3029.818059024641,0.0,5561.519154548292
2025-09-30,33142.745170596194,5544.515762147522,1934.7565596128925,3685.4727137204077,276.7703533975167,1200.0
2025-06-07,31439.94357078147,6226.628741720167,7035.286910095102,7155.652647218617,720.4783666666632,1200.0
2025-08-12,30971.05540890666,4583.213615273027,1114.5492233563468,3842.4756644461863,131.29888378579017,2533.1620719459415
2025-09-28,29983.8160444271,4879.12969904563,1289.507842892059,3444.3963277830476,537.929577840789,1200.0
2025-10-19,29736.300829295084,4643.9505112223915,1063.2714771211279,3552.322733757394,149.6749054853144,1274.347844971237
2025-09-17,29445.30634815538,4709.0716094920535,1980.047510181868,3655.700035088089,79.45367109742642,4996.994760182066
2025-10-14,28966.640399530217,4656.6396641727315,1379.0753888925199,3912.132427493226,113.9982628323138,1448.090887000562
2025-05-07,28856.907253054607,4856.717984531264,3305.104811795267,1504.9053526200246,122.71239258657454,1200.0
2025-10-21,28788.8958186285,4731.381153681722,569.5158888335676,4510.1374495073105,93.41917234546895,1200.0
2025-09-18,28748.789463461417,4577.942151880281,2336.0207681913057,2956.968520473825,72.53260001952196,4588.089710880568
2025-04-02,28478.829759352157,4893.954946363171,1036.8218083258164,4232.1913735152975,24.99874509139397,1200.0
2025-05-26,28254.048735664717,4214.415673626383,-995.2657663926517,5635.095314662188,161.69184052210903,1750.9830341485404
2025-11-10,28067.132928637995,4500.590472421898,628.54693529721,4094.1510803517654,137.9853496549016,1246.9564277383486
2025-09-22,27914.318279756368,4434.20125817854,3298.091444071596,1926.5797135562962,37.152068970176174,2971.184427956199
2025-09-23,27580.253059551593,4299.636546644507,1474.9286480611847,2830.780561508485,299.33073382616794,2917.566224676769
2025-07-28,27479.266625085173,4209.3398089959555,-1665.3270435535246,5619.203967973116,628.7125879818806,4000.5575001150214
2025-11-30,27292.690758342193,4224.821659865283,133.3768098553353,4043.5840509579884,281.1673856821028,1219.9625529426073
2025-05-05,27207.8806470447,4701.199302001146,2761.0257723074665,1585.3033489031616,272.12181340627615,1200.0
2025-03-03,27048.78281986848,4346.007565004414,-1419.588442597469,5967.449484759335,288.7945719542208,3070.988009293004
2025-06-11,26372.711520051686,4472.773917321063,-1570.0490917514708,4960.935050403398,891.9988548413122,2467.7449566802534
2025-07-02,25930.047305873537,4247.219318454471,11971.336312811069,-9214.456950287562,2916.232753188564,2824.730354793936
2025-04-01,25831.405571065603,3825.8384721416687,666.6530992815212,3929.7626156198794,23.29885338172096,1206.247702084361
2025-05-02,24612.123421073768,5138.110188313334,2918.840142275254,8816.400635621614,11855.24935,1200.0
2025-05-29,24256.48679915833,3601.467540203753,185.93973965153873,3557.7947329474378,83.88680880392451,1994.1307917623326
2025-03-13,23748.761016275206,3812.914151379501,1540.791538947185,2754.1832745010597,152.24309946969663,1244.6203224585756
2025-09-12,23365.12412715057,5094.409243588215,3575.9058632020487,2219.037806799867,17113.02844892103,7321.545291226117
2025-05-01,23209.64039078758,4424.571106937186,2972.0822729048523,107.44148607735127,1222.9361395203025,1200.0
2025-11-06,23182.55333210967,4202.2031403112705,841.7352721352453,3464.964296690799,179.02907779310783,1234.5535721192903
2025-09-27,23119.38224892656,4874.127128011228,2658.5506889675576,2459.3427276821913,12700.395750000003,1200.0
2025-10-20,22970.07020156686,4046.0703384135845,791.5937565699296,3420.864174621814,141.1455856470734,1200.0
2025-04-09,22932.646267912667,3629.214124357366,-274.3921325611617,4359.598380681861,129.65870881462024,1200.0
2025-10-12,22376.249727982897,3387.6237606931168,779.9444908599282,2438.3654852728796,843.7919088626843,2109.1957934203506
2025-10-22,22026.741834233024,4018.1360867179437,1122.9058727143108,2869.3747896056893,116.35721278208302,1200.0
2025-09-29,21946.961600499697,3739.362421238432,2638.3556375373882,1143.6053257393307,85.24751045891048,1200.0
2025-11-02,21539.577998464338,3586.8125081697654,1086.9654981648516,2414.4829228207664,196.10228060284453,1282.9137206770986
2025-10-08,20422.433593816764,3284.751528718764,1161.4408996534096,2481.8358950735337,61.85972970055229,3952.7364587583284
2025-05-06,20206.397520660026,3990.0196178816122,3736.4343132548656,-300.6003458544597,287.1431618145889,1200.0
2025-09-19,20036.17970434428,4034.121579317698,1782.1710436472051,4864.081267320823,12924.75481666667,3636.878708335626
2025-09-24,19704.789202314652,3296.7032602910945,2165.9444982498444,1447.6778946536267,14.256058487494784,2679.347290646953
2025-11-03,19203.211847331957,3053.9974406665738,781.4422270056646,2593.4354310087006,151.12279463260916,1200.0
2025-09-20,18809.74530096565,3591.652772589626,2341.2684394864923,3616.243930131488,13580.58678813929,3251.6523134146505
2025-09-09,18795.05169958123,2878.7144889773576,2905.15902878384,-738.6139975245706,1296.143716666667,9318.488797266227
2025-09-11,18427.42583995769,3022.896728003027,2853.458565687677,-905.6315219891769,1504.9544581892774,8393.78795716414
2025-08-14,18138.735577701013,2748.6953521031014,-178.44576376869134,2694.327443401004,253.8997730652377,2477.802035204902
2025-11-29,17898.48956519841,2817.5959168372797,-503.1292737150584,5316.997050766831,113.01129887761135,1200.0
2025-09-13,17690.47771248116,3221.6151926490147,1829.7051572897058,-1300.4131327027908,20554.8291,6877.06688822189
2025-09-15,17645.10978785396,2869.6106234224417,2633.9803232248287,-793.959168764869,1412.7078198897234,6181.345547428805
