slot_id,hour,mean_load_underforecast,mean_pv_overforecast,mean_net_underforecast,mean_actual_SOC_start,mean_planned_SOC_start,emergency_cost_yuan,emergency_kwh,emergency_intervals
1,0,0.8275223930056993,1.0922947560156042,1.9198171490213032,2691.712290613304,2691.712290613304,0.0,0.0,0
2,0,1.0217391997034047,1.59826662350162,2.6200058232050245,3321.8431437468953,3335.4294392718,0.0,0.0,0
3,0,0.9454903314890758,1.5745201752708404,2.5200105067599163,3984.3123856697957,4011.562478798477,0.0,0.0,0
4,0,1.3733883818055772,1.1923884389762485,2.5657768207818257,4578.065773447982,4619.90001099,0.0,0.0,0
5,0,1.2679913906283673,0.8387287755141328,2.1067201661425,5108.220674186396,5162.959078383109,0.0,0.0,0
6,0,0.8423660687332387,0.7865501664497195,1.6289162351829582,5664.734974941123,5732.299084352848,0.0,0.0,0
7,1,1.3808258405874623,0.8480869903836684,2.228912830971131,6152.602835069168,6233.889691447806,0.0,0.0,0
8,1,1.661767067363435,0.9479368042921418,2.6097038716555767,6327.849699772917,6414.538339386272,42.94727027169223,19.96618794592851,1
9,1,1.4380257961931895,1.047419616114751,2.4854454123079406,6694.486150195663,6791.1325876815845,250.71559417335678,117.18419919296882,2
10,1,1.6953437769206543,1.126700653425604,2.822044430346258,7204.700903944334,7314.729256817558,494.5093305099469,229.36425348327776,2
11,1,1.9047693823292537,1.186556591413107,3.091325973742361,7198.528136734503,7314.729256817558,536.7571395798254,247.75312235394665,2
12,1,1.886591194212069,1.2086805857069134,3.095271779918982,7192.208828086546,7314.729256817558,476.85125611892556,221.22535658498055,2
13,2,2.0067006532703107,1.1925821192594752,3.199282772529785,7499.454989680204,7630.958645713442,446.8018244234081,208.15365684761616,2
14,2,1.8627852955221234,1.1274482381136943,2.9902335336358177,7952.624756934754,8096.662398803424,379.25553216593903,175.4188400397498,2
15,2,1.5860237296634319,1.0346139217771606,2.620637651440593,7945.525762185507,8096.662398803424,295.16206525698277,135.17841321592982,2
16,2,1.7012618708815106,0.9071869320984826,2.6084488029799933,7935.251206956581,8092.126031125006,321.40357495095645,147.83973088820443,2
17,2,1.4255145672265925,0.7405953809423735,2.166109948168966,7929.431335768159,8092.126031125006,460.34508411027053,212.38527525271996,3
18,2,0.8340828657931022,0.5489514350747664,1.3830343008678687,7924.075800220288,8092.126031125006,765.4701118675991,351.374850524489,3
19,3,0.8434377986133932,0.34214424764007295,1.185582046253466,7916.541541704267,8088.918113239794,744.4238480879171,340.3858473195779,4
20,3,0.9828589020066504,0.1602663291019394,1.1431252311085898,7907.242279278029,8083.528412594781,590.1702275507877,270.0389968203101,4
21,3,0.907424326517107,0.029056979289784273,0.9364813058068914,7898.8681491343705,8079.135560385363,479.7503257646472,220.27104029598127,4
22,3,0.7226208489653706,-0.0005567864271457085,0.7220640625382247,7892.702798294514,8076.919241490774,447.68787085151837,205.69164753113643,3
23,3,0.3989623919170148,-0.00021437125748502992,0.39874802065952986,7888.691921645725,8076.919241490774,376.78854586624414,172.8387825074514,3
24,3,0.00965244773896973,0.0,0.00965244773896973,7881.518000376758,8073.261341718021,437.28869569169444,199.76642105605046,3
25,4,-0.3313960590906531,-0.007833183632734532,-0.33922924272338767,7872.472434770846,8067.138020458994,666.4422269349915,302.85945327652416,4
26,4,-0.889427420079231,-0.0030607784431137723,-0.8924881985223448,7858.877391161646,8055.717058233175,770.5704600569359,351.1371428830876,4
27,4,-1.455372756129686,0.4873616789406675,-0.9680110771890186,7850.593437865106,8049.158323514211,655.2592354958783,300.30212442524214,4
28,4,-1.4952535447620814,3.189184248379776,1.6939307036176943,7843.853077093445,8044.565001681542,599.3965528498223,272.8871171635885,5
29,4,-1.4481760767598824,8.457373535197021,7.009197458437139,7831.628681456827,8036.876417187871,712.4588891602075,322.2337807147026,5
30,4,-1.7770797402018241,16.458547644241136,14.68146790403931,7804.131539489237,8019.078221123211,866.3057477424068,394.22332092942287,5
31,5,-2.5559882850914697,23.523659391653162,20.967671106561692,7778.2274394325095,8010.776134018059,1182.2346377617953,545.6887319463629,7
32,5,-3.2485355778831724,29.62493688507706,26.376401307193884,7754.55210384259,8010.776134018059,1990.3577095009823,896.7594996625287,9
33,5,-4.133910063223671,34.788930774524154,30.655020711300484,7706.071554014572,7990.622935841939,1856.085072558235,863.09466289618,10
34,5,-5.367364071798247,38.64615813888667,33.27879406708843,8088.571869545522,8411.189392606337,222.26979010198377,119.72517646215124,1
35,5,-3.038161859928156,41.80669252521729,38.76853066528913,8676.26457010536,9112.845162348443,1413.247673674179,495.1813853098034,2
36,5,1.1384217216671897,43.94460681991922,45.08302854158641,8413.155640676716,8895.599052282952,12382.480412032693,2721.7233568595875,31
37,6,1.1024150055848303,44.760980507247965,45.863395512832795,7769.218496786936,8294.80684929395,27891.307440500947,5954.591682429749,53
38,6,-0.1210100349332918,44.66252427464125,44.541514239707965,7095.346595797147,7652.085255752118,28278.21473778358,6457.68776839086,36
39,6,-0.5418659721096161,42.977953172898175,42.43608720078856,6577.195362840712,7162.117831201677,34067.90965927368,7778.949573986456,49
40,6,-1.1143665316553317,39.01767365769849,37.90330712604316,6072.568280010781,6678.895928434379,32506.129038510422,7558.685975702924,48
41,6,-1.1171269416640528,32.94414521753894,31.827018275874885,5646.48571580972,6269.808359991855,32199.37720971524,7628.376500761725,51
42,6,-0.8726296434865486,24.67462509338109,23.801995449894537,5295.9488626609655,5929.322654733066,38212.01381232355,9170.149702981415,56
43,7,-1.5805121425911324,13.95291731529996,12.37240517270883,4988.436788862079,5617.84375055475,33167.72551597366,8197.658308446282,57
44,7,-2.0432556025669166,3.5312299448203004,1.4879743422533835,4737.598106906801,5353.76729146531,24331.048334283743,6104.126526413383,53
45,7,-2.5826625679404143,-5.585000800754886,-8.167663368695301,4541.461811889159,5139.391772388141,20089.884474017912,5256.380029832003,42
46,7,-3.9386252198725034,-14.144776856998657,-18.08340207687116,4404.947073364342,4976.669422993565,17241.839218769568,4998.358956013791,43
