month,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,seasonal_total_cost_yuan,excess_cost_yuan
2025-02,1136377.8843320017,151803.18653910546,1288181.070871107,25534.962200228536,1232335.3965844128,55845.674286694266
2025-03,1018651.9644208234,276487.8603177722,1295139.8247385956,49613.188915135346,1243923.1428996897,51216.681838905904
2025-04,836500.6244502033,287843.42749974673,1124344.05194995,51017.162702706635,1066757.7570405572,57586.29490939272
2025-05,835007.7820375098,325577.6479711109,1160585.4300086207,57657.64220054797,1159264.2783873102,1321.151621310506
2025-06,1117385.3011013556,596172.3416217691,1713557.6427231247,104055.36236436912,1686778.3702477552,26779.272475369507
2025-07,1304761.6499380448,424558.0086756724,1729319.6586137174,75680.10391850659,1856533.0358747677,-127213.37726105028
2025-08,1140962.2467783124,380198.15211073146,1521160.398889044,62687.417099486105,1381904.1896577103,139256.2092313338
2025-09,955684.1956288969,615190.2133341855,1570874.4089630826,103395.02436973139,1267726.0737223292,303148.33524075337
2025-10,975610.9092029217,474695.58185780543,1450306.491060727,82836.1854070756,1224263.3633050036,226043.12775572343
2025-11,1139812.1083983812,396821.4751720529,1536633.5835704342,67151.7133505631,1357722.8582229882,178910.72534744604
2025-12,1527076.9010929153,416503.93036933127,1943580.8314622466,72255.35916654726,1900998.8848506855,42581.946611561114
