month,X_strong_morning85,T_strong,R_guard,R_cost
2025-02,1694.6195338186808,2440.834115677979,0.0,5280.026249373099
2025-03,-3536.7517584876623,-3235.7749761505984,41.26640416472219,-1029.6110025623348
2025-04,-10154.729041893966,-13903.717875949806,50.77831932937261,-10850.12405913428
2025-05,16925.731880721636,18875.777939733583,0.0,8202.50396897539
2025-06,1563.3798802192323,-1987.310199256288,0.0,-25733.285528295673
2025-07,28334.947606942616,29102.153587343404,0.0,13066.192903774558
2025-08,-1448.4205846954137,-3815.776929816464,0.0,48.27364016859792
2025-09,-5246.902452338254,-6842.540805546334,149.886125596473,-10486.96831849846
2025-10,-3583.741823108401,-3076.378657884896,0.0,3986.455284307245
2025-11,6829.70222626836,9100.543089320417,1288.65592410299,9113.305506909732
2025-12,-2821.495939876884,-1211.5250864033587,0.0,-2620.610195285175
