month,q42_fixed_cost_yuan,q42_ols_cost_yuan,q43_all_A_fixed_cost_yuan,q43_all_A_ols_cost_yuan,q42_saving_yuan,q43_saving_yuan
2025-02,1339651.6551406337,1343213.5788555923,1271142.7753684137,1274978.0194994651,-3561.923714958597,-3835.2441310514696
2025-03,1274710.7679235556,1272745.4276086793,1115760.8917125282,1116640.513433991,1965.3403148762882,-879.6217214628123
2025-04,1086898.9234084878,1090327.9417673245,920896.7878403405,922756.9154845229,-3429.018358836649,-1860.1276441824157
2025-05,1123702.6205059404,1126505.7419273525,972051.6384067718,976697.749591719,-2803.121421412099,-4646.111184947193
2025-06,1795764.9925275643,1792441.922248498,1423825.7017493194,1422422.070184401,3323.070279066218,1403.6315649184398
2025-07,1986730.677633206,1957871.9536409634,1792142.349633462,1787303.344073384,28858.723992242478,4839.00556007796
2025-08,1710964.3644382535,1687247.3714529728,1435743.8138966446,1434562.9326268667,23716.992985280696,1180.8812697778922
2025-09,1561373.2075603022,1564103.4485299939,1194708.8269392163,1196269.0867880324,-2730.2409696916584,-1560.2598488160875
2025-10,1423448.2449314373,1425814.5795170516,1151452.2978950331,1153985.3700049957,-2366.3345856142696,-2533.0721099625807
2025-11,1565251.2002713117,1563868.4101906838,1312804.9233803556,1314927.3306415954,1382.7900806278922,-2122.4072612398304
2025-12,2205246.0273327134,2206741.3216356793,1937349.6038171113,1933519.3100740754,-1495.29430296598,3830.293743035989
