policy,date,selected_profile,feasible_candidates,expected_emergency_yuan,expected_cvar_yuan,actual_emergency_yuan
T_day_trim,2025-02-01,day_trim,1,6750.80777791128,67508.07777911282,0.0
T_day_trim,2025-02-02,day_trim,1,7244.607795290859,71335.26815652644,0.0
T_day_trim,2025-02-03,day_trim,1,7519.470486341966,71335.77441971884,0.0
T_day_trim,2025-02-04,day_trim,1,7334.244755323862,69353.63114192728,0.0
T_day_trim,2025-02-05,day_trim,1,7255.657722530696,68003.24793438632,0.0
T_day_trim,2025-02-06,day_trim,1,7041.815536404499,66261.22335788305,37.44900807562037
T_day_trim,2025-02-07,day_trim,1,5849.1690279396025,58348.82025177992,0.0
T_day_trim,2025-02-08,day_trim,1,5584.206080726692,55842.06080726693,0.0
T_day_trim,2025-02-09,day_trim,1,6449.083589561948,61705.198755305435,4608.269612324214
T_day_trim,2025-02-10,day_trim,1,6248.251804668671,59776.445354688156,0.0
T_day_trim,2025-02-11,day_trim,1,6102.331319416267,58411.904019936344,0.0
T_day_trim,2025-02-12,day_trim,1,6015.981074162761,57303.66811059654,0.0
T_day_trim,2025-02-13,day_trim,1,5987.588546813954,56811.83795976585,0.0
T_day_trim,2025-02-14,day_trim,1,4680.174792318533,46801.74792318534,0.0
T_day_trim,2025-02-15,day_trim,1,4521.09509366839,45210.95093668391,154.60093897331205
T_day_trim,2025-02-16,day_trim,1,5495.988437545301,52565.61795474887,1823.594047395627
T_day_trim,2025-02-17,day_trim,1,5352.974430945769,51107.9004308541,86.05055956745134
T_day_trim,2025-02-18,day_trim,1,5239.436211127176,50133.31174930809,202.89263333333284
T_day_trim,2025-02-19,day_trim,1,5010.801016056542,48500.344087711375,458.03828061302625
T_day_trim,2025-02-20,day_trim,1,5030.181711184355,47902.70312773712,182.5581997526498
T_day_trim,2025-02-21,day_trim,1,3895.219654128433,38952.196541284335,0.0
T_day_trim,2025-02-22,day_trim,1,3774.1273720273316,37741.273720273326,0.0
T_day_trim,2025-02-23,day_trim,1,4670.478004949512,44805.96439340824,136.42752224079982
T_day_trim,2025-02-24,day_trim,1,4660.5731809474655,44416.576916173435,213.73214621836945
T_day_trim,2025-02-25,day_trim,1,4571.955191949336,43674.11083320562,410.1045604758259
T_day_trim,2025-02-26,day_trim,1,4713.931912347271,44053.665599207394,56.04983999999971
T_day_trim,2025-02-27,day_trim,1,4456.843363654506,42437.66439185178,298.8464703236308
T_day_trim,2025-02-28,day_trim,1,3299.9924983872943,32999.92498387295,0.0
T_day_trim,2025-03-01,day_trim,1,3254.166449495949,32541.6644949595,0.0
T_day_trim,2025-03-02,day_trim,1,4277.244756384195,41230.13130002495,25141.58323188257
T_day_trim,2025-03-03,day_trim,1,638.0068471126915,5877.349331051557,14705.934579628229
T_day_trim,2025-03-04,day_trim,1,773.4318980060395,7132.79616818753,0.0
T_day_trim,2025-03-05,day_trim,1,715.6765933601474,6865.5616069383,14.95268999999985
T_day_trim,2025-03-06,day_trim,1,711.4215071421003,6923.94590232215,0.0
T_day_trim,2025-03-07,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-08,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-09,day_trim,1,684.5437878624845,6836.5909221268585,0.0
T_day_trim,2025-03-10,day_trim,1,739.339215197408,7306.406118398949,0.0
T_day_trim,2025-03-11,day_trim,1,670.5702445816113,6705.702445816114,0.0
T_day_trim,2025-03-12,day_trim,1,644.4175373365358,6440.8688183100985,0.0
T_day_trim,2025-03-13,day_trim,1,678.1873761652078,6781.873761652079,7675.931361840436
T_day_trim,2025-03-14,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-15,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-16,day_trim,1,674.8286631226822,6748.286631226823,7.461179999999938
T_day_trim,2025-03-17,day_trim,1,677.8197537804315,6773.662392114101,0.0
T_day_trim,2025-03-18,day_trim,1,672.1670141789818,6721.67014178982,68.83831213695412
T_day_trim,2025-03-19,day_trim,1,673.7286318954315,6732.761855159205,0.0
T_day_trim,2025-03-20,day_trim,1,685.3119876833744,6824.200330758712,0.0
T_day_trim,2025-03-21,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-22,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-23,day_trim,1,685.1912695885296,6818.523820226354,0.0
T_day_trim,2025-03-24,day_trim,1,668.8923138335495,6687.9598694589295,0.0
T_day_trim,2025-03-25,day_trim,1,653.7076399027477,6537.076399027478,0.0
T_day_trim,2025-03-26,day_trim,1,557.9380944256532,5579.272272455423,0.0
T_day_trim,2025-03-27,day_trim,1,585.5124952777685,5850.769909223106,0.0
T_day_trim,2025-03-28,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-29,day_trim,1,0.0,0.0,0.0
T_day_trim,2025-03-30,day_trim,1,656.3733473794971,6563.733473794972,0.0
T_day_trim,2025-03-31,day_trim,1,765.3334241438463,7653.334241438464,1345.111083425835
T_day_trim,2025-04-01,day_trim,1,930.6063330134833,9037.155182175913,7904.377476874313
T_day_trim,2025-04-02,day_trim,1,927.3186559679161,9205.376128785676,10974.165299503195
T_day_trim,2025-04-03,day_trim,1,893.691032717621,8801.951747700214,0.0
T_day_trim,2025-04-04,day_trim,1,0.0,0.0,0.0
