hour,planned_cost_yuan,emergency_cost_yuan,unused_grid_kwh,grid_plan_kwh,unused_grid_cost_yuan
0,1131823.2249937311,0.0,62542.017249534736,2654063.7700755056,26671.06301018504
1,752181.2718985442,0.0,17864.03495238711,1747624.8242323839,7664.242169848388
2,621711.879126779,0.0,12047.89454537691,1435492.950511829,5188.420626028455
3,538389.5212377614,1078.9052628823472,9518.384897533066,1233330.4003250645,4155.539477978179
4,546260.0939573108,862.3307674489942,15760.696447431694,1243207.4763407647,6922.998624940981
5,636410.552227874,1811.8089483577023,222385.13886877088,1451757.9920381769,88101.60516960923
6,272967.4597426617,19584.252856324892,0.0,318723.700702752,0.0
7,360840.6260599364,8164.103822895935,22704.734852203652,468791.6368281398,16111.498828958061
8,4265.85989583211,6792.185653918447,0.0,3743.5408356714443,0.0
9,24488.68768997393,56405.38190419031,0.0,25708.89110485016,0.0
10,87488.61805840481,38233.47833052943,11617.119932108151,153760.54145826446,5837.602765884346
11,438133.25106679474,0.0,122968.59034321047,928294.8186829344,57827.32519537614
12,357490.1869157224,0.0,325887.01054388867,773896.3087574245,154259.756175696
13,49454.55618262391,0.0,21305.067486088406,57211.653676888374,18374.898355032485
14,105850.94813566645,0.0,18910.443202986025,157811.7325181133,12658.650680078847
15,647950.7443619588,0.0,210991.43960929554,881609.7800689293,151073.16776626185
16,1050185.9364940985,0.0,95844.1239214637,1183373.2242215117,83979.64989238985
17,1552421.6216477058,0.0,78921.34057092856,1516831.1997174616,80954.07542060154
18,1215136.9675261679,9748.207538260436,38401.45755922492,965670.5446359026,48279.96088613522
19,81236.36882444087,96890.74016086369,0.0,60256.97241882998,0.0
20,641705.1567311849,374977.15852323844,0.0,574564.7227703724,0.0
21,1223956.1799393103,25901.07819092421,0.0,1451821.0285784793,0.0
22,504112.65410713776,11460.342239454701,0.0,1205347.9916355768,0.0
23,517102.578861544,9363.678616091394,0.0,1216950.9682189007,0.0
