policy,baseline,total_winning_days,total_losing_days,emergency_worse_days,positive_total_months,emergency_worse_months
T_day_trim,P_floor,276,58,69,6,11
T_day_trim,B0,254,80,0,11,0
T_day_trim,B1,210,124,11,11,0
T_day_trim,P,278,56,70,11,11
T_day_trim,P_terminal,276,58,70,6,11
T_day_trim,S_terminal,273,61,69,6,11
T_evening_hedge,P_floor,53,281,0,5,0
T_evening_hedge,B0,240,94,0,11,0
T_evening_hedge,B1,189,145,4,11,0
T_evening_hedge,P,299,35,2,11,0
T_evening_hedge,P_terminal,68,266,2,6,0
T_evening_hedge,S_terminal,53,281,0,5,0
T_rebalance,P_floor,249,85,33,5,9
T_rebalance,B0,248,86,0,11,0
T_rebalance,B1,202,132,6,11,0
T_rebalance,P,299,35,38,11,9
T_rebalance,P_terminal,286,48,39,7,9
T_rebalance,S_terminal,251,83,33,5,9
T_soft,P_floor,271,63,34,8,9
T_soft,B0,248,86,0,11,0
T_soft,B1,203,131,5,11,0
T_soft,P,297,37,42,11,10
T_soft,P_terminal,295,39,42,8,10
T_soft,S_terminal,267,67,34,7,9
T_strong,P_floor,232,102,32,4,9
T_strong,B0,247,87,0,11,0
T_strong,B1,198,136,7,11,0
T_strong,P,301,33,35,10,9
T_strong,P_terminal,252,82,35,4,9
T_strong,S_terminal,228,106,32,4,9
T_morning_hedge,P_floor,244,90,31,6,8
T_morning_hedge,B0,248,86,0,11,0
T_morning_hedge,B1,201,133,5,11,0
T_morning_hedge,P,300,34,34,11,8
T_morning_hedge,P_terminal,283,51,35,7,8
T_morning_hedge,S_terminal,245,89,31,6,8
R_guard,P_floor,14,0,0,4,0
R_guard,B0,245,89,0,11,0
R_guard,B1,198,136,7,11,0
R_guard,P,302,32,33,11,5
R_guard,P_terminal,219,115,33,10,5
R_guard,S_terminal,28,20,9,3,4
R_mean,P_floor,70,8,8,5,4
R_mean,B0,246,88,0,11,0
R_mean,B1,197,137,7,11,0
R_mean,P,297,37,39,11,7
R_mean,P_terminal,233,101,38,8,7
R_mean,S_terminal,84,28,17,5,7
R_cost,P_floor,235,98,46,6,9
R_cost,B0,251,83,0,11,0
R_cost,B1,205,129,10,11,0
R_cost,P,290,44,48,10,10
R_cost,P_terminal,241,93,48,6,10
R_cost,S_terminal,233,100,46,5,10
R_w28,P_floor,22,2,2,4,2
R_w28,B0,245,89,0,11,0
R_w28,B1,198,136,7,11,0
R_w28,P,301,33,34,11,6
R_w28,P_terminal,224,110,33,9,6
R_w28,S_terminal,36,22,11,4,6
