target_date,policy,stress_quantile,source_date,source_available_time,issue_time,slot_id,grid_plan_kwh,load_actual_kwh,pv_actual_kwh,raw_load_before_clipping_kwh,raw_pv_before_clipping_kwh,price_yuan_per_kwh,total_cost_yuan,emergency_cost_yuan,charge_actual_kwh,discharge_actual_kwh,emergency_kwh,surplus_kwh,unused_grid_kwh,pv_curtailment_kwh,energy_start_actual_kwh,energy_end_actual_kwh
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,1,1279.6546782224505,454.2858346336986,0.30050290088415643,454.2858346336986,0.30050290088415643,0.4248,543.5973073088969,0.0,825.6693464896359,0.0,0.0,0.0,0.0,0.0,7268.4231640740745,8011.525575914747
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,2,1274.0201643177302,438.0413923605918,0.6505706636568043,438.0413923605918,0.6505706636568043,0.4245,540.8215597528764,0.0,833.3333333333334,0.0,0.0,3.296009287461743,3.296009287461743,0.0,8011.525575914747,8761.525575914748
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,3,1271.6870602749686,453.84712099249015,0.7887479629945315,453.84712099249015,0.7887479629945315,0.4269,542.8832060313841,0.0,818.628687245473,0.0,0.0,0.0,0.0,0.0,8761.525575914748,9498.291394435673
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,4,466.5355730171499,491.96692216100405,0.752429705349729,491.96692216100405,0.752429705349729,0.4272,199.30399679292645,0.0,0.0,24.67891943850441,0.0,0.0,0.0,0.0,9498.291394435673,9470.870372837335
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,5,1062.629787814344,502.35243385358615,0.573627759589393,502.35243385358615,0.573627759589393,0.4271,453.84918237550625,0.0,560.8509817203472,0.0,0.0,0.0,0.0,0.0,9470.870372837335,9975.636256385647
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,6,458.28777486722163,470.5638311244544,0.26039737500080395,470.5638311244544,0.26039737500080395,0.4285,196.37631153060445,0.0,0.0,12.015658882231946,0.0,0.0,0.0,0.0,9975.636256385647,9962.285524294279
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,7,477.96943081334626,435.13375916957966,0.0,435.13375916957966,-0.17683257384389783,0.4311,206.05262162363357,0.0,42.8356716437666,0.0,0.0,0.0,0.0,0.0,9962.285524294279,10000.837628773668
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,8,474.05010803464944,460.3625945335445,0.0,460.3625945335445,-0.725413569738194,0.4302,203.9363564765062,0.0,13.687513501104945,0.0,0.0,0.0,0.0,0.0,10000.837628773668,10013.156390924663
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,9,453.9863602146626,506.9670813136067,0.0,506.9670813136067,-1.3706672336758992,0.4279,194.26076353585412,0.0,0.0,52.98072109894406,0.0,0.0,0.0,0.0,10013.156390924663,9954.288923036947
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,10,483.4851599087195,481.4888543253553,0.0,481.4888543253553,-2.0961078361044385,0.4312,208.47880095263986,0.0,1.996305583364176,0.0,0.0,0.0,0.0,0.0,9954.288923036947,9956.085598061974
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,11,494.6233546517672,503.3786179902569,0.0,503.3786179902569,-2.8836939381720623,0.4333,214.32029957061076,0.0,0.0,8.75526333848967,0.0,0.0,0.0,0.0,9956.085598061974,9946.357527685876
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,12,477.14978780510336,553.1213763812923,0.0,553.1213763812923,-3.7141050896522367,0.4311,205.69927352278006,0.0,0.0,75.97158857618894,0.0,0.0,0.0,0.0,9946.357527685876,9861.94465149011
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,13,490.28234573127,486.6609289848109,0.0,486.6609289848109,-4.567039104988146,0.4293,210.47821102243424,0.0,3.621416746459147,0.0,0.0,0.0,0.0,0.0,9861.94465149011,9865.203926561924
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,14,504.2337359696532,429.31597317519066,0.0,429.31597317519066,-5.421525108058544,0.4324,218.03066743327804,0.0,74.91776279446253,0.0,0.0,0.0,0.0,0.0,9865.203926561924,9932.62991307694
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,15,499.43117337786794,438.312971845216,0.0,438.312971845216,-5.423099818048778,0.4367,218.10159341411492,0.0,61.11820153265194,0.0,0.0,0.0,0.0,0.0,9932.62991307694,9987.636294456326
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,16,491.44378426330286,452.07928502052187,0.0,452.07928502052187,-4.644068384194292,0.4348,213.67975739768409,0.0,39.364499242780994,0.0,0.0,0.0,0.0,0.0,9987.636294456326,10023.06434377483
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,17,495.12806839393573,482.48823430407634,0.0,482.48823430407634,-3.5228158979278636,0.4335,214.63801764877113,0.0,12.639834089859391,0.0,0.0,0.0,0.0,0.0,10023.06434377483,10034.440194455703
2025-02-01,B0,0.9,2025-01-23,2025-01-24 00:00:00,2025-02-01 00:00:00,18,508.40612383770815,524.8256857141021,0.0,524.8256857141021,-2.0588354704547966,0.4357,221.51254815608942,0.0,0.0,16.419561876393914,0.0,0.0,0.0,0.0,10034.440194455703,10016.196236815265
