target_date,policy,stress_quantile,source_date,history_days,source_cumulative_signed_underforecast_kwh,total_cost_yuan,emergency_cost_yuan,initial_energy_kwh,final_energy_kwh,load_clipping_kwh,pv_clipping_kwh
2025-02-01,B0,0.9,2025-01-23,30,2209.740181649245,34699.95165349361,13088.46655393639,7268.4231640740745,7234.202560633079,0.0,70.68858951174794
2025-02-01,B1,0.9,2025-01-23,30,2209.740181649245,31202.757025979485,8942.874002255841,7268.4231640740745,7346.772586214977,0.0,70.68858951174794
2025-02-01,P,0.9,2025-01-23,30,2209.740181649245,24831.955589467085,0.0,7268.4231640740745,8286.646201303301,0.0,70.68858951174794
2025-02-01,B0,0.95,2025-01-07,30,2334.997416204375,36331.29288366377,14719.807784106553,7268.4231640740745,7250.0539426969035,0.0,99.01108437341358
2025-02-01,B1,0.95,2025-01-07,30,2334.997416204375,33537.636674883535,11277.7536511599,7268.4231640740745,7382.322441664928,0.0,99.01108437341358
2025-02-01,P,0.95,2025-01-07,30,2334.997416204375,24831.955589467085,0.0,7268.4231640740745,8287.846891631345,0.0,99.01108437341358
2025-03-01,B0,0.9,2025-02-09,56,2187.709785622165,20518.665116116536,4507.802564328366,3477.2536350458017,3457.949391733749,0.0,32.62966053390259
2025-03-01,B1,0.9,2025-02-09,56,2187.709785622165,17407.395560304383,178.96073943993568,8136.575361111115,8248.460017179274,0.0,32.62966053390259
2025-03-01,P,0.9,2025-02-09,56,2187.709785622165,18400.14824874122,0.0,10800.0,10800.0,0.0,32.62966053390259
2025-03-01,B0,0.95,2025-02-22,56,2332.2138962709637,23761.111319946285,7750.248768158119,3477.2536350458017,3150.665500294056,0.0,34.84286537079311
2025-03-01,B1,0.95,2025-02-22,56,2332.2138962709637,18681.434981347662,1453.0001604832153,8136.575361111115,8066.925884575078,0.0,34.84286537079311
2025-03-01,P,0.95,2025-02-22,56,2332.2138962709637,18400.14824874122,0.0,10800.0,10800.0,0.0,34.84286537079311
2025-04-01,B0,0.9,2025-03-10,56,2768.00523596226,51202.48722070013,15534.157227534923,1252.8578340593256,1201.9520454195526,0.0,5.348543169365202
2025-04-01,B1,0.9,2025-03-10,56,2768.00523596226,41537.153068502106,4469.626194533948,6764.43364763603,6866.294170522072,0.0,5.348543169365202
2025-04-01,P,0.9,2025-03-10,56,2768.00523596226,38842.16453464419,0.0,10800.0,10800.0,0.0,5.348543169365202
2025-04-01,B0,0.95,2025-03-13,56,4294.974813448244,59680.914099773225,24012.584106608043,1252.8578340593256,1213.3325175168648,0.0,5.253794360919326
2025-04-01,B1,0.95,2025-03-13,56,4294.974813448244,49378.888594201824,12311.361720233679,6764.43364763603,6793.527023931653,0.0,5.253794360919326
2025-04-01,P,0.95,2025-03-13,56,4294.974813448244,42746.42187640985,3904.257341765669,10800.0,10800.0,0.0,5.253794360919326
2025-05-01,B0,0.9,2025-03-15,56,3390.839571897648,49520.37274156722,18647.501917609803,1200.0,1200.0,0.0,3.368126127659935
2025-05-01,B1,0.9,2025-03-15,56,3390.839571897648,50429.697794196734,19630.806636632613,5839.15423079894,5650.396604229757,0.0,3.368126127659935
2025-05-01,P,0.9,2025-03-15,56,3390.839571897648,34245.763699738585,0.0,10800.0,10800.0,0.0,3.368126127659935
2025-05-01,B0,0.95,2025-04-01,56,4596.415714901401,56594.42393600308,25721.553112045665,1200.0,1200.0,0.0,3.733313204580521
2025-05-01,B1,0.95,2025-04-01,56,4596.415714901401,58247.50404322503,27448.612885660918,5839.15423079894,5929.471274375544,0.0,3.733313204580521
2025-05-01,P,0.95,2025-04-01,56,4596.415714901401,34245.763699738585,0.0,10800.0,10800.0,0.0,3.733313204580521
2025-06-01,B0,0.9,2025-05-05,56,4346.329121210628,60016.112314850296,26165.142718615785,1448.926361488195,1200.0,0.0,28.057028711265243
2025-06-01,B1,0.9,2025-05-05,56,4346.329121210628,51698.956326207226,17020.12073507112,3467.395100000003,2569.1063286306935,0.0,28.057028711265243
2025-06-01,P,0.9,2025-05-05,56,4346.329121210628,43941.47118362917,5426.333823838692,10800.0,10648.807639339793,0.0,28.057028711265243
2025-06-01,B0,0.95,2025-05-07,56,4810.010164415291,62186.78221003121,28335.812613796694,1448.926361488195,1200.0,0.0,12.761325476478817
2025-06-01,B1,0.95,2025-05-07,56,4810.010164415291,53931.17835833006,19252.342767193943,3467.395100000003,2743.8731369968955,0.0,12.761325476478817
2025-06-01,P,0.95,2025-05-07,56,4810.010164415291,46562.96524859848,8047.827888808015,10800.0,10608.566462739956,0.0,12.761325476478817
2025-07-01,B0,0.9,2025-06-04,56,12374.089043250973,112315.10144577667,66155.34230734313,5401.551677732111,4146.962311129186,0.0,72.45034515968595
2025-07-01,B1,0.9,2025-06-04,56,12374.089043250973,111925.17698178337,65740.16751153498,3601.3875967264,2177.2545931045047,0.0,72.45034515968595
2025-07-01,P,0.9,2025-06-04,56,12374.089043250973,71809.93508943616,18853.848955249963,10800.0,10347.357814860568,0.0,72.45034515968595
2025-07-01,B0,0.95,2025-06-02,56,14723.242969612558,129547.13847401709,83387.37933558357,5401.551677732111,4006.952134468305,0.0,128.97017840608592
2025-07-01,B1,0.95,2025-06-02,56,14723.242969612558,128206.42683431951,82021.41736407112,3601.3875967264,2059.9102816709774,0.0,128.97017840608592
2025-07-01,P,0.95,2025-06-02,56,14723.242969612558,91953.71315021199,38997.6270160258,10800.0,10243.725801584467,0.0,128.97017840608592
2025-08-01,B0,0.9,2025-07-07,56,7685.939571820948,53495.07113893394,30184.73105413821,4975.200992514765,3819.0181168456484,0.0,109.35915630386398
2025-08-01,B1,0.9,2025-07-07,56,7685.939571820948,54203.86155507806,30559.741898919623,4879.685985925928,4351.315377307744,0.0,109.35915630386398
2025-08-01,P,0.9,2025-07-07,56,7685.939571820948,42099.754422110724,15381.457840886458,10800.0,10331.826467857823,0.0,109.35915630386398
2025-08-01,B0,0.95,2025-07-06,56,13632.693504153962,67568.00788716237,44257.667802366625,4975.200992514765,3957.406928915174,0.0,96.24754304328333
2025-08-01,B1,0.95,2025-07-06,56,13632.693504153962,66878.99508477522,43234.87542861676,4879.685985925928,4499.48499840606,0.0,96.24754304328333
2025-08-01,P,0.95,2025-07-06,56,13632.693504153962,51765.65732335718,25047.360742132933,10800.0,10451.766513331779,0.0,96.24754304328333
2025-09-01,B0,0.9,2025-08-23,56,4132.427096332801,66307.19742016555,21743.174038803958,1680.8570421486222,1230.944254017435,0.0,177.44336042911937
2025-09-01,B1,0.9,2025-08-23,56,4132.427096332801,61771.64327269371,16261.350660636392,7448.452166399173,7246.728869376772,0.0,177.44336042911937
2025-09-01,P,0.9,2025-08-23,56,4132.427096332801,49732.13141206604,0.0,10800.0,10800.0,0.0,177.44336042911937
2025-09-01,B0,0.95,2025-08-25,56,5509.733596815299,77444.31936273056,32880.29598136893,1680.8570421486222,1443.102220972206,0.0,149.51993283607635
2025-09-01,B1,0.95,2025-08-25,56,5509.733596815299,73858.35716928859,28348.06455723125,7448.452166399173,7512.171963614975,0.0,149.51993283607635
2025-09-01,P,0.95,2025-08-25,56,5509.733596815299,49914.45194857154,182.32053650550682,10800.0,10800.0,0.0,149.51993283607635
2025-10-01,B0,0.9,2025-09-16,56,6431.451092547483,72277.23194560819,32975.879089918555,1200.0,1200.0,0.0,242.76215647652964
2025-10-01,B1,0.9,2025-09-16,56,6431.451092547483,45452.714615417535,2175.9831192224287,9693.040641851858,9391.395834088702,0.0,242.76215647652964
2025-10-01,P,0.9,2025-09-16,56,6431.451092547483,46744.286767275946,244.1471354457197,10800.0,10800.0,0.0,242.76215647652964
2025-10-01,B0,0.95,2025-09-14,56,7813.826984881289,85094.64238270026,45793.28952701059,1200.0,1242.3112046246633,0.0,338.81914656729555
2025-10-01,B1,0.95,2025-09-14,56,7813.826984881289,61551.53119799629,18274.799701801192,9693.040641851858,9700.068462868883,0.0,338.81914656729555
2025-10-01,P,0.95,2025-09-14,56,7813.826984881289,48732.860313206686,2232.720681376463,10800.0,10800.0,0.0,338.81914656729555
2025-11-01,B0,0.9,2025-10-16,56,6217.34030770165,33158.29287329111,17253.37830711088,1200.0,1200.0,0.0,558.06130812233
2025-11-01,B1,0.9,2025-10-16,56,6217.34030770165,23698.939132687818,5936.676084828652,9258.541487962953,9301.91273703315,0.0,558.06130812233
2025-11-01,P,0.9,2025-10-16,56,6217.34030770165,19507.653631023695,11.901717085766762,10800.0,10800.0,0.0,558.06130812233
