date,policy,stress_quantile,source_date,source_available_time,initial_energy_kwh,emergency_cost_yuan,total_cost_yuan,final_energy_kwh
2025-02-01,B1,0.9,2025-01-23,2025-01-24 00:00:00,7268.4231640740745,9021.905144323533,31281.788168047173,7333.666486040462
2025-02-01,P,0.9,2025-01-23,2025-01-24 00:00:00,7268.4231640740745,0.0,24831.955589467078,8258.280816554734
2025-02-01,P_terminal,0.9,2025-01-23,2025-01-24 00:00:00,7268.4231640740745,0.0,24234.379740707285,7078.854206614517
2025-02-01,S_joint,0.9,2025-01-23,2025-01-24 00:00:00,7268.4231640740745,0.0,20795.620290031104,1601.0710883410877
2025-02-01,P_B1_floor,0.9,2025-01-23,2025-01-24 00:00:00,7268.4231640740745,0.0,22620.019234263193,2545.8086092630524
2025-02-01,B1,0.95,2025-01-07,2025-01-08 00:00:00,7268.4231640740745,11292.987841940214,33552.870865663856,7340.308555173433
2025-02-01,P,0.95,2025-01-07,2025-01-08 00:00:00,7268.4231640740745,0.0,24831.955589467078,8246.760449402951
2025-02-01,P_terminal,0.95,2025-01-07,2025-01-08 00:00:00,7268.4231640740745,0.0,24234.379740707285,7031.715358823438
2025-02-01,S_joint,0.95,2025-01-07,2025-01-08 00:00:00,7268.4231640740745,1540.3672400715227,22335.987530102626,1542.0971988380666
2025-02-01,P_B1_floor,0.95,2025-01-07,2025-01-08 00:00:00,7268.4231640740745,0.0,22620.019234263193,2499.5922176862405
2025-03-01,B1,0.9,2025-02-09,2025-02-10 00:00:00,8136.575361111115,209.5050863182236,17437.939907182667,8234.017225624517
2025-03-01,P,0.9,2025-02-09,2025-02-10 00:00:00,10800.0,0.0,18400.14824874122,10800.0
2025-03-01,P_terminal,0.9,2025-02-09,2025-02-10 00:00:00,6300.396472942485,0.0,17927.533376432024,6748.671496650174
2025-03-01,S_joint,0.9,2025-02-09,2025-02-10 00:00:00,1287.4039918747608,0.0,17563.126513502353,1845.980614134833
2025-03-01,P_B1_floor,0.9,2025-02-09,2025-02-10 00:00:00,1856.1459910740807,0.0,17940.585240002394,2269.950251110142
2025-03-01,B1,0.95,2025-02-22,2025-02-23 00:00:00,8136.575361111115,1453.0001604832053,18681.43498134765,8048.972963013658
2025-03-01,P,0.95,2025-02-22,2025-02-23 00:00:00,10800.0,0.0,18400.14824874122,10800.0
2025-03-01,P_terminal,0.95,2025-02-22,2025-02-23 00:00:00,6300.396472942485,0.0,17927.533376432024,6458.11551780291
2025-03-01,S_joint,0.95,2025-02-22,2025-02-23 00:00:00,1287.4039918747608,168.12554793516853,17731.25206143752,1492.449689513529
2025-03-01,P_B1_floor,0.95,2025-02-22,2025-02-23 00:00:00,1856.1459910740807,0.0,17940.585240002394,1898.9702639804912
2025-04-01,B1,0.9,2025-03-10,2025-03-11 00:00:00,6764.43364763603,4488.768874625289,41556.295748593446,6866.294170522071
2025-04-01,P,0.9,2025-03-10,2025-03-11 00:00:00,10800.0,0.0,38842.16453464418,10800.0
2025-04-01,P_terminal,0.9,2025-03-10,2025-03-11 00:00:00,6452.1243131825795,0.0,38578.589527320175,6692.934246721363
2025-04-01,S_joint,0.9,2025-03-10,2025-03-11 00:00:00,1817.1315084571788,4574.23728988698,41751.69411634686,1541.5953243135752
2025-04-01,P_B1_floor,0.9,2025-03-10,2025-03-11 00:00:00,1946.0675117407416,1538.8958582241178,41657.46377152443,1936.6414257766712
2025-04-01,B1,0.95,2025-03-13,2025-03-14 00:00:00,6764.43364763603,12332.00125138056,49399.52812534872,6793.527023931654
2025-04-01,P,0.95,2025-03-13,2025-03-14 00:00:00,10800.0,3904.257341765669,42746.42187640985,10800.0
2025-04-01,P_terminal,0.95,2025-03-13,2025-03-14 00:00:00,6452.1243131825795,3904.257341765669,42482.84686908584,6328.978685577515
2025-04-01,S_joint,0.95,2025-03-13,2025-03-14 00:00:00,1817.1315084571788,14296.633562394609,51474.090388854485,1502.8394855671734
2025-04-01,P_B1_floor,0.95,2025-03-13,2025-03-14 00:00:00,1946.0675117407416,1515.1011808416843,41633.669094141995,1705.0521329614112
2025-05-01,B1,0.9,2025-03-15,2025-03-16 00:00:00,5839.15423079894,19635.454919158477,50434.346076722606,5647.829694882826
2025-05-01,P,0.9,2025-03-15,2025-03-16 00:00:00,10800.0,0.0,34245.763699738585,10800.0
2025-05-01,P_terminal,0.9,2025-03-15,2025-03-16 00:00:00,6354.711276373504,0.0,34028.42741388663,6321.054107288898
2025-05-01,S_joint,0.9,2025-03-15,2025-03-16 00:00:00,1707.6362250159088,1144.445898436049,33948.616591091864,1200.0
2025-05-01,P_B1_floor,0.9,2025-03-15,2025-03-16 00:00:00,1620.460783777779,0.0,34673.04365981699,1444.0255528222015
2025-05-01,B1,0.95,2025-04-01,2025-04-02 00:00:00,5839.15423079894,27454.58479934371,58253.47595690783,5928.082811881541
2025-05-01,P,0.95,2025-04-01,2025-04-02 00:00:00,10800.0,0.0,34245.763699738585,10800.0
2025-05-01,P_terminal,0.95,2025-04-01,2025-04-02 00:00:00,6354.711276373504,0.0,34028.42741388663,6672.431843972662
2025-05-01,S_joint,0.95,2025-04-01,2025-04-02 00:00:00,1707.6362250159088,8944.238890411802,41748.40958306762,1631.7210552364852
2025-05-01,P_B1_floor,0.95,2025-04-01,2025-04-02 00:00:00,1620.460783777779,0.0,34673.04365981699,1912.5193048096917
2025-06-01,B1,0.9,2025-05-05,2025-05-06 00:00:00,3467.395100000003,17020.12073507111,51698.95632620722,2537.9318522848425
2025-06-01,P,0.9,2025-05-05,2025-05-06 00:00:00,10800.0,5426.333823838692,43941.47118362915,10630.147767519868
2025-06-01,P_terminal,0.9,2025-05-05,2025-05-06 00:00:00,7338.55996956586,5426.333823838692,43257.166780294065,5824.387034386756
2025-06-01,S_joint,0.9,2025-05-05,2025-05-06 00:00:00,2834.299014738413,9388.543316682672,45411.47610375682,1204.3988790563803
2025-06-01,P_B1_floor,0.9,2025-05-05,2025-05-06 00:00:00,3074.7533498888843,6043.070949453478,45398.20181065452,1200.0
2025-06-01,B1,0.95,2025-05-07,2025-05-08 00:00:00,3467.395100000003,19252.342767193953,53931.17835833007,2732.9626782551495
2025-06-01,P,0.95,2025-05-07,2025-05-08 00:00:00,10800.0,8047.827888808014,46562.96524859848,10608.566462739956
2025-06-01,P_terminal,0.95,2025-05-07,2025-05-08 00:00:00,7338.55996956586,8047.827888808014,45878.66084526339,5883.7804730505995
2025-06-01,S_joint,0.95,2025-05-07,2025-05-08 00:00:00,2834.299014738413,13414.04583771903,49436.97862479318,1265.5655989561426
2025-06-01,P_B1_floor,0.95,2025-05-07,2025-05-08 00:00:00,3074.7533498888843,8029.79143085443,47384.922292055475,1225.5678728493708
2025-07-01,B1,0.9,2025-06-04,2025-06-05 00:00:00,3601.3875967264,65756.45707084006,111941.46654108846,2102.968088361337
2025-07-01,P,0.9,2025-06-04,2025-06-05 00:00:00,10800.0,18853.84895524997,71809.93508943617,10284.963741680815
2025-07-01,P_terminal,0.9,2025-06-04,2025-06-05 00:00:00,7561.670503029625,18853.84895524997,71019.75234294288,5430.24909228343
2025-07-01,S_joint,0.9,2025-06-04,2025-06-05 00:00:00,3122.701705474904,20014.17650750564,72076.39455980816,1200.0
2025-07-01,P_B1_floor,0.9,2025-06-04,2025-06-05 00:00:00,3013.7059741111134,19818.318776972043,72564.49447276193,1200.0
2025-07-01,B1,0.95,2025-06-02,2025-06-03 00:00:00,3601.3875967264,82071.38047440228,128256.38994465068,1932.7263009751016
2025-07-01,P,0.95,2025-06-02,2025-06-03 00:00:00,10800.0,39060.890942437676,92016.97707662388,10137.442193446888
2025-07-01,P_terminal,0.95,2025-06-02,2025-06-03 00:00:00,7561.670503029625,39015.789485595335,91181.69287328825,5267.954423822271
2025-07-01,S_joint,0.95,2025-06-02,2025-06-03 00:00:00,3122.701705474904,40402.15485892637,92464.3729112289,1200.0
2025-07-01,P_B1_floor,0.95,2025-06-02,2025-06-03 00:00:00,3013.7059741111134,39827.460916037606,92573.6366118275,1200.0
2025-08-01,B1,0.9,2025-07-07,2025-07-08 00:00:00,4879.685985925928,31202.436661726686,54846.55631788513,4351.315377307744
2025-08-01,P,0.9,2025-07-07,2025-07-08 00:00:00,10800.0,16075.959160180046,42794.25574140431,10331.826467857823
2025-08-01,P_terminal,0.9,2025-07-07,2025-07-08 00:00:00,7356.475960772955,16111.210829370859,41909.07538680275,5550.229065760813
2025-08-01,S_joint,0.9,2025-07-07,2025-07-08 00:00:00,3093.1087900451453,17131.24939465809,42453.101972810764,1256.4274159635572
2025-08-01,P_B1_floor,0.9,2025-07-07,2025-07-08 00:00:00,2869.3764956666664,10874.548831933438,37276.104527584816,1439.3866631758108
2025-08-01,B1,0.95,2025-07-06,2025-07-07 00:00:00,4879.685985925928,43857.46728589571,67501.58694205416,4499.48499840606
2025-08-01,P,0.95,2025-07-06,2025-07-07 00:00:00,10800.0,25665.8678473741,52384.164428598364,10451.766513331779
2025-08-01,P_terminal,0.95,2025-07-06,2025-07-07 00:00:00,7356.475960772955,25722.83262507307,51520.69718250497,5735.816850659301
2025-08-01,S_joint,0.95,2025-07-06,2025-07-07 00:00:00,3093.1087900451453,26442.879106571607,51764.731684724284,1234.2951389952266
