date,policy,stress_quantile,source_date,slot_id,grid_plan_kwh,scenario_net_kwh,price_yuan_per_kwh,charge,discharge,emergency,surplus,energy_start,energy_end
2025-02-01,B1,0.9,2025-01-23,1,1287.6587666666667,453.9853317328144,0.4248,833.3333333333334,0.0,0.0,0.34010160051889216,7268.4231640740745,8018.4231640740745
2025-02-01,B1,0.9,2025-01-23,2,1280.0060166666665,437.39082169693495,0.4245,833.3333333333334,0.0,0.0,9.281861636398162,8018.4231640740745,8768.423164074075
2025-02-01,B1,0.9,2025-01-23,3,1276.6399999999999,453.0583730294956,0.4269,823.5816269705042,0.0,0.0,0.0,8768.423164074075,9509.646628347527
2025-02-01,B1,0.9,2025-01-23,4,476.9869166666667,491.2144924556543,0.4272,0.0,14.227575788987622,0.0,0.0,9509.646628347527,9493.838210804208
2025-02-01,B1,0.9,2025-01-23,5,1074.909078806584,501.77880609399676,0.4271,573.1302727125872,0.0,0.0,0.0,9493.838210804208,10009.655456245537
2025-02-01,B1,0.9,2025-01-23,6,468.2083333333333,470.3034337494536,0.4285,0.0,2.0951004161202604,0.0,0.0,10009.655456245537,10007.327566894292
2025-02-01,B1,0.9,2025-01-23,7,490.43896666666666,435.3105917434236,0.4311,55.128374923243086,0.0,0.0,0.0,10007.327566894292,10056.94310432521
2025-02-01,B1,0.9,2025-01-23,8,487.2113166666666,461.0880081032827,0.4302,26.123308563383944,0.0,0.0,0.0,10056.94310432521,10080.454082032255
2025-02-01,B1,0.9,2025-01-23,9,464.605,508.33774854728256,0.4279,0.0,43.73274854728254,0.0,0.0,10080.454082032255,10031.862139201941
2025-02-01,B1,0.9,2025-01-23,10,494.2724,483.5849621614597,0.4312,10.68743783854029,0.0,0.0,0.0,10031.862139201941,10041.480833256628
2025-02-01,B1,0.9,2025-01-23,11,505.68945,506.2623119284289,0.4333,0.0,0.5728619284288925,0.0,0.0,10041.480833256628,10040.844320002818
2025-02-01,B1,0.9,2025-01-23,12,487.83666666666664,556.8354814709446,0.4311,0.0,68.99881480427797,0.0,0.0,10040.844320002818,9964.178970220286
2025-02-01,B1,0.9,2025-01-23,13,501.9057666666667,491.22796808979905,0.4293,10.677798576867644,0.0,0.0,0.0,9964.178970220286,9973.788988939466
2025-02-01,B1,0.9,2025-01-23,14,514.9269333333333,434.73749828324924,0.4324,80.18943505008406,0.0,0.0,0.0,9973.788988939466,10045.959480484542
2025-02-01,B1,0.9,2025-01-23,15,507.54333333333335,443.7360716632648,0.4367,63.807261670068556,0.0,0.0,0.0,10045.959480484542,10103.386015987604
2025-02-01,B1,0.9,2025-01-23,16,497.95935000000003,456.72335340471614,0.4348,41.23599659528389,0.0,0.0,0.0,10103.386015987604,10140.49841292336
2025-02-01,B1,0.9,2025-01-23,17,501.06135,486.0110502020042,0.4335,15.05029979799582,0.0,0.0,0.0,10140.49841292336,10154.043682741556
2025-02-01,B1,0.9,2025-01-23,18,514.0583333333333,526.8845211845569,0.4357,0.0,12.826187851223608,0.0,0.0,10154.043682741556,10139.792362906863
2025-02-01,B1,0.9,2025-01-23,19,521.0511333333333,542.439676513684,0.4374,0.0,21.38854318035078,0.0,0.0,10139.792362906863,10116.027314928695
2025-02-01,B1,0.9,2025-01-23,20,519.49595,516.6975506137751,0.4371,2.798399386224901,0.0,0.0,0.0,10116.027314928695,10118.545874376297
2025-02-01,B1,0.9,2025-01-23,21,512.11,482.407307190306,0.4356,29.702692809693986,0.0,0.0,0.0,10118.545874376297,10145.278297905023
2025-02-01,B1,0.9,2025-01-23,22,505.44893333333334,496.8265663287173,0.4353,8.622367004616024,0.0,0.0,0.0,10145.278297905023,10153.038428209176
2025-02-01,B1,0.9,2025-01-23,23,513.3439333333333,526.1799711437269,0.436,0.0,12.836037810393577,0.0,0.0,10153.038428209176,10138.776163975406
2025-02-01,B1,0.9,2025-01-23,24,526.1366666666667,544.4443454984397,0.4378,0.0,18.307678831773046,0.0,0.0,10138.776163975406,10118.43429860677
2025-02-01,B1,0.9,2025-01-23,25,520.9297333333333,548.3354450446467,0.4401,0.0,27.405711711313415,0.0,0.0,10118.43429860677,10087.983507816421
2025-02-01,B1,0.9,2025-01-23,26,521.74715,505.3775437315826,0.4389,16.369606268417442,0.0,0.0,0.0,10087.983507816421,10102.716153457997
2025-02-01,B1,0.9,2025-01-23,27,535.505,471.2650275325542,0.4364,64.2399724674458,0.0,0.0,0.0,10102.716153457997,10160.532128678698
2025-02-01,B1,0.9,2025-01-23,28,545.0267,538.9892169706601,0.4393,6.03748302933991,0.0,0.0,0.0,10160.532128678698,10165.965863405105
2025-02-01,B1,0.9,2025-01-23,29,552.6247833333333,574.0880381069934,0.4422,0.0,21.463254773660083,0.0,0.0,10165.965863405105,10142.117802545483
2025-02-01,B1,0.9,2025-01-23,30,552.055,534.2776027718703,0.4395,17.777397228129644,0.0,0.0,0.0,10142.117802545483,10158.1174600508
2025-02-01,B1,0.9,2025-01-23,31,534.5888666666666,512.5906375631496,0.4333,21.99822910351702,0.0,0.0,0.0,10158.1174600508,10177.915866243966
2025-02-01,B1,0.9,2025-01-23,32,534.8779000000001,540.6332022370628,0.4439,0.0,5.755302237062779,0.0,0.0,10177.915866243966,10171.521085980563
2025-02-01,B1,0.9,2025-01-23,33,560.1850000000001,580.3681401206397,0.4301,0.0,20.183140120639678,0.0,0.0,10171.521085980563,10149.095374735407
2025-02-01,B1,0.9,2025-01-23,34,1412.865733333333,565.410897579649,0.3713,723.2273614051034,0.0,0.0,124.2274743485807,10149.095374735407,10800.0
