date,slot_id,issue_time,forecast_history_end,load_forecast_kwh,pv_forecast_kwh,plan_load_kwh,plan_pv_kwh,risk_delta_kwh,grid_plan_kwh,charge_plan_kwh,discharge_plan_kwh,energy_start_plan_kwh,energy_end_plan_kwh,pv_curtailment_plan_kwh,charge_mode_plan
2025-02-01,1,2025-02-01 00:00:00,2025-02-01 00:00:00,454.32543333333336,0.0,454.32543333333336,0.0,0.0,1380.2513592592593,925.9259259259259,0.0,7268.4231640740745,8101.756497407408,0.0,1.0
2025-02-01,2,2025-02-01 00:00:00,2025-02-01 00:00:00,446.6726833333333,0.0,446.6726833333333,0.0,0.0,1372.598609259259,925.9259259259259,0.0,8101.756497407408,8935.08983074074,0.0,1.0
2025-02-01,3,2025-02-01 00:00:00,2025-02-01 00:00:00,443.3066666666667,0.0,443.3066666666667,0.0,0.0,1369.2325925925925,925.9259259259259,0.0,8935.08983074074,9768.423164074075,0.0,1.0
2025-02-01,4,2025-02-01 00:00:00,2025-02-01 00:00:00,476.9869166666667,0.0,476.9869166666667,0.0,0.0,476.9869166666667,0.0,0.0,9768.423164074075,9768.423164074075,0.0,0.0
2025-02-01,5,2025-02-01 00:00:00,2025-02-01 00:00:00,484.26815000000005,0.0,484.26815000000005,0.0,0.0,704.5387084362128,220.2705584362128,0.0,9768.423164074075,9966.666666666666,0.0,1.0
2025-02-01,6,2025-02-01 00:00:00,2025-02-01 00:00:00,468.2083333333333,0.0,468.2083333333333,0.0,0.0,468.2083333333333,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,7,2025-02-01 00:00:00,2025-02-01 00:00:00,490.43896666666666,0.0,490.43896666666666,0.0,0.0,490.43896666666666,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,8,2025-02-01 00:00:00,2025-02-01 00:00:00,487.2113166666666,0.0,487.2113166666666,0.0,0.0,487.2113166666666,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,9,2025-02-01 00:00:00,2025-02-01 00:00:00,464.605,0.0,464.605,0.0,0.0,464.605,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,10,2025-02-01 00:00:00,2025-02-01 00:00:00,494.2724,0.0,494.2724,0.0,0.0,494.2724,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,11,2025-02-01 00:00:00,2025-02-01 00:00:00,505.68945,0.0,505.68945,0.0,0.0,505.68945,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,12,2025-02-01 00:00:00,2025-02-01 00:00:00,487.83666666666664,0.0,487.83666666666664,0.0,0.0,487.83666666666664,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,13,2025-02-01 00:00:00,2025-02-01 00:00:00,501.9057666666667,0.0,501.9057666666667,0.0,0.0,501.9057666666667,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,14,2025-02-01 00:00:00,2025-02-01 00:00:00,514.9269333333333,0.0,514.9269333333333,0.0,0.0,514.9269333333333,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,15,2025-02-01 00:00:00,2025-02-01 00:00:00,507.54333333333335,0.0,507.54333333333335,0.0,0.0,507.54333333333335,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,16,2025-02-01 00:00:00,2025-02-01 00:00:00,497.95935000000003,0.0,497.95935000000003,0.0,0.0,497.95935000000003,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,17,2025-02-01 00:00:00,2025-02-01 00:00:00,501.06135,0.0,501.06135,0.0,0.0,501.06135,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,18,2025-02-01 00:00:00,2025-02-01 00:00:00,514.0583333333333,0.0,514.0583333333333,0.0,0.0,514.0583333333333,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,19,2025-02-01 00:00:00,2025-02-01 00:00:00,521.0511333333333,0.0,521.0511333333333,0.0,0.0,521.0511333333333,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,20,2025-02-01 00:00:00,2025-02-01 00:00:00,519.49595,0.0,519.49595,0.0,0.0,519.49595,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
2025-02-01,21,2025-02-01 00:00:00,2025-02-01 00:00:00,512.11,0.0,512.11,0.0,0.0,512.11,0.0,0.0,9966.666666666666,9966.666666666666,0.0,0.0
